run,episode_id,win,went_first,opponent_archetype,own_turns,attacks,attack_turn_rate,first_attack_own_turn,alakazam_attacks,kadabra_attacks,dudunsparce_abilities,retreats,final_deck,final_board,termination_class,genesect_played,lucky_helmet_attached,genesect_helmet_both,unsafe_last_body_dudunsparce,unsafe_event
20260718_115226_alakazam_ml_v5_sub54788067,86596335,True,False,Dragapult,4,4,1.0,1.0,3,0,1,4,20,6,opp_boardout,False,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86590261,True,True,Team Rocket Spidops,6,3,0.3333333333333333,5.0,3,0,4,0,10,4,other_win,True,True,True,False,
20260718_115226_alakazam_ml_v5_sub54788067,86583464,False,True,Other,7,4,0.5714285714285714,3.0,4,0,4,0,0,5,deckout,True,True,True,False,
20260718_115226_alakazam_ml_v5_sub54788067,86575581,False,True,Marnie's Grimmsnarl,8,2,0.25,4.0,2,0,1,1,19,6,other_loss,True,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86564984,True,False,Alakazam,8,8,1.0,1.0,6,1,6,4,8,6,other_win,True,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86563623,False,True,Marnie's Grimmsnarl,12,1,0.08333333333333333,11.0,1,0,0,0,22,4,other_loss,False,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86560090,False,False,Other,6,4,0.6666666666666666,1.0,3,0,1,1,0,5,deckout,True,True,True,False,
20260718_115226_alakazam_ml_v5_sub54788067,86553822,True,False,Other,7,5,0.7142857142857143,2.0,4,1,1,0,3,6,other_win,True,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86552043,True,True,Marnie's Grimmsnarl,6,6,0.6666666666666666,2.0,3,2,2,1,10,6,other_win,False,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86551567,False,True,Alakazam,8,5,0.625,3.0,4,0,3,0,3,5,other_loss,True,True,True,False,
20260718_115226_alakazam_ml_v5_sub54788067,86551435,False,True,Crustle + Mega Kangaskhan,6,3,0.5,4.0,2,1,2,1,10,5,other_loss,True,True,True,False,
20260718_115226_alakazam_ml_v5_sub54788067,86550866,True,True,Team Rocket Spidops,5,4,0.8,2.0,3,1,1,1,13,5,other_win,True,True,True,False,
20260718_115226_alakazam_ml_v5_sub54788067,86550310,True,False,Team Rocket Spidops,4,4,1.0,1.0,3,0,1,3,16,5,other_win,False,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86549726,True,False,Cinderace / Mega Starmie,4,3,0.75,2.0,3,0,1,1,11,6,opp_boardout,True,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86549150,False,False,Hop Trevenant/Dragapult,16,9,0.5625,1.0,8,0,2,2,0,6,deckout,True,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86548577,False,True,Crustle + Mega Kangaskhan,6,4,0.6666666666666666,2.0,1,3,3,0,3,6,other_loss,True,True,True,False,
20260718_115226_alakazam_ml_v5_sub54788067,86548047,True,True,Team Rocket Spidops,5,4,0.8,2.0,4,0,3,1,10,6,other_win,True,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86547420,True,True,Cinderace / Mega Starmie,5,4,0.8,2.0,3,1,5,0,11,6,other_win,True,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86546247,False,False,Dragapult,14,1,0.07142857142857142,1.0,0,0,7,3,0,6,deckout,True,True,True,False,
20260718_115226_alakazam_ml_v5_sub54788067,86546838,True,True,Team Rocket Spidops,6,5,0.8333333333333334,2.0,5,0,1,1,13,5,other_win,False,True,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86545668,True,False,Team Rocket Spidops,6,3,0.5,3.0,3,0,2,1,6,6,opp_deckout,True,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86545095,False,True,Crustle + Mega Kangaskhan,2,0,0.0,,0,0,0,0,43,1,other_loss,False,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86544514,True,True,Marnie's Grimmsnarl,5,5,0.8,2.0,3,2,2,0,17,4,other_win,False,True,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86544395,True,False,Alakazam,10,3,0.3,8.0,3,0,2,1,1,5,opp_deckout,True,True,True,False,
20260718_115226_alakazam_ml_v5_sub54788067,86543949,False,False,Hop Trevenant/Dragapult,13,13,0.9230769230769231,1.0,10,1,0,2,0,3,deckout,True,True,True,False,
20260718_115226_alakazam_ml_v5_sub54788067,86543382,True,False,Team Rocket Spidops,5,4,0.8,2.0,3,1,3,0,14,6,other_win,True,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86542762,False,False,Mega Lucario,11,10,0.9090909090909091,1.0,9,0,3,4,6,4,other_loss,True,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86542187,True,False,Team Rocket Spidops,8,1,0.125,4.0,1,0,1,1,34,4,opp_deckout,False,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86541629,True,True,Cinderace / Mega Starmie,5,3,0.6,3.0,3,0,3,0,12,5,opp_boardout,True,True,True,False,
20260718_115226_alakazam_ml_v5_sub54788067,86541047,True,True,Team Rocket Spidops,8,1,0.125,7.0,1,0,2,4,10,6,opp_deckout,False,True,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86540447,False,True,Mega Lucario,8,5,0.625,4.0,5,0,4,1,0,5,deckout,True,True,True,False,
20260718_115226_alakazam_ml_v5_sub54788067,86539869,False,False,Team Rocket Spidops,1,0,0.0,,0,0,0,0,44,1,other_loss,False,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86539285,True,True,Team Rocket Spidops,5,4,0.8,2.0,4,0,1,1,15,4,other_win,False,True,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86538720,True,True,Hop Trevenant/Dragapult,5,7,0.8,2.0,7,0,0,0,21,6,opp_boardout,True,True,True,False,
20260718_115226_alakazam_ml_v5_sub54788067,86538147,False,False,Hop Trevenant/Dragapult,14,2,0.14285714285714285,3.0,2,0,5,1,0,6,deckout,True,True,True,False,
20260718_115226_alakazam_ml_v5_sub54788067,86537560,True,False,Team Rocket Spidops,5,4,0.8,2.0,3,1,2,1,16,5,other_win,True,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86536982,True,False,Alakazam,5,8,1.0,1.0,5,2,3,1,13,6,opp_boardout,True,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86536402,False,True,Hop Trevenant/Dragapult,5,3,0.6,3.0,3,0,6,0,18,5,other_loss,False,False,False,False,
20260718_115226_alakazam_ml_v5_sub54788067,86535839,True,False,Team Rocket Spidops,7,7,1.0,1.0,5,1,2,3,7,5,other_win,True,False,False,False,
