category,card_id,card_name,count,per_game
play_or_ability,400,Team Rocket's Tarountula,224,2.635294117647059
play_or_ability,1134,Team Rocket's Transceiver,219,2.5764705882352943
play_or_ability,1152,Poké Pad,179,2.1058823529411765
play_or_ability,1094,Bug Catching Set,175,2.0588235294117645
play_or_ability,1216,Team Rocket's Ariana,167,1.964705882352941
play_or_ability,434,Team Rocket's Mimikyu,134,1.576470588235294
play_or_ability,1220,Team Rocket's Proton,134,1.576470588235294
play_or_ability,1227,Lillie's Determination,105,1.2352941176470589
play_or_ability,1257,Team Rocket's Factory,102,1.2
play_or_ability,414,Team Rocket's Articuno,92,1.0823529411764705
play_or_ability,431,Team Rocket's Mewtwo ex,73,0.8588235294117647
play_or_ability,1218,Team Rocket's Giovanni,55,0.6470588235294118
play_or_ability,1121,Ultra Ball,49,0.5764705882352941
play_or_ability,1217,Team Rocket's Archer,30,0.35294117647058826
