source_card_id,source_name,target_card_id,target_name,source_area,count,per_game
1,Basic {G} Energy,401,Team Rocket's Spidops,discard,250,2.5
1,Basic {G} Energy,400,Team Rocket's Tarountula,hand,227,2.27
15,Team Rocket's Energy,431,Team Rocket's Mewtwo ex,hand,135,1.35
1,Basic {G} Energy,431,Team Rocket's Mewtwo ex,hand,118,1.18
1,Basic {G} Energy,401,Team Rocket's Spidops,hand,112,1.12
1,Basic {G} Energy,414,Team Rocket's Articuno,hand,47,0.47
1159,Hero’s Cape,431,Team Rocket's Mewtwo ex,hand,40,0.4
15,Team Rocket's Energy,401,Team Rocket's Spidops,hand,22,0.22
1159,Hero’s Cape,401,Team Rocket's Spidops,hand,22,0.22
1175,Brave Bangle,401,Team Rocket's Spidops,hand,14,0.14
15,Team Rocket's Energy,434,Team Rocket's Mimikyu,hand,2,0.02
1159,Hero’s Cape,400,Team Rocket's Tarountula,hand,1,0.01
15,Team Rocket's Energy,400,Team Rocket's Tarountula,hand,1,0.01
1,Basic {G} Energy,434,Team Rocket's Mimikyu,hand,1,0.01
