source_card_id,source_name,target_card_id,target_name,source_area,count,per_game
1,Basic {G} Energy,401,Team Rocket's Spidops,discard,242,2.847058823529412
1,Basic {G} Energy,401,Team Rocket's Spidops,hand,122,1.4352941176470588
1,Basic {G} Energy,400,Team Rocket's Tarountula,hand,114,1.3411764705882352
15,Team Rocket's Energy,431,Team Rocket's Mewtwo ex,hand,82,0.9647058823529412
1,Basic {G} Energy,431,Team Rocket's Mewtwo ex,hand,64,0.7529411764705882
5,Basic {P} Energy,431,Team Rocket's Mewtwo ex,hand,43,0.5058823529411764
1159,Hero’s Cape,401,Team Rocket's Spidops,hand,30,0.35294117647058826
1175,Brave Bangle,401,Team Rocket's Spidops,hand,25,0.29411764705882354
1159,Hero’s Cape,431,Team Rocket's Mewtwo ex,hand,23,0.27058823529411763
5,Basic {P} Energy,401,Team Rocket's Spidops,discard,22,0.25882352941176473
5,Basic {P} Energy,401,Team Rocket's Spidops,hand,21,0.24705882352941178
1,Basic {G} Energy,414,Team Rocket's Articuno,hand,19,0.2235294117647059
15,Team Rocket's Energy,401,Team Rocket's Spidops,hand,17,0.2
15,Team Rocket's Energy,434,Team Rocket's Mimikyu,hand,6,0.07058823529411765
15,Team Rocket's Energy,400,Team Rocket's Tarountula,hand,3,0.03529411764705882
1159,Hero’s Cape,400,Team Rocket's Tarountula,hand,2,0.023529411764705882
1,Basic {G} Energy,434,Team Rocket's Mimikyu,hand,2,0.023529411764705882
5,Basic {P} Energy,400,Team Rocket's Tarountula,hand,1,0.011764705882352941
