episode_id,win,first,attacks,tarountula_attacks,spidops_attacks,mewtwo_attacks,mewtwo_bonus_uses,mewtwo_bonus_discards,mimikyu_attacks,spidops_evolutions,spidops_accelerations,board_t1,board_t2,board_t3,final_deck_zero
85740485,False,False,2,0,2,0,0,0,0,3,3,5,6,6,False
85733716,True,True,5,0,5,0,0,0,0,3,3,5,6,6,False
85730743,True,False,6,0,0,6,0,0,0,2,3,4,6,6,False
85729757,True,True,7,0,4,3,0,0,0,3,3,6,6,6,False
85725413,True,True,6,0,6,0,0,0,0,1,0,5,6,6,False
85716810,True,True,4,0,4,0,0,0,0,2,2,5,6,6,False
85708989,True,True,5,0,5,0,0,0,0,3,1,6,6,6,False
85699269,False,True,4,0,1,3,0,0,0,2,3,2,5,6,False
85697930,True,True,6,0,4,2,0,0,0,3,5,2,2,4,False
85690657,True,False,6,0,6,0,0,0,0,3,1,6,6,6,False
85687889,True,True,4,0,2,2,1,1,0,3,4,6,6,6,False
85686469,False,True,2,0,2,0,0,0,0,2,2,2,2,3,False
85681274,False,True,5,0,4,1,0,0,0,3,3,6,6,6,True
85679319,True,True,6,0,5,1,1,2,0,3,6,5,6,6,False
85675459,False,False,0,0,0,0,0,0,0,2,0,6,6,6,False
85668154,True,True,6,0,2,3,0,0,1,4,3,4,6,6,False
85654525,False,False,3,0,1,2,0,0,0,1,1,6,5,6,False
85651376,True,True,4,0,4,0,0,0,0,3,5,3,6,6,False
85647703,True,False,6,0,6,0,0,0,0,3,2,6,6,6,False
85642510,True,True,6,0,6,0,0,0,0,2,0,5,5,6,False
85637767,True,True,6,0,5,1,0,0,0,2,8,5,6,6,False
85637616,False,False,0,0,0,0,0,0,0,1,1,2,2,2,False
85633213,True,True,6,1,4,1,0,0,0,4,4,5,5,4,False
85629795,True,False,4,0,4,0,0,0,0,3,2,6,6,6,False
85626019,True,True,6,0,6,0,0,0,0,3,1,4,4,4,False
85624591,False,True,3,0,2,1,0,0,0,2,2,2,6,6,False
85622749,True,True,5,0,4,1,0,0,0,3,3,5,6,6,False
85621726,True,True,2,0,2,0,0,0,0,3,1,5,6,6,False
85621216,True,True,8,0,8,0,0,0,0,2,2,2,2,2,False
85620750,True,True,4,0,4,0,0,0,0,2,2,4,4,6,False
85620277,False,False,3,0,3,0,0,0,0,2,3,5,6,6,True
85619807,True,False,3,0,3,0,0,0,0,2,2,6,6,6,False
85619327,False,False,0,0,0,0,0,0,0,0,0,2,,,False
85618863,True,True,4,0,0,1,0,0,3,1,1,6,6,6,False
85618398,True,True,6,0,6,0,0,0,0,3,3,4,4,5,False
85617923,True,True,6,0,6,0,0,0,0,3,2,2,4,5,False
85617726,False,True,5,0,1,4,0,0,0,3,2,6,6,6,False
85617459,True,True,7,0,5,2,1,2,0,4,5,6,6,6,False
85616991,True,True,6,0,6,0,0,0,0,2,3,4,4,4,False
85616457,True,True,6,0,4,2,1,2,0,4,4,6,6,6,False
85615992,False,True,5,0,0,5,0,0,0,4,5,6,6,6,False
85615533,True,True,5,0,3,2,1,2,0,3,3,6,6,6,False
85615058,True,True,6,0,6,0,0,0,0,4,5,6,6,6,False
85614559,False,True,4,0,3,1,0,0,0,3,2,5,5,6,False
85614125,False,True,5,0,5,0,0,0,0,4,4,5,5,6,True
85613650,True,True,6,0,3,3,0,0,0,3,5,3,3,4,False
85613179,True,True,8,0,2,6,1,1,0,3,3,6,6,5,False
85612708,False,True,8,0,5,3,1,2,0,4,7,4,5,5,False
85612220,True,True,6,0,6,0,0,0,0,2,2,6,6,6,False
85611759,False,True,6,0,4,2,1,1,0,4,4,4,5,6,False
85611263,True,False,3,0,0,3,2,2,0,2,3,5,6,6,False
85610811,True,True,5,0,3,2,0,0,0,3,1,3,6,6,False
85610326,True,True,7,0,4,3,0,0,0,4,3,1,2,5,False
85609843,True,True,4,0,2,0,0,0,2,2,3,4,4,5,False
85609304,True,False,5,0,5,0,0,0,0,3,2,5,6,6,False
85608849,False,True,5,0,2,3,1,1,0,3,1,6,6,6,False
85608339,True,True,6,0,4,2,0,0,0,4,2,4,5,5,False
85607883,True,True,6,0,3,3,0,0,0,3,5,5,6,6,False
85607413,True,False,1,0,1,0,0,0,0,1,1,4,6,,False
85607196,False,True,2,0,2,0,0,0,0,2,2,4,3,5,False
85606933,False,True,2,0,2,0,0,0,0,4,1,4,6,6,False
85606465,True,True,5,0,3,2,0,0,0,3,3,3,4,5,False
85605990,False,True,6,0,4,2,0,0,0,3,3,2,2,2,False
85605539,True,False,6,0,6,0,0,0,0,4,4,3,4,6,False
85605038,True,True,6,0,6,0,0,0,0,4,4,6,6,6,False
85604569,True,True,6,0,1,5,1,2,0,4,8,4,6,6,False
85604092,False,False,4,0,3,1,0,0,0,3,4,6,6,6,False
85603606,True,True,5,0,5,0,0,0,0,4,4,6,6,6,False
85603130,False,True,4,0,2,2,0,0,0,2,2,5,5,5,False
85602645,True,False,6,0,2,4,0,0,0,4,4,6,6,6,False
85602589,True,True,6,0,2,4,0,0,0,3,4,5,5,4,False
85602107,False,True,6,0,4,2,0,0,0,4,5,3,6,6,False
85601635,True,True,2,0,2,0,0,0,0,3,0,6,6,6,False
85601280,False,True,4,0,3,1,0,0,0,4,5,6,6,6,False
85601157,True,False,5,0,4,1,1,2,0,3,4,5,5,6,False
