category,card_id,card_name,count,per_game
play_or_ability,400,Team Rocket's Tarountula,287,2.87
play_or_ability,1152,Poké Pad,268,2.68
play_or_ability,1094,Bug Catching Set,221,2.21
play_or_ability,1227,Lillie's Determination,182,1.82
play_or_ability,1257,Team Rocket's Factory,162,1.62
play_or_ability,434,Team Rocket's Mimikyu,154,1.54
play_or_ability,414,Team Rocket's Articuno,131,1.31
play_or_ability,1134,Team Rocket's Transceiver,126,1.26
play_or_ability,1218,Team Rocket's Giovanni,100,1.0
play_or_ability,1216,Team Rocket's Ariana,86,0.86
play_or_ability,1220,Team Rocket's Proton,86,0.86
play_or_ability,431,Team Rocket's Mewtwo ex,82,0.82
play_or_ability,1121,Ultra Ball,26,0.26
play_or_ability,1217,Team Rocket's Archer,17,0.17
