episode_id,win,first,attacks,tarountula_attacks,spidops_attacks,mewtwo_attacks,mewtwo_bonus_uses,mewtwo_bonus_discards,mimikyu_attacks,spidops_evolutions,spidops_accelerations,board_t1,board_t2,board_t3,final_deck_zero
85745518,True,False,4,0,4,0,0,0,0,3,1,4,6,6,False
85744950,True,False,4,1,1,2,0,0,0,3,2,6,6,5,False
85744470,True,True,3,0,0,3,3,3,0,2,2,6,6,6,False
85744049,True,True,10,4,3,3,0,0,0,3,3,6,6,6,False
85743529,False,False,5,1,2,2,1,1,0,3,3,5,5,5,True
85743523,True,False,5,0,5,0,0,0,0,4,3,4,6,6,False
85743084,True,False,10,8,1,1,0,0,0,1,1,1,2,2,False
85743049,True,True,10,7,3,0,0,0,0,2,1,4,4,4,False
85742596,True,False,5,0,4,1,0,0,0,4,4,6,6,6,False
85742121,False,True,6,5,1,0,0,0,0,3,3,5,6,6,True
85742145,False,True,3,0,3,0,0,0,0,3,3,6,6,6,False
85741600,True,True,9,4,3,2,1,1,0,3,4,2,6,6,False
85740651,False,False,5,1,3,1,1,1,0,3,3,5,5,6,True
85741181,True,True,6,0,6,0,0,0,0,4,4,6,6,6,False
85740242,True,True,6,0,6,0,0,0,0,4,6,5,6,6,False
85739763,False,False,8,6,1,1,0,0,0,1,1,3,3,3,False
85739322,False,False,6,4,2,0,0,0,0,1,1,4,4,4,False
85739323,False,False,3,2,1,0,0,0,0,1,1,4,5,5,False
85739309,True,True,2,0,0,2,1,1,0,2,0,6,6,6,False
85738846,False,True,7,3,1,3,0,0,0,2,3,6,6,6,True
85738371,True,False,5,1,2,2,0,0,0,3,2,4,4,5,False
85737902,True,False,5,0,4,1,0,0,0,3,4,5,6,6,False
85737425,True,False,7,1,2,4,0,0,0,2,2,5,6,6,False
85736834,False,True,2,1,1,0,0,0,0,1,2,2,3,3,False
85736482,False,False,3,0,2,1,0,0,0,1,1,4,4,4,False
85736013,True,False,7,4,3,0,0,0,0,3,3,6,6,6,False
85735549,True,False,6,0,4,2,1,1,0,4,8,5,6,6,False
85735069,False,True,5,3,0,2,0,0,0,1,0,6,6,6,False
85734620,True,True,6,0,4,2,1,1,0,3,3,5,6,6,False
85734606,True,True,7,1,5,1,0,0,0,4,4,3,6,6,False
85734135,True,True,5,0,4,1,0,0,0,4,2,4,6,6,False
85733669,True,False,6,3,2,1,0,0,0,3,3,6,6,6,False
85733199,True,False,8,3,3,2,1,1,0,3,3,5,6,6,False
85732730,False,False,0,0,0,0,0,0,0,0,0,3,1,2,False
85732261,True,False,4,0,3,1,0,0,0,3,3,5,6,6,False
85732268,True,False,7,2,2,3,1,1,0,3,2,5,6,6,False
85731799,True,False,3,0,3,0,0,0,0,3,4,5,6,5,False
85731330,False,False,4,0,4,0,0,0,0,2,3,6,6,6,True
85730872,True,True,7,3,1,3,0,0,0,1,1,1,2,2,False
85730405,False,False,10,10,0,0,0,0,0,0,0,6,6,6,True
85729946,True,True,8,2,3,3,0,0,0,3,3,4,5,6,False
85729938,False,False,4,2,1,1,1,1,0,2,2,5,5,4,True
85729474,True,True,7,1,3,3,0,0,0,4,4,1,5,6,False
85729001,False,False,4,0,4,0,0,0,0,3,1,6,6,6,False
85728545,True,True,6,3,1,0,0,0,2,3,2,6,6,6,False
85728076,True,False,10,4,3,3,0,0,0,4,4,3,3,3,False
85727679,True,False,1,0,1,0,0,0,0,2,0,6,6,,False
85727153,True,True,6,1,2,3,1,1,0,3,3,6,6,6,False
85727145,False,False,0,0,0,0,0,0,0,0,0,1,1,,False
85726680,True,True,6,0,6,0,0,0,0,3,1,4,6,6,False
85726669,False,True,3,2,1,0,0,0,0,2,1,1,4,4,False
85726208,True,True,7,3,1,3,0,0,0,1,1,4,5,6,False
85725742,False,False,1,0,1,0,0,0,0,2,0,5,5,4,False
85725269,True,False,7,1,4,2,0,0,0,4,4,6,6,6,False
85724807,True,False,7,0,7,0,0,0,0,4,3,5,5,6,False
85724337,False,False,5,3,0,2,0,0,0,2,2,3,3,2,False
85724349,True,False,5,0,5,0,0,0,0,4,5,5,6,6,False
85724368,True,True,6,0,2,4,1,1,0,4,7,6,6,6,False
85723868,False,True,5,0,4,1,0,0,0,3,5,5,6,6,True
85723403,True,False,5,1,4,0,0,0,0,3,3,3,4,6,False
85722942,False,False,6,5,1,0,0,0,0,1,1,6,6,6,False
85722465,True,True,5,3,2,0,0,0,0,3,4,3,6,6,False
85721980,False,False,6,4,1,1,0,0,0,1,1,5,5,5,True
85721519,True,False,5,1,4,0,0,0,0,2,1,1,4,5,False
85721039,True,True,8,0,8,0,0,0,0,4,3,6,6,6,False
85720597,True,True,6,0,1,5,0,0,0,2,1,5,6,6,False
85720581,True,True,1,0,1,0,0,0,0,1,0,5,5,,False
85720113,True,False,11,5,4,2,0,0,0,3,4,4,4,4,False
85719653,True,False,6,0,5,1,0,0,0,4,6,6,6,6,False
85719177,True,True,2,0,2,0,0,0,0,2,3,6,6,6,False
85718714,True,True,11,6,2,3,0,0,0,2,2,3,4,4,False
85718242,False,False,5,0,4,1,0,0,0,2,2,4,2,4,False
85717771,True,False,16,11,2,3,0,0,0,2,2,5,5,5,False
85716836,False,True,9,5,3,1,1,1,0,3,2,6,6,5,True
85717297,False,True,5,0,4,1,0,0,0,4,4,2,3,3,False
85716401,True,True,4,0,0,4,2,4,0,2,4,5,6,6,False
85715896,False,False,6,5,1,0,0,0,0,2,1,6,6,6,False
85715425,False,False,3,2,0,1,0,0,0,1,1,5,5,5,False
85714936,True,False,9,3,2,4,0,0,0,3,3,6,6,6,False
85714495,False,True,7,0,3,4,0,0,0,3,5,6,6,6,True
85714020,False,True,2,0,2,0,0,0,0,2,2,3,4,4,False
85713553,True,True,6,0,5,1,0,0,0,4,5,2,5,6,False
85713085,True,True,9,3,2,4,0,0,0,3,5,2,3,5,False
85712612,True,True,5,3,2,0,0,0,0,3,3,4,4,4,False
85712142,True,False,6,0,5,1,0,0,0,4,3,6,6,6,False
85711676,True,False,4,0,2,2,0,0,0,3,3,4,4,5,False
85711679,True,True,7,2,3,2,1,1,0,3,2,5,6,6,False
85711216,True,True,8,4,3,1,0,0,0,3,2,4,5,4,False
85711242,True,False,4,0,2,2,0,0,0,2,1,6,6,5,False
85710754,True,False,5,0,3,2,1,1,0,4,4,6,6,6,False
85710792,False,False,0,0,0,0,0,0,0,0,0,1,,,False
85710271,True,False,11,6,3,2,0,0,0,3,3,4,4,4,False
85709808,True,True,6,4,0,2,0,0,0,3,0,6,6,6,False
85709332,False,False,5,0,3,2,1,1,0,4,4,6,6,6,True
85708876,True,False,6,0,5,1,0,0,0,4,7,6,6,6,False
85708394,False,False,9,6,0,3,1,1,0,0,0,2,5,6,True
85708466,False,True,5,0,3,2,0,0,0,1,0,5,6,6,False
85707937,False,False,1,1,0,0,0,0,0,1,1,4,4,5,False
85707927,False,False,3,0,2,1,0,0,0,2,1,5,5,6,False
85706548,True,False,7,2,4,1,0,0,0,3,4,6,6,6,False
