dataset,episode_id,win,first,opp_sid,opp_name,archetype,own_turns,attack_turns,attack_rate,attacks,first_attack_turn,missed_attack_opportunities,spidops_evolutions,spidops_accelerations,retreats,loss_cause,final_my_prizes,final_opp_prizes,final_deck,final_board,mewtwo_bonus0,mewtwo_bonus1,mewtwo_bonus2
leader,85556836,True,True,53942619,Ryosei Kojima,Hop's Phantump + Dunsparce,9,6,0.6666666666666666,7,2.0,1,3,3,9,win,1,2,16,6,0,0,0
leader,85557784,True,True,54433158,HayatoFujihara,Hop's Phantump + Dunsparce,7,6,0.8571428571428571,6,2.0,0,4,2,4,win,1,3,20,6,3,0,0
leader,85558262,False,True,54599207,Changdao Chen,Archaludon ex + Cinderace,7,2,0.2857142857142857,5,6.0,2,3,4,4,other,4,1,27,5,1,0,0
leader,85558738,True,False,54566578,MERO TOKI,Mega Lucario ex + Riolu,5,2,0.4,3,4.0,1,3,3,3,win,3,4,13,6,1,1,0
leader,85559223,True,True,54561190,Yuu K,Fezandipiti ex + Alakazam,10,1,0.1,1,7.0,0,2,0,2,win,5,6,26,6,1,0,0
leader,85559685,False,True,54599207,Changdao Chen,Archaludon ex + Cinderace,7,5,0.7142857142857143,5,2.0,0,3,7,5,other,3,2,18,6,2,1,0
leader,85560671,True,False,54203196,kazuki0123,Marnie's Grimmsnarl ex + Marnie's Impidimp,6,4,0.6666666666666666,4,2.0,0,3,3,3,win,2,2,17,6,0,0,0
leader,85561142,True,True,54523317,Aki Ogawa,Alakazam + Kadabra,16,3,0.1875,3,2.0,0,2,2,2,win,3,4,16,5,0,0,0
leader,85561622,True,True,54592865,Larry,Marnie's Grimmsnarl ex + Marnie's Impidimp,2,1,0.5,1,2.0,0,1,0,1,win,6,6,36,6,0,0,0
leader,85562091,True,True,54563124,haggle,Alakazam + Kadabra,24,5,0.20833333333333334,7,5.0,2,4,5,8,win,1,2,14,6,1,0,0
leader,85562566,True,False,54533290,tera358,Fezandipiti ex + Alakazam,22,7,0.3181818181818182,7,8.0,2,3,6,11,win,2,4,3,6,1,1,0
leader,85563037,True,True,54599440,NoOne,Alakazam + Kadabra,25,9,0.36,9,9.0,1,4,2,10,win,2,2,9,5,1,0,0
leader,85563499,True,True,54592967,wkonishi,Fezandipiti ex + Alakazam,7,5,0.7142857142857143,5,2.0,0,2,3,6,win,2,4,19,5,0,1,0
leader,85564528,True,False,54588791,xthixsl_ml,Fezandipiti ex + Alakazam,24,8,0.3333333333333333,10,2.0,4,2,2,5,win,1,4,1,6,2,0,0
leader,85565467,True,False,54464211,OSELCOUN,Fezandipiti ex + Alakazam,16,5,0.3125,6,9.0,3,4,5,5,win,1,4,14,6,0,0,0
leader,85565955,True,False,54602642,Melvin Low,Fezandipiti ex + Alakazam,3,2,0.6666666666666666,2,2.0,0,2,0,1,win,5,6,25,6,0,0,0
leader,85565978,True,False,54554740,skurita,Mega Lucario ex + Riolu,5,4,0.8,5,2.0,1,3,4,0,win,1,4,8,6,1,1,0
leader,85566341,True,True,54604843,OSELCOUN,Fezandipiti ex + Alakazam,16,2,0.125,3,10.0,1,2,2,10,win,4,4,27,5,0,0,0
leader,85566415,True,True,54594035,MPGaming,Mega Kangaskhan ex + Crustle,7,5,0.7142857142857143,6,2.0,1,2,3,4,win,1,5,6,6,2,0,0
leader,85566565,True,True,54533713,Budew,Mega Kangaskhan ex + Crustle,6,4,0.6666666666666666,5,3.0,1,2,0,1,win,1,6,22,6,0,0,0
leader,85566588,True,True,54599692,rick & shikitora,Alakazam + Kadabra,12,6,0.5,6,4.0,0,2,1,5,win,1,3,23,6,4,0,0
leader,85566900,False,False,54491389,Sota Uchiyama,Marnie's Grimmsnarl ex + Marnie's Impidimp,4,1,0.25,1,4.0,0,3,0,2,other,6,2,27,6,0,0,0
leader,85567380,True,True,54491389,Sota Uchiyama,Marnie's Grimmsnarl ex + Marnie's Impidimp,5,4,0.8,4,2.0,0,2,2,2,win,2,3,29,6,1,0,0
leader,85567557,True,True,54484720,LiamK,Cornerstone Mask Ogerpon ex + Crustle,7,6,0.8571428571428571,6,2.0,0,2,1,2,win,1,6,15,6,0,0,0
leader,85567867,False,True,54378321,WinDecks,Mega Starmie ex + Staryu,5,3,0.6,4,2.0,1,0,0,3,other,4,1,21,4,1,0,0
leader,85567973,False,False,54554421,Budew,Mega Kangaskhan ex + Crustle,11,2,0.18181818181818182,2,8.0,1,1,1,5,deckout,5,3,0,5,1,0,0
leader,85568823,True,True,54586673,Kohei,Comfey + Bramblin,8,5,0.625,5,2.0,1,2,6,6,win,2,6,19,6,0,0,0
leader,85569304,False,False,54529059,Majkel1337,Fezandipiti ex + Alakazam,25,4,0.16,6,5.0,2,2,2,6,deckout,4,3,0,6,1,0,0
leader,85569782,False,False,54599692,rick & shikitora,Alakazam + Kadabra,15,11,0.7333333333333333,11,2.0,4,3,3,2,other,4,2,21,5,0,0,0
leader,85569888,True,True,54360530,Yushin Ito,Marnie's Grimmsnarl ex + Fezandipiti ex,8,5,0.625,5,4.0,0,4,4,4,win,1,4,5,6,0,0,0
leader,85569892,False,True,54486275,Yushin Ito,Fezandipiti ex + Alakazam,26,9,0.34615384615384615,11,3.0,9,3,2,6,deckout,3,3,0,4,0,0,0
leader,85570326,True,True,53807925,strayuru,Crustle + Dwebble,4,3,0.75,3,2.0,0,1,1,2,win,4,6,34,6,0,0,0
leader,85570504,True,False,54448983,Dũng Đỗ,Mega Kangaskhan ex + Crustle,10,4,0.4,7,4.0,3,4,1,7,win,1,4,6,5,0,0,0
leader,85570822,True,False,54599396,Topdecking is All You Need,Cynthia's Garchomp ex + Cynthia's Gabite,6,5,0.8333333333333334,5,2.0,0,4,3,5,win,2,3,17,6,1,0,0
leader,85571323,True,False,54486275,Yushin Ito,Fezandipiti ex + Alakazam,15,5,0.3333333333333333,6,10.0,1,2,3,7,win,2,3,7,6,3,0,0
leader,85571337,False,True,54599692,rick & shikitora,Alakazam + Kadabra,20,7,0.35,7,14.0,1,2,1,4,other,4,2,21,6,0,0,0
leader,85571777,True,False,54469529,213tubo,Fezandipiti ex + Alakazam,7,5,0.7142857142857143,5,2.0,0,2,2,4,win,2,6,15,6,2,1,0
leader,85571857,True,False,54529059,Majkel1337,Fezandipiti ex + Alakazam,19,6,0.3157894736842105,6,2.0,1,4,4,8,win,1,2,3,6,0,1,0
leader,85572259,True,True,54539956,Eduardo Rocha de Andrade,Mega Kangaskhan ex + Crustle,7,3,0.42857142857142855,6,3.0,3,3,3,1,win,2,5,19,6,0,0,0
leader,85572739,True,True,54558578,youtube.com/@BigBugginnings,Dragapult ex + Meowth ex,9,6,0.6666666666666666,6,2.0,0,3,3,3,win,1,2,14,6,0,0,0
leader,85573214,False,True,54411918,mitomeat823,Mega Lucario ex + Riolu,6,1,0.16666666666666666,3,3.0,2,2,4,2,other,3,1,6,4,0,1,0
leader,85573728,True,False,54606597,MPGaming,Mega Kangaskhan ex + Crustle,7,4,0.5714285714285714,7,2.0,3,4,3,4,win,2,4,4,5,0,0,0
leader,85574220,True,False,54484720,LiamK,Cornerstone Mask Ogerpon ex + Crustle,11,6,0.5454545454545454,8,4.0,2,2,4,5,win,1,6,15,6,0,0,0
leader,85574258,True,True,54529059,Majkel1337,Fezandipiti ex + Alakazam,30,9,0.3,11,4.0,4,4,5,11,win,1,4,8,6,0,0,0
leader,85574271,True,False,54486275,Yushin Ito,Fezandipiti ex + Alakazam,24,5,0.20833333333333334,5,8.0,0,3,5,8,win,1,2,6,6,1,1,0
leader,85574692,True,True,54533713,Budew,Mega Kangaskhan ex + Crustle,10,4,0.4,6,2.0,2,3,2,7,win,1,3,3,6,1,0,0
leader,85575172,True,True,54145104,中村文彌,Mega Abomasnow ex + Snover,8,3,0.375,4,4.0,2,3,3,7,win,1,3,3,6,0,0,0
leader,85575637,False,True,54533713,Budew,Mega Kangaskhan ex + Crustle,6,2,0.3333333333333333,3,5.0,1,4,6,4,deckout,3,4,0,6,1,0,0
leader,85576121,True,True,54589656,bono,Fezandipiti ex + Alakazam,7,6,0.8571428571428571,6,2.0,0,1,2,3,win,1,5,23,6,4,1,0
leader,85576603,False,True,54529059,Majkel1337,Fezandipiti ex + Alakazam,29,7,0.2413793103448276,9,11.0,3,2,1,8,deckout,2,2,0,5,1,0,0
leader,85577086,False,False,54533713,Budew,Mega Kangaskhan ex + Crustle,7,3,0.42857142857142855,5,2.0,3,2,3,2,other,5,1,10,4,0,0,0
leader,85577554,True,False,54360530,Yushin Ito,Marnie's Grimmsnarl ex + Fezandipiti ex,5,4,0.8,4,2.0,0,3,3,3,win,1,2,15,6,0,0,0
leader,85577557,True,True,54554421,Budew,Mega Kangaskhan ex + Crustle,11,5,0.45454545454545453,7,5.0,3,3,2,6,win,1,3,2,6,0,0,0
leader,85578039,False,True,54503495,LiamK,Fezandipiti ex + Alakazam,20,8,0.4,8,2.0,7,2,2,6,deckout,2,5,0,6,0,1,0
leader,85578517,True,True,54533713,Budew,Mega Kangaskhan ex + Crustle,6,4,0.6666666666666666,5,3.0,1,3,3,4,win,1,6,9,6,0,0,0
leader,85578522,True,False,54589656,bono,Fezandipiti ex + Alakazam,18,5,0.2777777777777778,5,2.0,0,4,5,10,win,1,2,5,6,1,0,0
