dataset,episode_id,win,first,opp_sid,opp_name,archetype,own_turns,attack_turns,attack_rate,attacks,first_attack_turn,missed_attack_opportunities,spidops_evolutions,spidops_accelerations,retreats,loss_cause,final_my_prizes,final_opp_prizes,final_deck,final_board,mewtwo_bonus0,mewtwo_bonus1,mewtwo_bonus2
ours,85871755,True,True,54670853,SegPulse 锋析-Kaggle Autonomous,Mega Abomasnow ex + Dondozo ex,11,5,0.45454545454545453,7,6.0,2,3,2,3,win,1,2,17,4,3,0,0
ours,85866354,False,True,54510471,sugawarachikara,Mega Froslass ex + Snorunt,7,2,0.2857142857142857,4,2.0,2,3,3,2,other,1,2,28,6,0,0,0
ours,85862259,False,True,54671496,wkonishi,Mega Kangaskhan ex + Crustle,8,2,0.25,4,2.0,2,2,1,4,other,4,1,33,1,0,0,0
ours,85859817,True,True,54614065,datascientists,Dragapult ex + Meowth ex,8,5,0.625,5,4.0,1,2,0,5,win,1,6,26,5,0,0,0
ours,85838103,True,True,54638537,カドラバ Kadoraba,Fezandipiti ex + Alakazam,13,4,0.3076923076923077,4,3.0,1,4,3,6,win,2,2,1,3,2,0,0
ours,85838130,False,False,54142585,waiwai0121,Mega Starmie ex + Cinderace,7,1,0.14285714285714285,1,7.0,0,1,0,2,other,6,1,15,4,0,0,0
ours,85815842,True,False,54661038,CarsonHu,Fezandipiti ex + Alakazam,7,2,0.2857142857142857,2,2.0,2,1,0,4,win,5,5,28,4,0,0,0
ours,85810780,False,False,53934592,hardik rathod,Dragapult ex + Dreepy,8,5,0.625,7,2.0,2,2,3,1,other,5,1,24,4,1,0,0
ours,85801528,False,False,54454846,EasonLee0917,Marnie's Grimmsnarl ex + Marnie's Impidimp,8,1,0.125,3,8.0,2,1,1,3,other,5,1,22,5,0,0,0
ours,85793160,True,True,53780393,世界のたまちゃん,Mega Lucario ex + Riolu,7,2,0.2857142857142857,3,2.0,1,2,1,2,win,4,2,33,1,0,0,0
ours,85791596,False,False,54641202,Rmy,Mega Kangaskhan ex + Crustle,11,3,0.2727272727272727,6,2.0,3,2,2,4,other,4,1,13,6,0,0,0
ours,85790949,False,False,54657408,SkiChu,Mega Lucario ex + Meowth ex,3,0,0.0,2,,3,1,1,1,other,6,4,36,1,0,0,0
ours,85789651,True,True,54168033,Ten Uchikawa,Alakazam + Kadabra,11,7,0.6363636363636364,8,2.0,1,3,3,5,win,1,3,18,5,0,0,0
ours,85790140,False,True,53850205,hiroto fujimori,Mega Abomasnow ex + Snover,6,0,0.0,2,,3,1,0,2,other,6,1,28,3,0,0,0
