leaderboard_rank,team_id,team_name,submission_id,submission_score,leaderboard_submission_id,episode_id,episode_state,episode_type,created_at,ended_at,seat_index,opponent_submission_id,opponent_team_name,agent_0_submission_id,agent_1_submission_id,deck_hash,matched_deck_card_ids,replay_path,log_paths,download_status,error,downloaded_at
12,16452116,Sixth Sense,55138264,1113.7,55138264,89148316,COMPLETED,EPISODE_TYPE_VALIDATION,2026-07-31T13:22:04.073081400Z,2026-07-31T13:23:13.564084500Z,0,55138264,Sixth Sense,55138264,55138264,9714ab5c3996f6cc,648,replays\episode_89148316.json,logs\89148316\agent_0_observation_logs.json;logs\89148316\agent_1_observation_logs.json,success,,2026-08-06T09:39:06.331655Z
12,16452116,Sixth Sense,55138264,1113.7,55138264,89148398,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-31T13:24:48.100561500Z,2026-07-31T13:26:44.766172200Z,1,53950448,n=1,53950448,55138264,9714ab5c3996f6cc,648,replays\episode_89148398.json,logs\89148398\agent_0_observation_logs.json;logs\89148398\agent_1_observation_logs.json,success,,2026-08-06T09:39:12.813683Z
12,16452116,Sixth Sense,55138264,1113.7,55138264,89148897,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-31T13:28:47.949332400Z,2026-07-31T13:29:25.425773100Z,0,54844008,Kazuki Shiraishi,55138264,54844008,9714ab5c3996f6cc,648,replays\episode_89148897.json,logs\89148897\agent_0_observation_logs.json;logs\89148897\agent_1_observation_logs.json,success,,2026-08-06T09:39:15.902825Z
12,16452116,Sixth Sense,55138264,1113.7,55138264,89149410,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-31T13:32:56.025753900Z,2026-07-31T13:33:46.588823600Z,1,55132967,Gakutei Yuuna,55132967,55138264,9714ab5c3996f6cc,648,replays\episode_89149410.json,logs\89149410\agent_0_observation_logs.json;logs\89149410\agent_1_observation_logs.json,success,,2026-08-06T09:39:19.626265Z
12,16452116,Sixth Sense,55138264,1113.7,55138264,89149923,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-31T13:36:57.066932500Z,2026-07-31T13:37:40.529918300Z,1,54709555,reo ifigg,54709555,55138264,9714ab5c3996f6cc,648,replays\episode_89149923.json,logs\89149923\agent_0_observation_logs.json;logs\89149923\agent_1_observation_logs.json,success,,2026-08-06T09:39:24.221122Z
12,16452116,Sixth Sense,55138264,1113.7,55138264,89150434,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-31T13:40:56.273627300Z,2026-07-31T13:41:57.995713700Z,1,55133749,Oleksandr_Savsunenko,55133749,55138264,9714ab5c3996f6cc,648,replays\episode_89150434.json,logs\89150434\agent_0_observation_logs.json;logs\89150434\agent_1_observation_logs.json,success,,2026-08-06T09:39:27.148509Z
12,16452116,Sixth Sense,55138264,1113.7,55138264,89150936,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-31T13:45:00.109927400Z,2026-07-31T13:46:07.955183600Z,1,55114650,akmr,55114650,55138264,9714ab5c3996f6cc,648,replays\episode_89150936.json,logs\89150936\agent_0_observation_logs.json;logs\89150936\agent_1_observation_logs.json,success,,2026-08-06T09:39:31.616222Z
12,16452116,Sixth Sense,55138264,1113.7,55138264,89151444,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-31T13:48:57.389130500Z,2026-07-31T13:49:59.520157Z,0,54954569,MTL Agent,55138264,54954569,9714ab5c3996f6cc,648,replays\episode_89151444.json,logs\89151444\agent_0_observation_logs.json;logs\89151444\agent_1_observation_logs.json,success,,2026-08-06T09:39:35.179400Z
12,16452116,Sixth Sense,55138264,1113.7,55138264,89151947,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-31T13:52:57.113166600Z,2026-07-31T13:54:06.233443Z,0,55131647,Civitas,55138264,55131647,9714ab5c3996f6cc,648,replays\episode_89151947.json,logs\89151947\agent_0_observation_logs.json;logs\89151947\agent_1_observation_logs.json,success,,2026-08-06T09:39:36.756247Z
12,16452116,Sixth Sense,55138264,1113.7,55138264,89152442,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-31T13:56:56.026132200Z,2026-07-31T13:57:45.220664100Z,1,55104382,tedo,55104382,55138264,9714ab5c3996f6cc,648,replays\episode_89152442.json,logs\89152442\agent_0_observation_logs.json;logs\89152442\agent_1_observation_logs.json,success,,2026-08-06T09:39:39.506060Z
