rank,team_id,team_name,leaderboard_submission_id,leaderboard_score,medal
1,16448747,Luca,54863653,1156.0,GOLD
2,16374395,Majkel1337,54909711,1154.1,GOLD
3,16371653,213tubo,54929326,1140.0,GOLD
4,16425135,Rmy,54899223,1130.7,GOLD
5,16425934,theredbluepill,54931068,1129.9,GOLD
6,16381823,Yushin Ito,54773249,1129.4,GOLD
7,16372029,Jack,54916683,1122.3,GOLD
8,16372307,Team KASA.,54923744,1119.2,GOLD
9,16411724,me and the lads,54925664,1115.4,GOLD
10,16400014,__Taichicchi__,54883872,1111.4,GOLD
11,16407428,{{ team_name }},54900147,1109.8,GOLD
12,16454068,Where is my orbit,54902635,1109.4,GOLD
13,16406640,gecogeco,54923761,1108.2,GOLD
14,16422150,junlee789,54897135,1105.6,GOLD
15,16372380,THIRD PTCG Club,54840044,1104.8,GOLD
16,16463316,LiamK,54907538,1103.7,GOLD
17,16378476,aaa,54920221,1103.4,GOLD
18,16407282,SQUIRTLE (prime),54875820,1102.9,GOLD
19,16387915,tw_shin,54809294,1102.1,GOLD
20,16445292,GUOHAOYANG,54889101,1099.4,GOLD
21,16379968,Kotaro OKUYAMA,54798842,1098.5,GOLD
22,16381624,LumenLiquidity,54897360,1095.3,SILVER
23,16381904,NguyenThanhNhan,54918723,1090.4,SILVER
24,16385250,matsurih,54917647,1087.4,SILVER
25,16499803,Team Rot-Weiß,54922161,1085.7,SILVER
26,16445525,齐乐,54920585,1084.1,SILVER
27,16390728,Kazama Yusuke,54867822,1083.1,SILVER
28,16461850,Eduardo Rocha de Andrade,54909624,1082.7,SILVER
29,16566047,jneums,54889085,1081.4,SILVER
30,16487924,lmaffei,54912602,1076.3,SILVER
31,16464757,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,54928484,1075.6,SILVER
32,16371474,Shardul Gharat,54925574,1074.8,SILVER
33,16389043,Pushu?,54910145,1071.8,SILVER
34,16441077,haggle,54886088,1066.0,SILVER
35,16372828,iwashi,54858381,1065.4,SILVER
36,16388364,miya,54887898,1063.5,SILVER
37,16372168,goonew,54922412,1060.9,SILVER
38,16401021,msd0110,54899938,1059.4,SILVER
39,16391123,Iliamna,54927573,1057.8,SILVER
40,16393709,AyFukushima,54915576,1054.9,SILVER
