rank,team_id,team_name,leaderboard_submission_id,leaderboard_score,medal
1,16463316,LiamK,55248965,1158.9,GOLD
2,16380946,flg,55290684,1158.7,GOLD
3,16422241,Raihan Ramadistra,55202823,1142.4,GOLD
4,16375647,James Cox & Henry Chao,55278240,1138.6,GOLD
5,16561259,@kdcyberdude,55187358,1135.8,GOLD
6,16452116,Sixth Sense,55138264,1133.3,GOLD
7,16461850,MissingNo.,55280326,1125.9,GOLD
8,16609576,stnick,55308701,1124.7,GOLD
9,16416261,Petit Canard,55301951,1123.2,GOLD
10,16371653,213tubo,55297031,1122.2,GOLD
11,16445258,MTADA,55286093,1118.7,GOLD
12,16600240,DavidFreelan,55306212,1108.4,GOLD
13,16374395,Majkel1337,55307654,1102.4,GOLD
14,16393745,ShumpeiNomura,55215429,1096.2,GOLD
15,16372380,THIRD PTCG Club,55299454,1096.0,GOLD
16,16381127,Boss's Orders Are All You Need,55308612,1095.0,GOLD
17,16371280,loIzpo + emonga,55157066,1091.6,GOLD
18,16438680,想要成为kaggle大师,55290791,1090.3,GOLD
19,16388654,vvs,55287275,1087.7,GOLD
20,16422381,JB Bryant,55267977,1087.6,GOLD
21,16371723,RtoABC,55266630,1087.0,GOLD
22,16668226,kanno,55299401,1084.9,GOLD
23,16531497,"Bart, Edwyn",55306192,1083.3,SILVER
24,16375320,カントー地方マスター(KantoRegionMaster),55288983,1083.2,SILVER
25,16381823,AlphaStarmie,54773249,1078.2,SILVER
26,16454068,Where is my orbit,54957625,1076.4,SILVER
27,16445525,齐乐,55247479,1072.4,SILVER
28,16464757,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,55290843,1072.1,SILVER
29,16483241,☕ Psyduck Needs Coffee,55289024,1071.8,SILVER
30,16381904,NguyenThanhNhan,55289475,1070.7,SILVER
31,16594494,MOP Capital,55307275,1068.7,SILVER
32,16606656,Yaroslav,55292349,1068.1,SILVER
33,16411029,ANDPAD kaggler team,55282958,1066.2,SILVER
34,16448747,Luca,55308113,1064.5,SILVER
35,16385250,matsurih,55297679,1062.2,SILVER
36,16585558,rhythm master,55303881,1059.1,SILVER
37,16374632,cyrus,55286621,1058.2,SILVER
38,16383493,KanaeKanae,55300659,1056.8,SILVER
39,16416965,Nghia Tran,55282766,1055.6,SILVER
40,16591208,alexesn,55275708,1053.7,SILVER
41,16441077,haggle,55308827,1051.9,SILVER
42,16441104,HCRL,55283374,1050.3,SILVER
43,16431972,ykhnkf,55299769,1049.0,SILVER
44,16373946,KawattaTaido,55245964,1046.9,SILVER
45,16446951,NIWATORI,55291801,1046.4,SILVER
46,16404352,Oshbocker,55280123,1046.0,SILVER
47,16373297,Ars Noveau,55291053,1045.9,SILVER
48,16388101,doctorw,55305108,1044.1,SILVER
49,16386110,Jonathan Coletti,55283574,1044.1,SILVER
50,16556346,sadwat,55302136,1040.9,SILVER
51,16425135,Rmy,55251826,1040.7,SILVER
52,16375404,tktkyamyam,55296227,1039.6,SILVER
53,16406640,gecogeco,55298981,1039.5,SILVER
54,16372029,Jack,55286357,1038.8,SILVER
55,16381624,LumenLiquidity,55305767,1036.9,SILVER
56,16553431,pokemon master,55308764,1036.9,SILVER
57,16375942,perrodawn,55308716,1036.0,SILVER
58,16428695,redblackbst,55301899,1033.7,SILVER
59,16375066,youtube.com/@BigBugginnings,55303689,1033.4,SILVER
60,16371427,bono,55184624,1032.6,SILVER
61,16400698,MarineYY,55302993,1030.6,SILVER
62,16566110,你好哇,55217587,1030.2,SILVER
63,16514272,Dominic Peel,55250753,1030.2,SILVER
64,16376653,szlachetny snieg,55305795,1030.1,SILVER
65,16533373,Roman Stupin,55300030,1028.0,SILVER
66,16501184,takayosi,55251436,1028.0,SILVER
67,16391395,djschmit,55258385,1027.7,SILVER
68,16541765,less,55299044,1027.3,SILVER
69,16387100,kigasudayooo,55262942,1026.9,SILVER
70,16589783,GPT-5.6 Sol🏆,55258074,1025.9,SILVER
71,16377557,ポケカ前線,55252368,1023.9,SILVER
72,16450716,Confusion,55294158,1022.7,SILVER
73,16374843,あなまか,55276449,1022.7,SILVER
74,16388592,Articuno0144,55239672,1021.9,SILVER
75,16391123,Iliamna,55303718,1021.2,SILVER
76,16505594,Pokemon Fan,55290927,1021.0,SILVER
77,16379289,wkonishi,55307369,1020.2,SILVER
78,16566841,Yan,55235071,1019.6,SILVER
79,16455011,mojyaP,55216339,1018.9,SILVER
80,16373257,six seven,55193275,1017.7,SILVER
81,16499803,Team Rot-Weiß,55302506,1017.3,SILVER
82,16375635,palsystem,55308527,1017.0,SILVER
83,16397982,NorthStar,55130199,1016.8,SILVER
84,16430670,서주영,55281128,1016.3,SILVER
85,16408505,JZ,55094113,1016.3,SILVER
86,16582540,Ayanokoji Fan Club,55305526,1015.1,SILVER
87,16372782,Pokemon Siuuuu,55302165,1013.9,SILVER
88,16408528,MtN,55296010,1013.7,SILVER
89,16450476,Thai,55295543,1013.5,SILVER
90,16440585,Brahim,55293976,1013.5,SILVER
91,16674716,Leonardo Viola10,55309120,1011.2,SILVER
92,16375173,pztriatomic,55274772,1011.2,SILVER
93,16454280,qb,55309222,1010.6,SILVER
94,16372828,iwashi,55277279,1009.8,SILVER
95,16553454,masspeaks,55305067,1009.1,SILVER
96,16482183,haruto,55202682,1008.8,SILVER
97,16431331,insuperabilehart,55304029,1007.3,SILVER
98,16657932,Byer Script,55299971,1007.2,SILVER
99,16536318,李秉叡（ntumlnoob）,55297247,1007.0,SILVER
100,16443196,Changyuan Chen,55269798,1006.7,SILVER
