archetype,teams,share_pct,best_rank,distinct_deck_lists,ranks
Marnie's Grimmsnarl ex / Munkidori,36,38.7,3,4,3 4 5 9 11 11 12 13 15 16 20 22 24 25 26 26 27 27 28 29 30 31 31 32 32 35 35 36 38 39 40 45 48 48 49 50
Fezandipiti ex / Alakazam,10,10.8,5,1,5 7 15 20 21 25 39 43 46 47
Mega Lopunny ex / Dudunsparce,7,7.5,3,2,3 6 9 14 18 43 46
Teal Mask Ogerpon ex,7,7.5,7,3,7 8 19 30 36 37 42
Mega Kangaskhan ex / Crustle,4,4.3,14,3,14 19 29 45
Mega Lopunny ex / Mega Froslass ex,4,4.3,1,1,1 2 4 33
Arboliva ex / Teal Mask Ogerpon ex,3,3.2,24,3,24 38 49
Cynthia's Garchomp ex / Cynthia's Roserade,3,3.2,23,1,23 37 41
Dragapult ex / Fezandipiti ex,3,3.2,6,2,6 18 33
Team Rocket's Mewtwo ex / Team Rocket's Spidops,3,3.2,17,3,17 40 44
Fezandipiti ex / Thwackey,2,2.2,41,1,41 44
Mega Lopunny ex / Latias ex,2,2.2,16,1,16 34
Mega Venusaur ex / Mega Kangaskhan ex,2,2.2,22,1,22 23
Blaziken ex / Dragapult ex,1,1.1,10,1,10
Dragapult ex / Dudunsparce ex,1,1.1,50,1,50
Mega Kangaskhan ex / Cornerstone Mask Ogerpon ex,1,1.1,10,1,10
Mega Kangaskhan ex / Latias ex,1,1.1,13,1,13
Mega Kangaskhan ex / Raging Bolt ex,1,1.1,8,1,8
Mega Lucario ex / Hariyama,1,1.1,1,1,1
Rillaboom / Seaking,1,1.1,12,1,12
