rank,team_name,submission_id,score,archetype,deck_hash,deck_source
1,Luca,55168931,1281.0,Mega Lopunny ex / Mega Froslass ex,a7ee29914c1dce64,submission_replay_index
1,Majkel1337,55186239,1300.3,Mega Lucario ex / Hariyama,05f854e1b3b3ba0f,episode_seat
2,LiamK,55248965,1177.1,Mega Lopunny ex / Mega Froslass ex,a7ee29914c1dce64,episode_seat
3,Majkel1337,55137818,1221.4,Mega Lopunny ex / Dudunsparce,6fa64c0e3b2eb67c,submission_replay_index
3,Raihan Ramadistra,55177269,1151.0,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,episode_seat
4,やる気元気ミワハルキ,55167115,1220.2,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,submission_replay_index
4,李秉叡（ntumlnoob）,55184021,1148.2,Mega Lopunny ex / Mega Froslass ex,a7ee29914c1dce64,episode_seat
5,Raihan Ramadistra,55171940,1172.6,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,submission_replay_index
5,M Sato,55198468,1147.4,Fezandipiti ex / Alakazam,cc38cb450b86770a,episode_seat
6,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,55172248,1155.9,Mega Lopunny ex / Dudunsparce,1350508087c01043,submission_replay_index
6,THIRD PTCG Club,55242764,1129.5,Dragapult ex / Fezandipiti ex,4b53fcb1afbba336,episode_seat
7,AlphaStarmie,54773249,1127.5,Fezandipiti ex / Alakazam,cc38cb450b86770a,episode_seat
7,Rmy,55143076,1149.8,Teal Mask Ogerpon ex,0dede7cb8026e473,submission_replay_index
8,keidroid,55153405,1141.4,Teal Mask Ogerpon ex,97df7a2a423da1d8,submission_replay_index
8,James Cox & Henry Chao,55188658,1123.6,Mega Kangaskhan ex / Raging Bolt ex,62088a8950aeae46,episode_seat
9,LiamK,55090635,1141.3,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,submission_replay_index
9,Rmy,55251826,1119.6,Mega Lopunny ex / Dudunsparce,6fa64c0e3b2eb67c,episode_seat
10,flg,55033457,1138.2,Mega Kangaskhan ex / Cornerstone Mask Ogerpon ex,9b415cc6bbdf6fd5,submission_replay_index
10,LumenLiquidity,55229706,1116.3,Blaziken ex / Dragapult ex,916b4d01bfc6726c,episode_seat
11,@kdcyberdude,55170504,1126.3,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,submission_replay_index
11,@kdcyberdude,55187358,1116.3,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,episode_seat
12,Sixth Sense,55138264,1113.7,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,episode_seat
12,perrodawn,55173868,1123.1,Rillaboom / Seaking,386025bd3ab3c9cd,submission_replay_index
13,Dries @ Tufa Labs,55109984,1121.6,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,submission_replay_index
13,ShumpeiNomura,55214482,1108.7,Mega Kangaskhan ex / Latias ex,d9f935d23302a6f4,episode_seat
14,Oshbocker,55084456,1088.7,Mega Kangaskhan ex / Crustle,4717e5f31ba694d4,episode_seat
14,lmaffei,55168690,1110.0,Mega Lopunny ex / Dudunsparce,1350508087c01043,submission_replay_index
15,ANDPAD kaggler team,55134263,1105.2,Marnie's Grimmsnarl ex / Munkidori,21c3f20980827cb2,submission_replay_index
15,Team Rot-Weiß,55231831,1085.7,Fezandipiti ex / Alakazam,cc38cb450b86770a,episode_seat
16,lolzpo+ emonga,55157066,1102.2,Mega Lopunny ex / Latias ex,3f1fae2704f11912,submission_replay_index
16,MissingNo.,55221290,1082.6,Marnie's Grimmsnarl ex / Munkidori,9714ab5c3996f6cc,episode_seat
17,flg,55033309,1081.5,Team Rocket's Mewtwo ex / Team Rocket's Spidops,46bef46a0ad2d9f0,episode_seat
18,Xiangyu Liu,55155208,1098.2,Dragapult ex / Fezandipiti ex,202ee2cec6cbe8b4,submission_replay_index
