leaderboard_rank,team_id,team_name,submission_id,submission_score,leaderboard_submission_id,episode_id,episode_state,episode_type,created_at,ended_at,seat_index,opponent_submission_id,opponent_team_name,agent_0_submission_id,agent_1_submission_id,deck_hash,matched_deck_card_ids,replay_path,log_paths,download_status,error,downloaded_at
37,16489606,junseo lee,55205180,1052.2,55205180,90056448,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-05T01:08:54.171521600Z,2026-08-05T01:12:01.825375700Z,0,55251780,Boss's Orders Are All You Need,55205180,55251780,,,replays\episode_90056448.json,logs\90056448\agent_0_observation_logs.json;logs\90056448\agent_1_observation_logs.json,success,,2026-08-05T03:06:51.279327Z
18,16464757,wwwwwwwwwwwwwwwwwwwwwwwwwwwwww,55241354,1080.9,55241354,90059770,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-05T01:28:54.782682400Z,2026-08-05T01:31:41.385937Z,0,55253130,neibyr,55241354,55253130,,,replays\episode_90059770.json,logs\90059770\agent_0_observation_logs.json;logs\90059770\agent_1_observation_logs.json,success,,2026-08-05T03:05:44.542660Z
11,16561259,@kdcyberdude,55187358,1116.3,55187358,90060409,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-05T01:32:54.297946500Z,2026-08-05T01:37:00.730596400Z,1,55254018,szlachetny snieg,55254018,55187358,,,replays\episode_90060409.json,logs\90060409\agent_0_observation_logs.json;logs\90060409\agent_1_observation_logs.json,success,,2026-08-05T03:05:20.680208Z
34,16371280,Iolzpo + emonga,55121805,1053.0,55121805,90061838,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-05T01:40:54.925370300Z,2026-08-05T01:41:52.082724400Z,0,55253296,yoshitaka agent,55121805,55253296,,,replays\episode_90061838.json,logs\90061838\agent_0_observation_logs.json;logs\90061838\agent_1_observation_logs.json,success,,2026-08-05T03:06:37.785703Z
33,16600240,DavidFreelan,55229375,1053.2,55229375,90062533,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-05T01:44:53.619120900Z,2026-08-05T01:49:41.169346800Z,0,55252619,Lunariz,55229375,55252619,,,replays\episode_90062533.json,logs\90062533\agent_0_observation_logs.json;logs\90062533\agent_1_observation_logs.json,success,,2026-08-05T03:06:32.820326Z
24,16387915,tw_shin,55199855,1066.4,55199855,90063954,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-05T01:52:54.294793400Z,2026-08-05T02:02:19.464801900Z,1,55251966,kigasudayooo,55251966,55199855,,,replays\episode_90063954.json,logs\90063954\agent_0_observation_logs.json;logs\90063954\agent_1_observation_logs.json,success,,2026-08-05T03:06:03.806825Z
3,16422241,Raihan Ramadistra,55177269,1151.0,55177269,90064495,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-05T01:56:55.153427500Z,2026-08-05T01:57:47.122028100Z,0,55254018,szlachetny snieg,55177269,55254018,,,replays\episode_90064495.json,logs\90064495\agent_0_observation_logs.json;logs\90064495\agent_1_observation_logs.json,success,,2026-08-05T03:04:53.399455Z
22,16541765,less,55249896,1072.3,55249896,90064554,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-05T01:56:55.265395400Z,2026-08-05T01:58:48.761682700Z,1,55252619,Lunariz,55252619,55249896,,,replays\episode_90064554.json,logs\90064554\agent_0_observation_logs.json;logs\90064554\agent_1_observation_logs.json,success,,2026-08-05T03:05:56.363465Z
14,16404352,Oshbocker,55084456,1088.7,55084456,90065443,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-05T02:00:53.781067100Z,2026-08-05T02:01:48.714484200Z,1,55242764,THIRD PTCG Club,55242764,55084456,,,replays\episode_90065443.json,logs\90065443\agent_0_observation_logs.json;logs\90065443\agent_1_observation_logs.json,skipped_existing,,2026-08-05T03:05:33.386348Z
6,16372380,THIRD PTCG Club,55242764,1129.5,55242764,90065443,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-05T02:00:53.781067100Z,2026-08-05T02:01:48.714484200Z,0,55084456,Oshbocker,55242764,55084456,,,replays\episode_90065443.json,logs\90065443\agent_0_observation_logs.json;logs\90065443\agent_1_observation_logs.json,success,,2026-08-05T03:05:04.110733Z
