scope,submission_id,episode_id,error,recorded_at
submission,54773249,,"list episodes for submission 54773249 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:37:35.334984Z
submission,54959248,,"list episodes for submission 54959248 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:58:18.716379Z
submission,55016893,,"list episodes for submission 55016893 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:55:11.987129Z
submission,55033457,,"list episodes for submission 55033457 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:41:45.813610Z
submission,55056097,,"list episodes for submission 55056097 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:50:01.135137Z
submission,55084456,,"list episodes for submission 55084456 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:51:02.908951Z
submission,55086789,,"list episodes for submission 55086789 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:55:11.635535Z
submission,55090635,,"list episodes for submission 55090635 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:41:45.262452Z
submission,55090777,,"list episodes for submission 55090777 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:56:14.148611Z
submission,55094113,,"list episodes for submission 55094113 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:47:57.229010Z
submission,55098365,,"list episodes for submission 55098365 failed after 6 attempts: Kaggle API failed with HTTP 429 for https://www.kaggle.com/api/i/competitions.EpisodeService/ListEpisodes:
{""error"":{""code"":429,""message"":""Too many requests"",""status"":""RESOURCE_EXHAUSTED""}}",2026-08-02T03:54:10.152610Z
