feature,gain,split
candidate_card_id,417967.13188934326,241
action_type,277139.1135253906,46
candidate_target_appear_this_turn,168973.67742156982,67
candidate_target_id,74994.57957458496,139
trainer_low_deck_risk,71168.45736694336,65
candidate_target_is_active,65360.54599761963,70
post_action_hand_count,63835.83074951172,155
self_active_energy,58925.40118408203,121
candidate_fills_energy,34457.24817657471,54
candidate_target_max_hp,23000.871070861816,43
candidate_area,22297.213661193848,8
post_action_ko_estimate,22111.47338104248,49
candidate_attack_id,20979.5433883667,38
candidate_inplay_area,20510.47678375244,28
candidate_target_energy,20128.606216430664,34
candidate_target_is_bench,17939.45962524414,4
candidate_target_hp,15977.179733276367,43
attack_lethal_estimate,15862.078788757324,16
candidate_is_route_card,12393.438049316406,12
ability_low_deck_risk,11895.176109313965,29
target_is_alakazam,10472.224151611328,10
opp_active_special_energy,9925.093910217285,42
xerosic_opp_hand_value,9206.851509094238,32
post_action_powerful_hand_damage,7954.474945068359,29
energy_target_is_alakazam_value,7563.6597900390625,5
end_has_attack_ready_penalty,7139.255592346191,15
option_type,6109.0139236450195,13
is_evolve,5902.989990234375,2
is_retreat,4436.960021972656,4
target_is_dunsparce,3600.551872253418,10
is_trainer,3083.4329986572266,6
bench_early_game_value,2913.613540649414,15
is_end,2326.2470703125,2
candidate_fills_missing_abra,2244.321517944336,6
candidate_hand_cost,1938.4460525512695,5
energy_target_existing_energy_value,1663.8227920532227,5
is_bench,1623.594970703125,2
hammer_opp_active_special_energy_value,1171.0269927978516,4
candidate_fills_stage2,1116.8399658203125,1
target_is_abra,1080.7740325927734,3
target_is_kadabra,995.8779907226562,2
retreat_active_damage_value,921.7362060546875,9
breaks_current_ko_estimate,885.8520202636719,2
is_xerosic,848.7990112304688,3
target_is_dudunsparce,479.2460021972656,3
is_boss,402.4259948730469,2
attack_overkill_estimate,335.7989959716797,3
energy_target_is_fezandipiti_value,221.34600067138672,2
evolve_target_is_kadabra_value,153.58399963378906,1
self_bench_low_hp_count,0.0,0
self_active_tool_count,0.0,0
opp_active_id,0.0,0
self_active_appear_this_turn,0.0,0
opp_active_hp,0.0,0
opp_active_max_hp,0.0,0
opp_active_damage,0.0,0
opp_active_energy,0.0,0
opp_active_tool_count,0.0,0
opp_active_appear_this_turn,0.0,0
self_bench_open,0.0,0
self_bench_min_hp,0.0,0
self_bench_max_hp,0.0,0
self_bench_max_energy,0.0,0
self_bench_total_damage,0.0,0
self_bench_damaged_count,0.0,0
self_active_special_energy,0.0,0
turn,0.0,0
energy_attached,0.0,0
turn_action_count,0.0,0
stadium_played,0.0,0
supporter_played,0.0,0
self_hand_count,0.0,0
first_player_is_self,0.0,0
self_prize_count,0.0,0
self_bench_count,0.0,0
opp_hand_count,0.0,0
opp_deck_count,0.0,0
opp_prize_count,0.0,0
opp_bench_count,0.0,0
self_total_energy,0.0,0
retreated,0.0,0
opp_total_energy,0.0,0
self_total_hp,0.0,0
self_status_count,0.0,0
opp_total_hp,0.0,0
early_game,0.0,0
mid_game,0.0,0
late_game,0.0,0
opp_status_count,0.0,0
deck_low_10,0.0,0
deck_low_5,0.0,0
self_active_id,0.0,0
current_powerful_hand_damage,0.0,0
self_active_hp,0.0,0
self_active_max_hp,0.0,0
self_active_damage,0.0,0
self_deck_count,0.0,0
opp_field_743,0.0,0
discard_743,0.0,0
field_743,0.0,0
hand_743,0.0,0
opp_field_742,0.0,0
discard_742,0.0,0
field_742,0.0,0
hand_742,0.0,0
opp_field_741,0.0,0
discard_741,0.0,0
field_741,0.0,0
hand_741,0.0,0
opp_field_343,0.0,0
discard_343,0.0,0
field_343,0.0,0
hand_343,0.0,0
opp_field_305,0.0,0
discard_305,0.0,0
field_305,0.0,0
hand_305,0.0,0
opp_field_140,0.0,0
discard_140,0.0,0
field_140,0.0,0
hand_140,0.0,0
opp_field_66,0.0,0
discard_66,0.0,0
field_66,0.0,0
hand_66,0.0,0
opp_field_19,0.0,0
discard_19,0.0,0
field_19,0.0,0
hand_19,0.0,0
opp_field_13,0.0,0
discard_13,0.0,0
field_13,0.0,0
hand_13,0.0,0
opp_field_5,0.0,0
discard_5,0.0,0
field_5,0.0,0
hand_5,0.0,0
opp_bench_low_hp_count,0.0,0
opp_bench_damaged_count,0.0,0
opp_bench_total_damage,0.0,0
opp_bench_max_energy,0.0,0
opp_bench_max_hp,0.0,0
opp_bench_min_hp,0.0,0
opp_bench_open,0.0,0
hand_1079,0.0,0
hand_1129,0.0,0
field_1129,0.0,0
discard_1129,0.0,0
field_1079,0.0,0
hand_1081,0.0,0
field_1081,0.0,0
discard_1079,0.0,0
opp_field_1079,0.0,0
hand_1086,0.0,0
field_1086,0.0,0
discard_1086,0.0,0
opp_field_1086,0.0,0
hand_1097,0.0,0
field_1097,0.0,0
discard_1081,0.0,0
opp_field_1081,0.0,0
select_min_count,0.0,0
select_max_count,0.0,0
select_type,0.0,0
select_context,0.0,0
stadium_id,0.0,0
dunsparce_engine_count,0.0,0
needs_attacker_energy,0.0,0
dudunsparce_engine_count,0.0,0
complete_route_components,0.0,0
has_psychic_energy_in_hand,0.0,0
needs_stage2,0.0,0
needs_first_abra,0.0,0
has_alakazam_anywhere,0.0,0
has_bridge_anywhere,0.0,0
field_route_body_count,0.0,0
has_abra_anywhere,0.0,0
opp_field_1231,0.0,0
discard_1231,0.0,0
has_ready_alakazam,0.0,0
ready_alakazam_count,0.0,0
opp_field_1266,0.0,0
discard_1266,0.0,0
field_1266,0.0,0
hand_1266,0.0,0
opp_field_1225,0.0,0
discard_1225,0.0,0
field_1231,0.0,0
hand_1231,0.0,0
field_1225,0.0,0
hand_1225,0.0,0
discard_1197,0.0,0
opp_field_1197,0.0,0
opp_field_1097,0.0,0
discard_1097,0.0,0
field_1197,0.0,0
hand_1197,0.0,0
opp_field_1182,0.0,0
discard_1182,0.0,0
field_1182,0.0,0
hand_1182,0.0,0
opp_field_1152,0.0,0
discard_1152,0.0,0
field_1152,0.0,0
hand_1152,0.0,0
opp_field_1129,0.0,0
candidate_target_special_energy,0.0,0
candidate_is_abra,0.0,0
current_ko_estimate,0.0,0
candidate_is_rare_candy,0.0,0
candidate_is_alakazam,0.0,0
candidate_is_psychic_energy,0.0,0
candidate_is_kadabra,0.0,0
powerful_hand_attack_option,0.0,0
preserves_current_ko_estimate,0.0,0
is_attack,0.0,0
is_ability,0.0,0
is_other,0.0,0
is_hammer,0.0,0
is_energy,0.0,0
boss_opp_bench_value,0.0,0
retreat_status_value,0.0,0
boss_opp_bench_low_hp_value,0.0,0
hammer_opp_active_energy_value,0.0,0
evolve_target_is_abra_value,0.0,0
