selected_action_type,count,mean,std,min,max
ability,11726,0.9844894345869609,0.10027675342842045,0.7744757173159945,1.1905549141147205
attack,11150,0.9984350507553391,0.10191187361670662,0.7744757173159945,1.1905549141147205
bench,12412,0.984539015213999,0.09878818766389921,0.7744757173159945,1.1905549141147205
boss,1515,1.071085412180672,0.11233075735770634,0.8364337747012741,1.285799307243898
end,4084,0.980596249534312,0.10528116954645851,0.7744757173159945,1.1905549141147205
energy,9521,1.0671754867767071,0.112167855950529,0.8364337747012741,1.285799307243898
evolve,19653,0.9879366514518146,0.10227913527671983,0.7744757173159945,1.1905549141147205
hammer,2246,1.0691406524291835,0.11270740912993504,0.8364337747012741,1.285799307243898
retreat,1523,1.0435025040321777,0.11657368735643606,0.8364337747012741,1.285799307243898
trainer,19039,0.9763920292823625,0.10360892844747567,0.7744757173159945,1.1905549141147205
xerosic,2385,1.0789138153609537,0.10292681048427386,0.8364337747012741,1.285799307243898
