feature,gain,split
action_type,745595.7032623291,63
candidate_card_id,664158.2696685791,237
candidate_target_appear_this_turn,328899.0991973877,70
trainer_low_deck_risk,231090.33848571777,54
candidate_target_id,110519.74687194824,127
post_action_hand_count,96849.40631103516,169
candidate_target_is_active,90039.55912780762,49
post_action_ko_estimate,82756.02676391602,121
candidate_inplay_area,75220.58787536621,35
candidate_fills_energy,66186.01304626465,53
candidate_attack_id,56655.98080444336,59
candidate_target_max_hp,39294.7861328125,31
candidate_target_hp,35346.533264160156,34
energy_target_existing_energy_value,33850.874267578125,23
post_action_powerful_hand_damage,32409.353973388672,39
candidate_target_energy,32192.59632873535,47
xerosic_opp_hand_value,28631.276977539062,33
ability_low_deck_risk,25505.93829345703,35
target_is_alakazam,20824.114303588867,15
candidate_fills_stage2,20687.639892578125,20
is_trainer,16142.81298828125,5
candidate_is_route_card,16106.399978637695,18
is_retreat,15668.974044799805,14
candidate_area,15010.542175292969,13
option_type,13713.02505493164,15
retreat_active_damage_value,11056.04800415039,21
attack_lethal_estimate,10296.423049926758,21
candidate_fills_missing_abra,5372.209976196289,11
candidate_is_alakazam,3949.60009765625,5
energy_target_is_alakazam_value,3838.580078125,1
boss_opp_bench_low_hp_value,3341.2630004882812,5
powerful_hand_attack_option,3180.1099853515625,2
target_is_dunsparce,2858.4549865722656,6
bench_early_game_value,2812.563995361328,5
candidate_hand_cost,2630.3839721679688,3
candidate_is_psychic_energy,2403.2760009765625,5
is_xerosic,2001.2759704589844,3
hammer_opp_active_special_energy_value,1826.1210021972656,3
candidate_target_is_bench,1788.3009643554688,2
end_has_attack_ready_penalty,1776.0579528808594,5
attack_overkill_estimate,1493.8830108642578,6
is_attack,1288.9860229492188,3
target_is_abra,915.0729827880859,3
breaks_current_ko_estimate,898.7170104980469,2
is_ability,804.1339721679688,1
hammer_opp_active_energy_value,705.9129791259766,3
target_is_kadabra,581.4760131835938,2
is_energy,347.0379943847656,1
energy_target_is_fezandipiti_value,276.63800048828125,1
target_is_dudunsparce,229.1219940185547,1
self_active_appear_this_turn,0.0,0
self_active_tool_count,0.0,0
opp_active_hp,0.0,0
opp_active_max_hp,0.0,0
opp_active_damage,0.0,0
opp_active_id,0.0,0
opp_active_special_energy,0.0,0
opp_active_tool_count,0.0,0
opp_active_appear_this_turn,0.0,0
self_bench_open,0.0,0
self_bench_min_hp,0.0,0
self_bench_max_hp,0.0,0
self_bench_max_energy,0.0,0
opp_active_energy,0.0,0
turn,0.0,0
turn_action_count,0.0,0
first_player_is_self,0.0,0
energy_attached,0.0,0
retreated,0.0,0
stadium_played,0.0,0
supporter_played,0.0,0
self_hand_count,0.0,0
self_deck_count,0.0,0
self_prize_count,0.0,0
self_bench_count,0.0,0
opp_hand_count,0.0,0
opp_deck_count,0.0,0
opp_prize_count,0.0,0
opp_bench_count,0.0,0
self_total_energy,0.0,0
opp_total_energy,0.0,0
self_total_hp,0.0,0
opp_total_hp,0.0,0
self_status_count,0.0,0
opp_status_count,0.0,0
early_game,0.0,0
mid_game,0.0,0
late_game,0.0,0
deck_low_10,0.0,0
deck_low_5,0.0,0
current_powerful_hand_damage,0.0,0
self_active_id,0.0,0
self_active_hp,0.0,0
self_active_max_hp,0.0,0
self_active_damage,0.0,0
self_active_energy,0.0,0
self_active_special_energy,0.0,0
opp_field_743,0.0,0
discard_743,0.0,0
field_743,0.0,0
hand_743,0.0,0
opp_field_742,0.0,0
discard_742,0.0,0
field_742,0.0,0
hand_742,0.0,0
opp_field_741,0.0,0
discard_741,0.0,0
field_741,0.0,0
hand_741,0.0,0
opp_field_343,0.0,0
discard_343,0.0,0
field_343,0.0,0
hand_343,0.0,0
opp_field_305,0.0,0
discard_305,0.0,0
field_305,0.0,0
hand_305,0.0,0
opp_field_140,0.0,0
discard_140,0.0,0
field_140,0.0,0
hand_140,0.0,0
opp_field_66,0.0,0
discard_66,0.0,0
field_66,0.0,0
hand_66,0.0,0
opp_field_19,0.0,0
discard_19,0.0,0
field_19,0.0,0
hand_19,0.0,0
opp_field_13,0.0,0
discard_13,0.0,0
field_13,0.0,0
hand_13,0.0,0
opp_field_5,0.0,0
discard_5,0.0,0
field_5,0.0,0
hand_5,0.0,0
opp_bench_low_hp_count,0.0,0
opp_bench_damaged_count,0.0,0
opp_bench_total_damage,0.0,0
opp_bench_max_energy,0.0,0
opp_bench_max_hp,0.0,0
