feature,gain,split
candidate_card_id,1617699.0425262451,263
action_type,1037083.6778259277,55
candidate_target_appear_this_turn,646541.9181213379,74
trainer_low_deck_risk,312249.56158447266,58
candidate_target_id,220591.30899047852,123
post_action_hand_count,194709.16848754883,178
candidate_target_energy,154694.80297851562,54
post_action_ko_estimate,135081.08059692383,90
candidate_target_is_active,132207.14028930664,42
candidate_inplay_area,131576.11795043945,32
evolve_builds_backup_alakazam,106225.27966308594,37
candidate_fills_energy,103048.66897583008,39
candidate_attack_id,86527.0062866211,47
option_type,82601.03900146484,19
candidate_area,79382.87194824219,12
attack_lethal_estimate,57533.057678222656,26
ability_low_deck_risk,55467.17370605469,25
end_ready_active_alakazam_penalty,52204.82174682617,33
target_is_alakazam,40801.89440917969,14
candidate_target_max_hp,39950.610931396484,37
end_has_attack_ready_penalty,38607.613342285156,16
xerosic_opp_hand_value,38059.23812866211,31
retreat_to_ready_backup_value,36041.96551513672,22
post_action_powerful_hand_damage,30997.924713134766,25
energy_target_existing_energy_value,18675.027893066406,12
energy_target_is_alakazam_value,18636.77001953125,3
candidate_target_is_bench,18147.469482421875,4
is_attack,17042.099609375,1
is_trainer,16752.072235107422,6
is_bench,14195.013244628906,4
is_retreat,14079.059051513672,9
candidate_fills_stage2,11539.052062988281,6
candidate_fills_missing_abra,10935.117156982422,12
retreat_active_damage_value,10489.170989990234,16
target_is_dunsparce,9393.323791503906,5
candidate_is_route_card,8559.300048828125,5
hammer_opp_active_special_energy_value,7347.022003173828,8
candidate_target_hp,6076.858978271484,9
target_is_kadabra,4289.333953857422,6
evolve_kadabra_to_active,3095.35009765625,2
is_end,2881.7899169921875,2
attack_overkill_estimate,2599.9049682617188,5
powerful_hand_attack_option,2598.1589965820312,2
is_xerosic,2290.602020263672,3
boss_opp_bench_low_hp_value,1920.5290222167969,3
candidate_hand_cost,1897.291015625,3
bench_early_game_value,1642.8699951171875,4
energy_target_is_fezandipiti_value,1602.6239624023438,3
is_hammer,1354.7099609375,1
target_is_abra,1289.385986328125,2
hammer_opp_active_energy_value,1262.0809936523438,3
candidate_target_special_energy,1141.4100341796875,1
breaks_current_ko_estimate,985.22998046875,2
candidate_is_alakazam,924.5009765625,1
is_boss,831.9429931640625,1
candidate_is_abra,707.8660278320312,1
evolve_kadabra_to_bench,613.8590087890625,1
is_evolve,306.5690002441406,1
bench_shaymin_into_grimmsnarl,298.1709899902344,1
first_player_is_self,0.0,0
turn,0.0,0
turn_action_count,0.0,0
field_13,0.0,0
discard_13,0.0,0
opp_field_13,0.0,0
hand_19,0.0,0
field_19,0.0,0
energy_attached,0.0,0
retreated,0.0,0
stadium_played,0.0,0
supporter_played,0.0,0
self_hand_count,0.0,0
self_deck_count,0.0,0
self_prize_count,0.0,0
self_bench_count,0.0,0
opp_hand_count,0.0,0
opp_deck_count,0.0,0
opp_prize_count,0.0,0
opp_bench_count,0.0,0
self_total_energy,0.0,0
opp_total_energy,0.0,0
self_total_hp,0.0,0
opp_total_hp,0.0,0
self_status_count,0.0,0
opp_status_count,0.0,0
early_game,0.0,0
mid_game,0.0,0
late_game,0.0,0
deck_low_10,0.0,0
deck_low_5,0.0,0
current_powerful_hand_damage,0.0,0
self_active_id,0.0,0
self_active_hp,0.0,0
self_active_max_hp,0.0,0
self_active_damage,0.0,0
self_active_energy,0.0,0
self_active_special_energy,0.0,0
self_active_tool_count,0.0,0
self_active_appear_this_turn,0.0,0
opp_active_id,0.0,0
opp_active_hp,0.0,0
opp_active_max_hp,0.0,0
opp_active_damage,0.0,0
opp_active_energy,0.0,0
opp_active_special_energy,0.0,0
opp_active_tool_count,0.0,0
opp_active_appear_this_turn,0.0,0
self_bench_open,0.0,0
self_bench_min_hp,0.0,0
self_bench_max_hp,0.0,0
self_bench_max_energy,0.0,0
self_bench_total_damage,0.0,0
self_bench_damaged_count,0.0,0
self_bench_low_hp_count,0.0,0
opp_bench_open,0.0,0
opp_bench_min_hp,0.0,0
opp_bench_max_hp,0.0,0
opp_bench_max_energy,0.0,0
opp_bench_total_damage,0.0,0
opp_bench_damaged_count,0.0,0
opp_bench_low_hp_count,0.0,0
hand_5,0.0,0
field_5,0.0,0
discard_5,0.0,0
opp_field_5,0.0,0
hand_13,0.0,0
hand_1152,0.0,0
opp_field_1129,0.0,0
discard_1129,0.0,0
field_1129,0.0,0
hand_1129,0.0,0
opp_field_1097,0.0,0
discard_1097,0.0,0
field_1097,0.0,0
hand_1097,0.0,0
opp_field_1086,0.0,0
discard_1086,0.0,0
field_1086,0.0,0
hand_1086,0.0,0
opp_field_1081,0.0,0
discard_1081,0.0,0
field_1081,0.0,0
hand_1081,0.0,0
opp_field_1079,0.0,0
discard_1079,0.0,0
field_1079,0.0,0
hand_1079,0.0,0
opp_field_743,0.0,0
discard_743,0.0,0
field_743,0.0,0
hand_743,0.0,0
opp_field_742,0.0,0
discard_742,0.0,0
field_742,0.0,0
hand_742,0.0,0
opp_field_741,0.0,0
discard_741,0.0,0
field_741,0.0,0
hand_741,0.0,0
opp_field_648,0.0,0
discard_648,0.0,0
field_648,0.0,0
hand_648,0.0,0
opp_field_343,0.0,0
discard_343,0.0,0
field_343,0.0,0
hand_343,0.0,0
opp_field_305,0.0,0
discard_305,0.0,0
field_305,0.0,0
hand_305,0.0,0
opp_field_140,0.0,0
discard_140,0.0,0
field_140,0.0,0
hand_140,0.0,0
opp_field_104,0.0,0
discard_104,0.0,0
field_104,0.0,0
hand_104,0.0,0
opp_field_66,0.0,0
discard_66,0.0,0
field_66,0.0,0
hand_66,0.0,0
opp_field_19,0.0,0
discard_19,0.0,0
discard_1231,0.0,0
field_1231,0.0,0
field_1152,0.0,0
opp_field_1152,0.0,0
discard_1152,0.0,0
select_context,0.0,0
select_max_count,0.0,0
select_min_count,0.0,0
has_psychic_energy_in_hand,0.0,0
complete_route_components,0.0,0
needs_first_abra,0.0,0
needs_stage2,0.0,0
needs_attacker_energy,0.0,0
dudunsparce_engine_count,0.0,0
dunsparce_engine_count,0.0,0
opp_froslass_count,0.0,0
opp_has_froslass,0.0,0
opp_has_grimmsnarl_ex,0.0,0
self_froslass_vulnerable_count,0.0,0
stadium_id,0.0,0
select_type,0.0,0
has_bridge_anywhere,0.0,0
has_alakazam_anywhere,0.0,0
has_abra_anywhere,0.0,0
hand_1266,0.0,0
field_1266,0.0,0
discard_1266,0.0,0
opp_field_1266,0.0,0
ready_alakazam_count,0.0,0
has_ready_alakazam,0.0,0
ready_active_alakazam_count,0.0,0
has_ready_active_alakazam,0.0,0
ready_bench_alakazam_count,0.0,0
has_ready_backup_alakazam,0.0,0
active_is_fezandipiti,0.0,0
active_is_setup_wall,0.0,0
field_route_body_count,0.0,0
hand_1231,0.0,0
opp_field_1225,0.0,0
discard_1225,0.0,0
field_1225,0.0,0
hand_1225,0.0,0
opp_field_1197,0.0,0
discard_1197,0.0,0
field_1197,0.0,0
hand_1197,0.0,0
opp_field_1182,0.0,0
discard_1182,0.0,0
field_1182,0.0,0
hand_1182,0.0,0
opp_field_1231,0.0,0
candidate_is_rare_candy,0.0,0
candidate_is_psychic_energy,0.0,0
is_energy,0.0,0
is_ability,0.0,0
target_is_dudunsparce,0.0,0
current_ko_estimate,0.0,0
preserves_current_ko_estimate,0.0,0
candidate_is_kadabra,0.0,0
boss_opp_bench_value,0.0,0
is_other,0.0,0
evolve_target_is_abra_value,0.0,0
retreat_status_value,0.0,0
evolve_target_is_kadabra_value,0.0,0
evolve_kadabra_target_damage,0.0,0
evolve_kadabra_under_froslass,0.0,0
attack_with_ready_active_alakazam,0.0,0
ability_repositions_to_ready_backup_value,0.0,0
evolve_builds_active_alakazam,0.0,0
