feature,gain,split
candidate_card_id,455951.43479156494,261
action_type,275693.37839508057,48
candidate_target_appear_this_turn,181443.493598938,69
candidate_target_is_active,83853.64296722412,80
candidate_target_id,82095.53814697266,161
trainer_low_deck_risk,76230.33447265625,69
post_action_hand_count,62137.46210479736,159
candidate_target_energy,44510.18656921387,55
candidate_fills_energy,35636.911140441895,61
post_action_ko_estimate,29088.2921295166,69
candidate_area,24203.279846191406,7
attack_lethal_estimate,22727.275360107422,21
candidate_attack_id,22639.888214111328,34
candidate_inplay_area,22340.38053894043,24
candidate_target_max_hp,20536.073791503906,27
post_action_powerful_hand_damage,13035.451477050781,39
candidate_target_hp,12508.818168640137,32
candidate_is_route_card,12341.831008911133,14
target_is_alakazam,12203.189544677734,12
opp_active_special_energy,11558.150314331055,50
ability_low_deck_risk,11119.170997619629,27
end_has_attack_ready_penalty,10682.719039916992,19
xerosic_opp_hand_value,9034.415145874023,31
candidate_target_is_bench,6284.006935119629,4
is_evolve,5873.010009765625,2
is_retreat,5561.995513916016,8
energy_target_is_alakazam_value,4051.573974609375,4
energy_target_existing_energy_value,3538.298080444336,5
bench_early_game_value,3422.145782470703,17
option_type,3282.559989929199,10
is_trainer,3039.385025024414,9
target_is_dunsparce,2740.759002685547,6
is_end,2491.429931640625,1
is_bench,2262.5699462890625,2
candidate_hand_cost,2138.218780517578,5
is_boss,1998.4420013427734,4
hammer_opp_active_special_energy_value,1757.7349014282227,6
candidate_fills_missing_abra,1712.8087005615234,9
attack_overkill_estimate,1325.786277770996,6
retreat_active_damage_value,1323.0186920166016,12
target_is_kadabra,1156.3220520019531,2
breaks_current_ko_estimate,894.5820007324219,4
powerful_hand_attack_option,557.9140014648438,2
is_xerosic,371.0379943847656,2
target_is_dudunsparce,323.49829864501953,3
boss_opp_bench_low_hp_value,321.7120056152344,1
candidate_is_rare_candy,283.39801025390625,1
candidate_is_alakazam,256.4500045776367,2
candidate_is_abra,225.8560028076172,1
candidate_target_special_energy,223.19439697265625,2
target_is_abra,104.00900268554688,1
self_active_special_energy,0.0,0
self_active_tool_count,0.0,0
opp_active_hp,0.0,0
opp_active_max_hp,0.0,0
opp_active_id,0.0,0
self_active_appear_this_turn,0.0,0
opp_active_tool_count,0.0,0
opp_active_appear_this_turn,0.0,0
self_bench_open,0.0,0
self_bench_min_hp,0.0,0
self_bench_max_hp,0.0,0
self_bench_max_energy,0.0,0
opp_active_damage,0.0,0
opp_active_energy,0.0,0
turn_action_count,0.0,0
first_player_is_self,0.0,0
energy_attached,0.0,0
retreated,0.0,0
stadium_played,0.0,0
supporter_played,0.0,0
self_hand_count,0.0,0
self_deck_count,0.0,0
self_prize_count,0.0,0
self_bench_count,0.0,0
opp_hand_count,0.0,0
opp_deck_count,0.0,0
opp_prize_count,0.0,0
opp_bench_count,0.0,0
self_total_energy,0.0,0
opp_total_energy,0.0,0
self_total_hp,0.0,0
opp_total_hp,0.0,0
self_status_count,0.0,0
opp_status_count,0.0,0
early_game,0.0,0
mid_game,0.0,0
late_game,0.0,0
deck_low_10,0.0,0
deck_low_5,0.0,0
current_powerful_hand_damage,0.0,0
self_active_id,0.0,0
self_active_hp,0.0,0
self_active_max_hp,0.0,0
self_active_damage,0.0,0
self_active_energy,0.0,0
turn,0.0,0
opp_field_743,0.0,0
discard_743,0.0,0
field_743,0.0,0
hand_743,0.0,0
opp_field_742,0.0,0
discard_742,0.0,0
field_742,0.0,0
hand_742,0.0,0
opp_field_741,0.0,0
discard_741,0.0,0
field_741,0.0,0
hand_741,0.0,0
opp_field_343,0.0,0
discard_343,0.0,0
field_343,0.0,0
hand_343,0.0,0
opp_field_305,0.0,0
discard_305,0.0,0
field_305,0.0,0
hand_305,0.0,0
opp_field_140,0.0,0
discard_140,0.0,0
field_140,0.0,0
hand_140,0.0,0
opp_field_66,0.0,0
discard_66,0.0,0
field_66,0.0,0
hand_66,0.0,0
opp_field_19,0.0,0
discard_19,0.0,0
field_19,0.0,0
hand_19,0.0,0
opp_field_13,0.0,0
discard_13,0.0,0
field_13,0.0,0
hand_13,0.0,0
opp_field_5,0.0,0
discard_5,0.0,0
field_5,0.0,0
hand_5,0.0,0
opp_bench_low_hp_count,0.0,0
opp_bench_damaged_count,0.0,0
opp_bench_total_damage,0.0,0
opp_bench_max_energy,0.0,0
opp_bench_max_hp,0.0,0
opp_bench_min_hp,0.0,0
opp_bench_open,0.0,0
self_bench_low_hp_count,0.0,0
self_bench_damaged_count,0.0,0
self_bench_total_damage,0.0,0
hand_1079,0.0,0
field_1079,0.0,0
hand_1081,0.0,0
field_1081,0.0,0
discard_1079,0.0,0
opp_field_1079,0.0,0
hand_1086,0.0,0
field_1086,0.0,0
discard_1086,0.0,0
opp_field_1086,0.0,0
hand_1097,0.0,0
field_1097,0.0,0
discard_1081,0.0,0
opp_field_1081,0.0,0
select_min_count,0.0,0
select_max_count,0.0,0
select_type,0.0,0
select_context,0.0,0
stadium_id,0.0,0
dunsparce_engine_count,0.0,0
needs_attacker_energy,0.0,0
dudunsparce_engine_count,0.0,0
complete_route_components,0.0,0
has_psychic_energy_in_hand,0.0,0
needs_stage2,0.0,0
needs_first_abra,0.0,0
has_alakazam_anywhere,0.0,0
has_bridge_anywhere,0.0,0
field_route_body_count,0.0,0
has_abra_anywhere,0.0,0
opp_field_1231,0.0,0
discard_1231,0.0,0
has_ready_alakazam,0.0,0
ready_alakazam_count,0.0,0
opp_field_1266,0.0,0
discard_1266,0.0,0
field_1266,0.0,0
hand_1266,0.0,0
opp_field_1225,0.0,0
discard_1225,0.0,0
field_1231,0.0,0
hand_1231,0.0,0
field_1225,0.0,0
hand_1225,0.0,0
discard_1197,0.0,0
opp_field_1197,0.0,0
opp_field_1097,0.0,0
discard_1097,0.0,0
field_1197,0.0,0
hand_1197,0.0,0
opp_field_1182,0.0,0
discard_1182,0.0,0
field_1182,0.0,0
hand_1182,0.0,0
opp_field_1152,0.0,0
discard_1152,0.0,0
field_1152,0.0,0
hand_1152,0.0,0
opp_field_1129,0.0,0
discard_1129,0.0,0
field_1129,0.0,0
hand_1129,0.0,0
candidate_is_psychic_energy,0.0,0
candidate_is_kadabra,0.0,0
preserves_current_ko_estimate,0.0,0
current_ko_estimate,0.0,0
candidate_fills_stage2,0.0,0
is_attack,0.0,0
is_energy,0.0,0
is_ability,0.0,0
is_other,0.0,0
is_hammer,0.0,0
hammer_opp_active_energy_value,0.0,0
boss_opp_bench_value,0.0,0
retreat_status_value,0.0,0
evolve_target_is_kadabra_value,0.0,0
energy_target_is_fezandipiti_value,0.0,0
evolve_target_is_abra_value,0.0,0
