cluster_id,representative_deck_hash,major_cards,core_line_candidates,team_count,submission_count,replay_count,decision_count_estimate,wins,losses,rank_min,rank_max,rank_distribution,deck_variant_count,mean_replacement_distance,ml_recommendation,teams
cluster_000,cc38cb450b86770a,19 741 742 743 1081 1086 1152 1225 1231 305 1079 1182 1197 5,66 305 741 742 743 1079 1081 1086 1152 1182 1197 1225,236,51,2900,164700,1923,1731,1,50,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50,99,2.542,high,1++++++++ | 213tubo | 5.5 | 8ball | Abhi | Abhyuday | Alberto Mocchi | Andrej Carpenter | Arijit Chowdhury (IIITD) | Ars Noveau | Athar | AyFukushima | Benarg | Biubiu | Boss's Orders Are All You Need | Bozo Boys | Brady Meighan | Brian | Budew | Bulba-Zero | CMK | DON | Daikon99 | Dapp | DeeSaa | Ebi | Eggplanck | Eric Wu | Evily Evihut | Exodia | Gappy | GarlicToday | Gemini ch. | Gengar | Gijs Smit | H. Ashida | Hamachi | Haruto_Beginner Data Scientist | Hawk | Hiro Nomo | Iliamna | Jack | James Christian | James Foxall | Japan Paglu | JosephMontana | Julian | Juyong | Kaileh57 | Ken_Ken_Pa | Kentaro Hirose | Kento Umeda | Ketchum Alt | Khaledalnuaimi | Klein Houmani | Koba Empire | Kohecchi | Kohei | Koki _1231 | Kotaro OKUYAMA | KouFu | Kyoungwon Jeong | L7n | LG | LagrangianLocomotive | Larps | Larry | Legend Brothers | LiamK | MIRAI LAB | Majkel1337 | Mallard Duck | Marcha Watanabe | Max Manushin | Mega LayerEX | Melvin Low | Mibbles' Lab | Michael Long | Michael Pershin | Misaka Mikoto | Mogja J | Mokuren Narisawa | MtN | Natalia Jaśkowska | Nghia Tran | NoOne | NorthStar | OSELCOUN | Oleksandr_Savsunenko | Oshbocker | Pedro Ruschel | PokeMasters | Poke_Gogogo | Pokemon Siuuuu | Praxel | Psychic Genesis | PyJa | Raki | Rishav Utkarsh | Rmy | Rn86222 | SQUIRTLE (prime) | SUN | SamuelSanolume | SantaClaws | Santiago Jauregui | Schneiden | Sky kun | Soruton | Star-mine | Swampert | TAKESHI7676 | TAKUTO INOUE | THIRD PTCG Club | Takuto Nishimine | Team | Team Rot-Weiß | Team_Rocket | UBI=ISHI | Uchitom | Victor Gonzalez | Voyager | William Humphrey | YaYu | Yigit Kayali | Yudai Ueno | Yushin Ito | Yuu K | ZEC Keita | Zscorpio | __Taichicchi__ | aaa | aidy | atto pat | auaua159 | bambi_create | bdif | blue0620 | bono | capbloo | dev yankawa | e-toppo | ebisu_ya | ei ei ei yikuso | firstbreak32 | flaty | fuga doggo | giacomovin | goonew | gtansu | haggle | haruto | hayatoail | hikaru_ishihara46 | hotpotbro | impaja | john jiang zhifeng | jrubiosainz | kami | kawachi | kazusw | kenkoooo | kenta matsumoto | kmizunoster | koucha | ktk | kuromoka | llkarill | lolzpo | lolzpo emonga | lolzpo harness is all you need | lolzpo rpg | lolzpo smw | lopunny's lovers | matsurih | me and the lads | mgoto51004 | mhiro2 | mikelou1 | minfaox3 | monnu | motemen | msd0110 | nakusnakus | nasubii | nishikawa | nopoly1k | nsytsqdtn | ondy0705 | one2ndpiece | payanotty | peeta pit | persn | pipi14ramu | pompom555 | poppy457 | porply | poyothon | quwon_000 | rick & shikitora | s_a_ai_enginner | sashimi0402 | sawasawasawa | shosemaru | shu | soyukke | srikalyan | suguuuuu & hiehie | suwat513 | takaygiiiiiiii | tera358 | theredbluepill | tokk | treo_hihihi | tsukammo | uki706 | venks | wally0593 | wkonishi | xloudmax | xthixsl_ml | yakiniku.nagoya | ykhnkf | あーとらぼ | かすみさんち | すーぱーひとで | はやてのつばさファイアロー | ひげだるま(inovie株式会社) | みずあめ | カドラバ Kadoraba | 夯 | 樹神 | 芦澤　潤 | 豆本豆豆包 | 齐乐 | 실험용생쥐
cluster_001,1a5a0c5b50e7199e,3 17 666 1086 1120 1122 1145 1189 1227 1229 1030 1031 1097 1223,666 1030 1031 1086 1097 1120 1122 1145 1189 1223 1225 1227,47,37,158,7335,79,84,1,49,1 2 4 6 7 8 9 10 12 15 16 17 18 19 20 21 22 23 26 27 28 30 31 32 33 35 37 38 40 41 42 43 44 46 47 48 49,15,1.834,high,8ball | Banjo | Bennett_Y | Colin19 | DD Adai | Dinesh kumar Thiyagarajan | Evily Evihut | GoodMorning | JJ Bean | John doe | KAgent71 | Kirill Krasikov | KooDol | Kota Morimoto | Majiro_ns | Map1e | Mindnightdestroy | Mogja J | POPCORN | Panoptes | Pika 1 | Senn88 | Shun | Siqi Jia | StockMagikarp | StormGrid Lab | Sung Heo | Tang | Terminal 7 | Yushin Ito | alessandrozonta | backstona | dyuan311 | gagacrow | harmo-miu | jiku0730 | kiwi apple | koumiyata | mcw999 | ninjya777 | tadashikato | yamatchan | yukinoka | yuukinos | zone9studio | おやつパンダ | （かえる）
cluster_002,027734010940579e,3 1086 1227 1229 1262 860 861 1030 1031 1122 1145 666 1087 1182,666 860 861 1030 1031 1086 1087 1122 1145 1182 1189 1197,2,25,171,8190,106,76,1,49,1 3 5 6 7 10 12 13 14 15 16 17 19 23 25 26 30 32 33 34 41 42 44 46 49,6,4.302,low,sea8gull | taksai
cluster_003,20bc24847121c967,11 14 18 756 1086 1120 1122 1123 1147 1197 1225 1227 344 345,344 345 756 1086 1120 1122 1123 1147 1182 1197 1225 1227,28,49,871,43695,529,442,1,50,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 39 40 41 42 43 44 45 46 47 49 50,7,3.442,high,AL Najafi | Brian | Budew | Daewoo Myoung | Dominic Peel | Fakble 6 | Gaurav Goswami | Hase2727 | JiaXi94 | Legend Brothers | MPGaming | Manato TAKAI | Marshall Maximizer | Rmy | Tanupro | ZhouActor | denden12 | ei ei ei yikuso | kidekikish | roy | theredbluepill | v0m0v | vvs | wkonishi | x1angM | yt0914 | なかよしポケカ倶楽部 | 懒惰的金枪鱼
cluster_004,0394aa976101394c,1 15 400 401 1134 1152 1216 1220 1094 1218 1227 1257 5 414,400 401 414 431 1094 1134 1152 1216 1217 1218 1220 1227,9,37,201,9360,122,86,1,49,1 2 3 4 5 6 7 8 9 10 13 14 15 17 18 20 21 22 23 24 26 27 28 30 32 34 35 37 39 40 41 43 45 47 48 49,8,3.745,high,Ahmed Mustafa Ahmed | Jack | Magikarp | Marshall Maximizer | THIRD PTCG Club | kashiwashira | paistieco | tsuvo | ぴかぴ＠ポケカ
cluster_005,cb1dc529006ce4c5,1 89 90 92 93 247 1086 1094 1152 1175 1227 1245 1097 1122,89 90 92 93 247 1086 1094 1097 1122 1152 1175 1197,1,2,7,315,1,6,1,34,1 34,1,0.0,single-teacher warning,vibechu
cluster_006,f68f44f2da4bfe78,3 311 1002 328 1154 1156 1157 1160 1161 1162 1163 1164 1166 1181,311 328 1002 1154 1156 1157 1160 1161 1162 1163 1164 1166,1,1,1,45,0,1,1,1,1,1,0.0,single-teacher warning,Hardik Yerne
cluster_007,d05bff224d40b9c6,6 678 1102 1141 1142 1152 1192 1227 676 677 673 674 675 1123,673 674 675 676 677 678 1102 1123 1141 1142 1152 1182,133,50,252,11655,94,165,1,50,1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50,33,5.29,high,Aib4 | Alyce Miki | Aman Sharma | Amedeo Biolatti | Andrey Kulakov | BinomialSheep | Bright O.H. | Brista T | COLD | CSCMU | Calcite Valentin | Charmander | Chong Pfeffer | Coen Hewes | CoorDi | Dakuma | Darren Koh | Dhruv Bansal | Evan Liu | Ewart ML | Fans for pluto | Finlay Anderson | GENGARDEV | Galza98 | Hack2Publish | Haramball forever! | HirokiGLHF | Isabella Wu | Jason Lau | Javier Arturo Gutierrez Sanchez  | Junichi Hatano | Kakimoto Takahiro | KazIWATA | Kiyo-Dai | KouchSato | MATSUMOTO Ryutaro | MERO TOKI | Matthew Huang | Muhammad Ibrahim Qasmi | NaNomin | Nene Gotanda | Nithin maktha | PNGN | PRINCE KUMAR YADAV | Par_Kahe | Pokemon Catchers | Pranesh Jayasundar | Prema Ananda | Pult Pounders ;) | Pumpkin@Pokeca | R. Yamada | Reyhan Ksatria | Ri2-115 | Riku Suzuki | Rishav Utkarsh | Rockway Chen | Ryon | Ryosuke Suzuki | Ryutogrrr | SHUBHOJIT NASKAR | Sahasra Kondapalli | Shivam Gupta | Sirui Zeng | T.Kawahara | TakazawaMasato | TakosukeAI | Team D | Team Pierogachu | Team_Rocket | Tyler H | Wei Hsiang Lin111 | Xiangjiang Zhou | Xuan Zhang | YOSHI SHIRA | Ye | Yusei Sakagami | akaimi | askbox | atpmara | ayato_suzuki10 | charlotte | copasta | dungeon-master | elrapido | endederwelt0419 | genki toyama | hatry | hattori88 | hiro094 | hiro_fumiko | illunome | japan nobu | kouki__k_4869 | ktm | kunihiro | liujiani | matsurih | mattsu2020 | neibyr | nescence | ningeeen | norizuca | nugui-nugui | oji12_king | orchidee8081 | otani_ai_memo | ponto | primal | razona | researcher_4242 | schezo | sekken | senseiphone | shimejimeshi | shintaro2026 | shu | sk1012 | sleeper | starclan | suk1yak1 | szlachetny snieg | tks | tonghuicheng | tototo | tuannm3812 | yoshi | yoshifumi-mori | zhuo wamg | Дворкин Евгений Владимирович | ЧАРИЗАРД Я ВЫБИРАЮ ТЕБЯ | やる気元気ミワハルキ | 塩尻祐大 | 小松崎　大世
cluster_008,48047de8a9cc5ca2,5 19 162 163 1121 1152 1188 1227 1248 1097 1146 9 115 144,115 144 162 163 183 184 224 756 1097 1121 1146 1152,2,1,2,90,0,2,1,1,1,1,0.0,low,Horikita Saku | Jamie Dixon
cluster_009,21c3f20980827cb2,7 112 646 1086 1152 1219 1227 1259 647 648 1079 1097 104 860,104 112 646 647 648 860 1079 1086 1097 1152 1161 1182,48,50,731,35190,420,362,1,50,1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50,19,2.514,high,3fk | Ars Noveau | CCoffie | DeeperNet | Eduardo Rocha de Andrade | FirstSS-Sub | HCRL | KawattaTaido | Kei Yamashita | Larry | Lior Toledano | Mokuren Narisawa | Nicolas Gomasjaya | OCIGO | Pixegami | Praxel | S4nkurero | Shardul Gharat | ShoheiSaito | Shota Hirao | Skyra | Sota Uchiyama | Where is my orbit | X | XIAODOUZI | akmr | apetresc | bono | btk15049 | eimanjibot | fksmaaaaa | haha750 | hell yeah | hirune924 | iwashi | jiatu.l | junlee789 | mewworldorder | miya | monnosuke | mutualns | payanotty | teem | tonakaiiii | tw_shin | ykuroka | ヌメルゴンex | 怒破餓鬼
