rank,team,card,turn_uses_per_game,avg_use_turn,attack_same_turn_rate,ko_same_turn_rate,games_used,win_rate_when_used,win_rate_when_not_used
2,Majkel1337,Boss’s Orders,0.8080808080808081,6.825,0.7625,0.425,51,0.5686274509803921,0.7083333333333334
2,Majkel1337,Buddy-Buddy Poffin,1.4545454545454546,3.173611111111111,0.6319444444444444,0.3611111111111111,83,0.6024096385542169,0.8125
2,Majkel1337,Dawn,1.1616161616161615,2.782608695652174,0.6260869565217392,0.391304347826087,78,0.6794871794871795,0.47619047619047616
2,Majkel1337,Dudunsparce,4.585858585858586,19.475770925110133,0.5814977973568282,0.2973568281938326,86,0.6511627906976745,0.5384615384615384
2,Majkel1337,Enhanced Hammer,1.4343434343434343,5.683098591549296,0.8169014084507042,0.49295774647887325,70,0.6,0.7241379310344828
2,Majkel1337,Hilda,0.7676767676767676,2.960526315789474,0.75,0.35526315789473684,59,0.6440677966101694,0.625
2,Majkel1337,Lana’s Aid,0.6363636363636364,6.174603174603175,0.9523809523809523,0.6031746031746031,63,0.5396825396825397,0.8055555555555556
2,Majkel1337,Night Stretcher,0.5151515151515151,5.882352941176471,0.8235294117647058,0.5098039215686274,51,0.5294117647058824,0.75
2,Majkel1337,Nighttime Mine,0.48484848484848486,6.0625,0.7291666666666666,0.3541666666666667,35,0.42857142857142855,0.75
2,Majkel1337,Poké Pad,1.3232323232323233,2.7938931297709924,0.5572519083969466,0.35877862595419846,78,0.6025641025641025,0.7619047619047619
2,Majkel1337,Rare Candy,0.7676767676767676,3.3684210526315788,0.868421052631579,0.7105263157894737,62,0.6290322580645161,0.6486486486486487
2,Majkel1337,Sacred Ash,0.5252525252525253,6.403846153846154,0.8269230769230769,0.6153846153846154,52,0.46153846153846156,0.8297872340425532
2,Majkel1337,Xerosic’s Machinations,1.1717171717171717,6.301724137931035,0.75,0.43103448275862066,61,0.47540983606557374,0.8947368421052632
3,Yushin Ito,Boss’s Orders,1.08,5.0,0.9444444444444444,0.6018518518518519,58,0.6206896551724138,0.7619047619047619
3,Yushin Ito,Buddy-Buddy Poffin,1.43,2.699300699300699,0.5734265734265734,0.34265734265734266,86,0.6744186046511628,0.7142857142857143
3,Yushin Ito,Dawn,1.07,2.8598130841121496,0.6728971962616822,0.35514018691588783,74,0.6486486486486487,0.7692307692307693
3,Yushin Ito,Dudunsparce,2.71,7.114391143911439,0.8597785977859779,0.4981549815498155,88,0.6704545454545454,0.75
3,Yushin Ito,Enhanced Hammer,1.23,3.8048780487804876,0.8699186991869918,0.5447154471544715,72,0.6527777777777778,0.75
3,Yushin Ito,Hilda,0.95,3.231578947368421,0.7473684210526316,0.3263157894736842,67,0.6567164179104478,0.7272727272727273
3,Yushin Ito,Lana’s Aid,0.39,5.9743589743589745,0.8461538461538461,0.6410256410256411,39,0.6153846153846154,0.7213114754098361
3,Yushin Ito,Night Stretcher,0.53,5.188679245283019,0.8301886792452831,0.39622641509433965,53,0.5283018867924528,0.851063829787234
3,Yushin Ito,Nighttime Mine,0.52,5.788461538461538,0.6538461538461539,0.23076923076923078,40,0.6,0.7333333333333333
3,Yushin Ito,Poké Pad,1.52,2.9342105263157894,0.625,0.24342105263157895,88,0.6590909090909091,0.8333333333333334
3,Yushin Ito,Rare Candy,0.77,3.142857142857143,0.961038961038961,0.7402597402597403,66,0.7575757575757576,0.5294117647058824
3,Yushin Ito,Sacred Ash,0.37,6.027027027027027,0.8648648648648649,0.5675675675675675,37,0.5675675675675675,0.746031746031746
3,Yushin Ito,Xerosic’s Machinations,1.15,5.260869565217392,0.8521739130434782,0.5304347826086957,64,0.71875,0.6111111111111112
4,bono,Boss’s Orders,0.7070707070707071,7.414285714285715,0.6428571428571429,0.5285714285714286,45,0.5555555555555556,0.7222222222222222
4,bono,Buddy-Buddy Poffin,1.494949494949495,2.8783783783783785,0.4594594594594595,0.30405405405405406,81,0.6666666666666666,0.5555555555555556
4,bono,Dawn,1.3838383838383839,3.291970802919708,0.6496350364963503,0.39416058394160586,83,0.6746987951807228,0.5
4,bono,Dudunsparce,3.0505050505050506,13.072847682119205,0.5397350993377483,0.38079470198675497,88,0.6477272727272727,0.6363636363636364
4,bono,Enhanced Hammer,0.9090909090909091,3.8555555555555556,0.7555555555555555,0.5555555555555556,53,0.6792452830188679,0.6086956521739131
4,bono,Hilda,1.1515151515151516,3.6578947368421053,0.5789473684210527,0.30701754385964913,73,0.6164383561643836,0.7307692307692307
4,bono,Lana’s Aid,0.48484848484848486,6.416666666666667,0.7916666666666666,0.5625,48,0.5,0.7843137254901961
4,bono,Night Stretcher,0.46464646464646464,4.913043478260869,0.7608695652173914,0.45652173913043476,46,0.5869565217391305,0.6981132075471698
4,bono,Nighttime Mine,1.0404040404040404,3.8155339805825244,0.5825242718446602,0.3786407766990291,78,0.6025641025641025,0.8095238095238095
4,bono,Poké Pad,1.606060606060606,3.3773584905660377,0.5471698113207547,0.3710691823899371,86,0.6511627906976745,0.6153846153846154
4,bono,Rare Candy,0.8080808080808081,3.2125,0.7875,0.6,68,0.6617647058823529,0.6129032258064516
4,bono,Sacred Ash,0.5050505050505051,5.68,0.86,0.66,50,0.58,0.7142857142857143
4,bono,Xerosic’s Machinations,1.3333333333333333,4.962121212121212,0.8106060606060606,0.6666666666666666,72,0.6805555555555556,0.5555555555555556
7,LiamK,Boss’s Orders,0.6868686868686869,5.588235294117647,0.7941176470588235,0.5147058823529411,48,0.5625,0.6470588235294118
7,LiamK,Buddy-Buddy Poffin,1.393939393939394,2.7318840579710146,0.4782608695652174,0.26811594202898553,82,0.5853658536585366,0.7058823529411765
7,LiamK,Dawn,1.3535353535353536,3.6194029850746268,0.8059701492537313,0.41044776119402987,83,0.5662650602409639,0.8125
7,LiamK,Dudunsparce,2.9494949494949494,7.126712328767123,0.8116438356164384,0.3767123287671233,95,0.631578947368421,0.0
7,LiamK,Enhanced Hammer,1.101010101010101,4.6880733944954125,0.7981651376146789,0.3119266055045872,54,0.5370370370370371,0.6888888888888889
7,LiamK,Hilda,0.7272727272727273,2.9027777777777777,0.8194444444444444,0.3611111111111111,59,0.576271186440678,0.65
7,LiamK,Lana’s Aid,0.5151515151515151,5.764705882352941,0.7843137254901961,0.49019607843137253,51,0.45098039215686275,0.7708333333333334
7,LiamK,Neutralization Zone,0.5959595959595959,3.6779661016949152,0.7627118644067796,0.4067796610169492,59,0.5423728813559322,0.7
7,LiamK,Night Stretcher,0.5656565656565656,5.75,0.7678571428571429,0.4107142857142857,56,0.48214285714285715,0.7674418604651163
7,LiamK,Poké Pad,1.3434343434343434,3.2406015037593985,0.5864661654135338,0.2706766917293233,80,0.55,0.8421052631578947
7,LiamK,Rare Candy,1.0404040404040404,3.1262135922330097,0.883495145631068,0.5728155339805825,83,0.5783132530120482,0.75
7,LiamK,Sacred Ash,0.4444444444444444,5.7272727272727275,0.8409090909090909,0.4318181818181818,44,0.4318181818181818,0.7454545454545455
7,LiamK,Xerosic’s Machinations,0.9090909090909091,5.888888888888889,0.7777777777777778,0.4222222222222222,51,0.5098039215686274,0.7083333333333334
9,Rmy,Boss’s Orders,0.898989898989899,5.707865168539326,0.8764044943820225,0.6292134831460674,54,0.5185185185185185,0.7333333333333333
9,Rmy,Buddy-Buddy Poffin,1.202020202020202,2.8739495798319328,0.4789915966386555,0.2689075630252101,78,0.6153846153846154,0.6190476190476191
9,Rmy,Dawn,1.1414141414141414,3.0265486725663715,0.6371681415929203,0.37168141592920356,76,0.631578947368421,0.5652173913043478
9,Rmy,Dudunsparce,2.919191919191919,9.69204152249135,0.6643598615916955,0.40484429065743943,84,0.5714285714285714,0.8666666666666667
9,Rmy,Enhanced Hammer,1.0505050505050506,4.105769230769231,0.7403846153846154,0.46153846153846156,61,0.5737704918032787,0.6842105263157895
9,Rmy,Hilda,1.0808080808080809,3.7009345794392523,0.5887850467289719,0.308411214953271,68,0.6029411764705882,0.6451612903225806
9,Rmy,Lana’s Aid,0.494949494949495,6.081632653061225,0.7551020408163265,0.5102040816326531,49,0.46938775510204084,0.76
9,Rmy,Night Stretcher,0.4444444444444444,5.636363636363637,0.8409090909090909,0.5681818181818182,44,0.5,0.7090909090909091
9,Rmy,Nighttime Mine,0.6363636363636364,5.396825396825397,0.7142857142857143,0.42857142857142855,47,0.3617021276595745,0.8461538461538461
9,Rmy,Poké Pad,1.494949494949495,2.918918918918919,0.47297297297297297,0.2635135135135135,81,0.5802469135802469,0.7777777777777778
9,Rmy,Rare Candy,0.9696969696969697,3.7708333333333335,0.7916666666666666,0.625,74,0.6081081081081081,0.64
