card_id,card,rank02_Majkel1337,rank03_Yushin Ito,rank04_bono,rank07_LiamK,rank09_Rmy,rank15_THIRD PTCG Club,rank16_matsurih,rank17_ei ei ei yikuso
5,Basic {P} Energy,2,2,2,3,2,2,2,2
13,Enriching Energy,1,1,1,0,1,1,1,1
19,Telepath Psychic Energy,4,4,4,4,4,4,4,4
66,Dudunsparce,2,2,2,3,2,2,2,2
140,Fezandipiti ex,1,1,1,1,1,1,1,1
305,Dunsparce,3,3,3,4,3,3,3,3
343,Shaymin,1,1,1,0,1,1,1,1
741,Abra,4,4,4,4,4,4,4,4
742,Kadabra,4,4,4,4,4,4,4,4
743,Alakazam,4,4,4,4,4,4,4,4
1079,Rare Candy,3,3,3,4,3,3,3,3
1081,Enhanced Hammer,4,3,3,4,3,3,4,3
1086,Buddy-Buddy Poffin,4,4,4,4,4,4,4,4
1097,Night Stretcher,1,1,1,1,1,1,1,1
1129,Sacred Ash,1,1,1,1,1,1,1,1
1152,Poké Pad,4,4,4,4,4,4,4,4
1182,Boss’s Orders,3,3,3,3,3,3,3,3
1184,Lana’s Aid,1,1,1,1,1,1,1,1
1197,Xerosic’s Machinations,3,3,3,3,3,3,3,4
1225,Hilda,4,4,4,3,4,4,4,4
1231,Dawn,4,4,4,4,4,4,4,4
1246,Jamming Tower,0,0,0,0,0,3,0,0
1247,Neutralization Zone,0,0,0,1,0,0,0,0
1266,Nighttime Mine,2,3,3,0,3,0,2,2
