team,rank,energy,target,count,per_game
Majkel1337,2,Basic {P} Energy,Alakazam,95,0.9595959595959596
Majkel1337,2,Telepath Psychic Energy,Abra,71,0.7171717171717171
Majkel1337,2,Telepath Psychic Energy,Alakazam,70,0.7070707070707071
Majkel1337,2,Basic {P} Energy,Kadabra,47,0.47474747474747475
Majkel1337,2,Telepath Psychic Energy,Kadabra,44,0.4444444444444444
Majkel1337,2,Enriching Energy,Dunsparce,35,0.35353535353535354
Majkel1337,2,Basic {P} Energy,Abra,20,0.20202020202020202
Majkel1337,2,Enriching Energy,Fezandipiti ex,13,0.13131313131313133
Majkel1337,2,Telepath Psychic Energy,Dunsparce,12,0.12121212121212122
Majkel1337,2,Telepath Psychic Energy,Fezandipiti ex,12,0.12121212121212122
Majkel1337,2,Enriching Energy,Abra,10,0.10101010101010101
Majkel1337,2,Basic {P} Energy,Fezandipiti ex,8,0.08080808080808081
Majkel1337,2,Enriching Energy,Alakazam,7,0.0707070707070707
Majkel1337,2,Enriching Energy,Shaymin,5,0.050505050505050504
Majkel1337,2,Basic {P} Energy,Shaymin,4,0.04040404040404041
Majkel1337,2,Basic {P} Energy,Dunsparce,3,0.030303030303030304
Majkel1337,2,Enriching Energy,Kadabra,1,0.010101010101010102
Majkel1337,2,Telepath Psychic Energy,Shaymin,1,0.010101010101010102
Yushin Ito,3,Telepath Psychic Energy,Alakazam,109,1.09
Yushin Ito,3,Basic {P} Energy,Alakazam,83,0.83
Yushin Ito,3,Telepath Psychic Energy,Abra,61,0.61
Yushin Ito,3,Telepath Psychic Energy,Dudunsparce,26,0.26
Yushin Ito,3,Telepath Psychic Energy,Kadabra,25,0.25
Yushin Ito,3,Basic {P} Energy,Dudunsparce,24,0.24
Yushin Ito,3,Enriching Energy,Kadabra,22,0.22
Yushin Ito,3,Basic {P} Energy,Kadabra,21,0.21
Yushin Ito,3,Enriching Energy,Dunsparce,19,0.19
Yushin Ito,3,Basic {P} Energy,Abra,17,0.17
Yushin Ito,3,Enriching Energy,Abra,11,0.11
Yushin Ito,3,Enriching Energy,Fezandipiti ex,9,0.09
Yushin Ito,3,Enriching Energy,Dudunsparce,8,0.08
Yushin Ito,3,Basic {P} Energy,Dunsparce,7,0.07
Yushin Ito,3,Enriching Energy,Shaymin,7,0.07
