rank,team,matchup,games,wins,win_rate,avg_first_attack_turn,avg_attack_rate,avg_attacks,deckout_losses,prize_losses,boardout_losses
2,Majkel1337,Alakazam mirror,23,14,0.6086956521739131,2.0434782608695654,0.7034982230735989,5.391304347826087,1,8,0
3,Yushin Ito,Alakazam mirror,28,21,0.75,2.0,0.7998814677386107,5.857142857142857,4,2,1
4,bono,Alakazam mirror,34,24,0.7058823529411765,2.5454545454545454,0.6884305237246414,5.411764705882353,0,8,2
7,LiamK,Alakazam mirror,30,18,0.6,2.2,0.6827787952787951,5.0,0,12,0
9,Rmy,Alakazam mirror,35,25,0.7142857142857143,2.4571428571428573,0.7292455163883735,5.714285714285714,2,8,0
15,THIRD PTCG Club,Alakazam mirror,34,20,0.5882352941176471,2.3529411764705883,0.7126750700280112,5.676470588235294,1,12,1
16,matsurih,Alakazam mirror,32,21,0.65625,2.225806451612903,0.7198784722222222,5.1875,0,9,2
17,ei ei ei yikuso,Alakazam mirror,31,21,0.6774193548387096,2.433333333333333,0.6529185867895545,4.806451612903226,6,3,1
2,Majkel1337,Archaludon/Cinderace,3,3,1.0,3.6666666666666665,0.6031746031746031,4.0,0,0,0
4,bono,Archaludon/Cinderace,3,2,0.6666666666666666,3.0,0.6125541125541126,6.333333333333333,1,0,0
7,LiamK,Archaludon/Cinderace,5,4,0.8,2.25,0.619047619047619,4.0,0,0,1
9,Rmy,Archaludon/Cinderace,2,1,0.5,3.0,0.5476190476190476,3.5,0,1,0
15,THIRD PTCG Club,Archaludon/Cinderace,6,4,0.6666666666666666,2.5,0.7007936507936509,4.166666666666667,0,2,0
16,matsurih,Archaludon/Cinderace,2,2,1.0,2.0,0.8333333333333334,5.0,0,0,0
17,ei ei ei yikuso,Archaludon/Cinderace,6,4,0.6666666666666666,2.1666666666666665,0.7509920634920634,5.0,0,2,0
2,Majkel1337,Crustle/Dwebble,14,14,1.0,2.142857142857143,0.7525896722325294,5.071428571428571,0,0,0
3,Yushin Ito,Crustle/Dwebble,23,20,0.8695652173913043,2.0,0.8212619506097766,6.086956521739131,3,0,0
4,bono,Crustle/Dwebble,13,9,0.6923076923076923,2.5833333333333335,0.6176046176046176,3.769230769230769,2,1,1
7,LiamK,Crustle/Dwebble,7,7,1.0,1.7142857142857142,0.7917748917748917,3.7142857142857144,0,0,0
9,Rmy,Crustle/Dwebble,6,6,1.0,1.8333333333333333,0.8125,4.333333333333333,0,0,0
15,THIRD PTCG Club,Crustle/Dwebble,13,10,0.7692307692307693,2.3333333333333335,0.6954297838913224,5.076923076923077,2,0,1
16,matsurih,Crustle/Dwebble,11,8,0.7272727272727273,2.4545454545454546,0.7179406850459482,8.636363636363637,1,2,0
17,ei ei ei yikuso,Crustle/Dwebble,6,6,1.0,2.3333333333333335,0.7607142857142858,5.5,0,0,0
2,Majkel1337,Cynthia's Garchomp ex,11,7,0.6363636363636364,2.090909090909091,0.7837301587301586,5.545454545454546,0,4,0
4,bono,Cynthia's Garchomp ex,2,1,0.5,2.0,0.6944444444444444,5.0,1,0,0
7,LiamK,Cynthia's Garchomp ex,4,1,0.25,1.75,0.8790584415584416,7.0,1,2,0
9,Rmy,Cynthia's Garchomp ex,3,3,1.0,2.0,0.8190476190476191,7.333333333333333,0,0,0
15,THIRD PTCG Club,Cynthia's Garchomp ex,2,2,1.0,2.5,0.7857142857142857,5.5,0,0,0
16,matsurih,Cynthia's Garchomp ex,9,6,0.6666666666666666,2.111111111111111,0.7987484737484738,5.777777777777778,1,2,0
17,ei ei ei yikuso,Cynthia's Garchomp ex,5,2,0.4,1.8,0.8301587301587302,5.8,1,2,0
2,Majkel1337,Dragapult/Budew,2,2,1.0,3.0,0.6142857142857143,3.5,0,0,0
3,Yushin Ito,Dragapult/Budew,10,7,0.7,2.2,0.7662698412698412,4.7,0,3,0
4,bono,Dragapult/Budew,5,3,0.6,3.0,0.5533333333333333,3.4,0,2,0
7,LiamK,Dragapult/Budew,3,1,0.3333333333333333,2.0,0.6111111111111112,3.3333333333333335,0,2,0
9,Rmy,Dragapult/Budew,4,4,1.0,2.5,0.7678571428571429,5.0,0,0,0
15,THIRD PTCG Club,Dragapult/Budew,4,4,1.0,3.0,0.6886363636363636,4.5,0,0,0
16,matsurih,Dragapult/Budew,3,3,1.0,2.6666666666666665,0.7380952380952381,4.666666666666667,0,0,0
17,ei ei ei yikuso,Dragapult/Budew,4,0,0.0,2.0,0.6,3.0,0,4,0
2,Majkel1337,Marnie's Grimmsnarl ex,6,3,0.5,2.0,0.7357142857142857,3.8333333333333335,0,2,1
4,bono,Marnie's Grimmsnarl ex,16,10,0.625,2.6666666666666665,0.5848214285714286,3.4375,0,5,1
7,LiamK,Marnie's Grimmsnarl ex,11,7,0.6363636363636364,2.1818181818181817,0.7117965367965368,4.090909090909091,0,3,1
9,Rmy,Marnie's Grimmsnarl ex,8,2,0.25,2.625,0.5583333333333333,3.0,0,6,0
15,THIRD PTCG Club,Marnie's Grimmsnarl ex,9,3,0.3333333333333333,2.75,0.5158730158730159,3.111111111111111,0,5,1
16,matsurih,Marnie's Grimmsnarl ex,9,5,0.5555555555555556,2.4444444444444446,0.7235449735449736,3.888888888888889,0,4,0
17,ei ei ei yikuso,Marnie's Grimmsnarl ex,14,5,0.35714285714285715,2.5714285714285716,0.5594104308390022,3.5,1,7,1
2,Majkel1337,Mega Kangaskhan ex,9,4,0.4444444444444444,2.5,0.5025613275613275,4.888888888888889,1,3,1
3,Yushin Ito,Mega Kangaskhan ex,21,5,0.23809523809523808,2.0952380952380953,0.6466389430675145,5.571428571428571,16,0,0
4,bono,Mega Kangaskhan ex,3,2,0.6666666666666666,3.0,0.6744588744588745,6.333333333333333,0,1,0
7,LiamK,Mega Kangaskhan ex,16,5,0.3125,2.0,0.688163745976246,7.875,9,2,0
9,Rmy,Mega Kangaskhan ex,13,3,0.23076923076923078,2.8461538461538463,0.5544777871700949,5.384615384615385,5,5,0
15,THIRD PTCG Club,Mega Kangaskhan ex,8,0,0.0,2.5,0.4998511904761905,4.25,7,1,0
16,matsurih,Mega Kangaskhan ex,10,2,0.2,2.1,0.664280303030303,6.7,6,2,0
17,ei ei ei yikuso,Mega Kangaskhan ex,7,2,0.2857142857142857,2.7142857142857144,0.5076530612244898,3.857142857142857,4,1,0
2,Majkel1337,Mega Lucario ex,1,1,1.0,2.0,0.8571428571428571,6.0,0,0,0
3,Yushin Ito,Mega Lucario ex,2,2,1.0,4.5,0.47619047619047616,3.0,0,0,0
4,bono,Mega Lucario ex,1,1,1.0,1.0,1.0,4.0,0,0,0
7,LiamK,Mega Lucario ex,2,2,1.0,2.0,0.75,3.0,0,0,0
9,Rmy,Mega Lucario ex,4,2,0.5,2.0,0.6041666666666667,4.0,0,1,1
15,THIRD PTCG Club,Mega Lucario ex,5,5,1.0,2.2,0.7595238095238096,4.4,0,0,0
16,matsurih,Mega Lucario ex,4,3,0.75,2.25,0.7250000000000001,4.0,1,0,0
17,ei ei ei yikuso,Mega Lucario ex,2,2,1.0,3.5,0.55,3.0,0,0,0
2,Majkel1337,Mega Starmie/Froslass,5,4,0.8,3.0,0.49333333333333335,2.6,0,1,0
