ep,win,first,opp,reason,turns,bodies_t2,ph_total,ph_zero,boss,boss_ok,boss_atk,xerosic,nonattack,nonattack_no_alk,dudun_last,kad_active,opp_mist,opp_rock,opp_articuno,opp_lillie,my_deck_end,my_prizes_end,opp_prizes_end
85415302,True,True,Alakazam,win_other,13,4,5,0,1,0,1,1,0,0,0,2,False,False,False,0,13,2,3
85415777,True,True,Alakazam,win_other,13,5,6,0,0,0,0,2,0,0,0,9,False,False,False,0,11,1,5
85416268,True,True,Cinderace,win_other,9,6,3,0,0,0,0,0,0,0,0,3,False,False,False,0,10,4,5
85416758,False,False,Crustle,other,16,3,7,6,1,1,1,1,0,0,0,0,True,True,False,0,1,5,6
85417250,False,True,Mega Lucario ex,other,13,5,2,1,0,0,0,2,2,2,0,0,False,False,False,5,19,6,1
85417746,True,False,Alakazam,win_other,16,5,7,2,1,1,1,2,0,0,0,0,False,False,False,1,10,1,5
85418284,False,True,Cinderace,other,11,5,2,1,1,1,1,2,2,1,0,9,False,False,False,6,5,5,1
85418817,False,False,Cynthia's Garchomp ex,other,2,,0,0,0,0,0,1,0,0,0,0,False,True,False,0,46,6,6
85419338,True,True,Cinderace,win_other,7,5,2,0,1,1,1,0,0,0,0,0,False,False,False,2,13,3,5
85419845,False,True,Cinderace,other,3,1,0,0,0,0,0,0,1,1,1,0,False,False,False,0,42,6,6
85419849,False,False,Mega Lucario ex,other,12,3,2,1,1,1,1,1,2,2,0,1,False,False,False,4,21,5,1
85420374,True,False,Alakazam,win_other,24,5,9,3,0,0,0,3,2,0,0,12,False,False,False,0,2,1,4
85420867,False,True,Cinderace,other,7,3,1,0,0,0,0,0,2,2,1,0,False,False,False,7,32,5,3
85421379,False,True,Crustle,deck_out,25,4,5,3,2,2,2,0,6,0,0,2,True,True,False,0,0,4,6
85421884,True,True,Alakazam,win_opp_deck_out,17,2,5,0,1,1,1,3,2,2,0,0,False,False,False,0,13,1,5
85422380,False,False,Mega Lucario ex,other,4,1,0,0,0,0,0,1,1,1,1,0,False,False,False,0,45,6,6
85422890,True,True,Mega Lucario ex,win_other,11,5,5,0,0,0,0,0,0,0,0,3,False,False,False,1,18,2,5
85423013,True,True,Mega Kangaskhan ex,win_other,11,4,3,1,1,0,1,2,2,2,0,0,True,False,False,2,15,3,6
85423388,False,True,Alakazam,other,17,3,3,0,0,0,0,2,4,3,0,0,False,False,False,0,10,3,1
85423875,False,False,Mega Lucario ex,other,14,4,2,0,2,2,2,1,2,2,0,0,False,False,False,17,11,4,1
85424359,False,False,Team Rocket's Mewtwo ex,deck_out,46,6,21,19,1,1,1,3,1,0,0,0,False,False,True,3,0,4,2
85424848,True,False,Mega Lucario ex,win_opp_deck_out,14,6,2,0,1,1,1,0,2,2,0,4,False,False,False,4,4,5,1
85425339,True,True,Mega Kangaskhan ex,win_other,5,4,2,0,0,0,0,0,0,0,0,0,True,False,False,0,26,5,6
85425817,False,True,Mega Lucario ex,other,13,4,0,0,0,0,0,2,2,2,0,0,False,False,False,3,31,6,1
85426297,True,True,Alakazam,win_other,3,5,1,0,0,0,0,0,0,0,0,0,False,False,False,0,28,6,6
85426784,True,False,Mega Lucario ex,win_other,12,5,5,1,0,0,0,1,0,0,0,0,False,False,False,3,13,1,2
85427262,True,True,Dudunsparce,win_other,19,5,9,3,0,0,0,0,0,0,0,4,True,False,False,4,6,1,4
85427752,True,True,Alakazam,win_other,11,4,4,0,0,0,0,1,0,0,0,0,False,False,False,0,16,3,5
85428311,True,True,Mega Lucario ex,win_other,11,3,3,1,1,1,1,0,0,0,0,0,False,False,False,4,8,2,2
85428708,False,True,Mega Starmie ex,other,3,1,0,0,0,0,0,0,0,0,0,0,True,False,False,3,43,6,6
85429200,True,True,Cinderace,win_other,13,5,3,0,0,0,0,0,1,1,0,0,False,False,False,2,7,2,1
85429673,True,True,Alakazam,win_opp_deck_out,15,5,5,0,0,0,0,2,2,1,0,0,False,False,False,0,6,2,4
85430041,False,False,Dragapult ex,other,4,1,0,0,0,0,0,0,1,1,0,0,False,False,False,0,44,6,6
85430151,False,False,Mega Lucario ex,other,10,4,1,0,1,1,1,1,2,2,1,0,False,False,False,1,26,5,2
85430645,False,True,Hop's Trevenant,other,23,4,6,2,1,1,1,1,5,4,0,0,True,False,False,5,2,2,1
85431143,True,False,Mega Lucario ex,win_other,12,6,4,1,1,1,1,0,1,0,0,6,False,False,False,2,6,2,1
85431630,False,False,Marnie's Grimmsnarl ex,other,12,2,2,1,1,1,1,1,3,3,0,0,False,False,False,2,14,5,1
85432128,False,True,Mega Lucario ex,other,13,2,2,0,1,1,1,1,3,3,0,0,False,False,False,3,20,4,1
85432145,True,True,Marnie's Grimmsnarl ex,win_other,11,4,4,0,0,0,0,0,0,0,0,0,False,False,False,2,7,1,4
85432629,False,True,Cynthia's Garchomp ex,other,15,1,1,0,0,0,0,0,0,0,0,0,False,True,False,1,26,5,1
85433113,False,True,Dragapult ex,other,7,4,1,1,0,0,0,1,2,2,0,0,False,False,False,1,26,6,2
85433631,True,False,Mega Lucario ex,win_other,10,5,4,0,2,2,2,0,0,0,0,0,False,False,False,1,17,3,4
85435117,False,False,Marnie's Grimmsnarl ex,other,12,4,2,0,1,1,1,0,0,0,0,0,False,False,False,4,12,3,2
85437701,True,True,Archaludon ex,win_other,15,5,6,2,0,0,0,0,0,0,0,18,False,False,True,3,5,1,3
85441138,False,False,Dragapult ex,other,12,4,0,0,0,0,0,1,2,2,0,0,False,False,False,3,15,6,1
85446104,True,False,Alakazam,win_other,10,5,3,0,0,0,0,1,1,0,0,0,False,False,False,0,14,4,4
85449408,False,True,Alakazam,other,15,4,3,1,0,0,0,2,3,3,0,10,False,False,False,0,11,4,1
85455588,False,True,Dusknoir,other,9,3,1,1,0,0,0,1,3,3,0,0,False,False,False,3,33,6,1
85462656,False,True,Dragapult ex,other,11,3,1,0,0,0,0,1,2,1,0,2,False,False,False,2,27,3,2
85471742,True,True,Alakazam,win_other,23,6,6,0,0,0,0,2,0,0,0,13,False,False,False,0,9,1,2
85479060,True,True,Crustle,win_other,9,5,4,1,0,0,0,1,0,0,0,0,True,False,False,4,12,4,6
85495522,False,False,Mega Starmie ex,other,8,4,1,1,0,0,0,0,1,0,0,0,True,False,False,11,19,6,1
85495671,True,False,Dragapult ex,win_other,10,5,3,0,0,0,0,0,0,0,0,0,False,False,False,0,10,2,5
