trajectory_id,zip_path,zip_name,replay_path,path_variant,rank,submission_id,episode_id,target_seat,seat_method,seat_confidence,exclusion_reason,target_team,observed_target_team,opponent_team,team_names_json,target_reward,target_win,target_loss,deck_hash,opponent_deck_hash,deck_type,majkel_distance,major_card_differences_json,initial_deck_json,alakazam_line,deck_size,usable_manifest
20260726:87647564:1,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260726_yushin_ito.zip,20260726_yushin_ito.zip,20260726_yushin_ito/episodes/87647564/replay/episode_87647564.json,replay,99,20260726,87647564,1,source_manifest,1.0,,Yushin Ito,Yushin Ito,Team KASA.,"[""Team KASA."", ""Yushin Ito""]",1.0,True,False,cc38cb450b86770a,cc38cb450b86770a,majkel_exact,0.0,[],"[5, 5, 13, 19, 19, 19, 19, 66, 66, 140, 305, 305, 305, 343, 741, 741, 741, 741, 742, 742, 742, 742, 743, 743, 743, 743, 1079, 1079, 1079, 1081, 1081, 1081, 1081, 1086, 1086, 1086, 1086, 1097, 1129, 1152, 1152, 1152, 1152, 1182, 1182, 1182, 1184, 1197, 1197, 1197, 1225, 1225, 1225, 1225, 1231, 1231, 1231, 1231, 1266, 1266]",True,60,True
20260726:87648097:1,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260726_yushin_ito.zip,20260726_yushin_ito.zip,20260726_yushin_ito/episodes/87648097/replay/episode_87648097.json,replay,99,20260726,87648097,1,source_manifest,1.0,,Yushin Ito,Yushin Ito,UMRgurashi,"[""UMRgurashi"", ""Yushin Ito""]",1.0,True,False,cc38cb450b86770a,9a30e5a595d7cdd3,majkel_exact,0.0,[],"[5, 5, 13, 19, 19, 19, 19, 66, 66, 140, 305, 305, 305, 343, 741, 741, 741, 741, 742, 742, 742, 742, 743, 743, 743, 743, 1079, 1079, 1079, 1081, 1081, 1081, 1081, 1086, 1086, 1086, 1086, 1097, 1129, 1152, 1152, 1152, 1152, 1182, 1182, 1182, 1184, 1197, 1197, 1197, 1225, 1225, 1225, 1225, 1231, 1231, 1231, 1231, 1266, 1266]",True,60,True
20260726:87648613:0,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260726_yushin_ito.zip,20260726_yushin_ito.zip,20260726_yushin_ito/episodes/87648613/replay/episode_87648613.json,replay,99,20260726,87648613,0,source_manifest,1.0,,Yushin Ito,Yushin Ito,HowardLeeTW,"[""Yushin Ito"", ""HowardLeeTW""]",1.0,True,False,cc38cb450b86770a,9714ab5c3996f6cc,majkel_exact,0.0,[],"[5, 5, 13, 19, 19, 19, 19, 66, 66, 140, 305, 305, 305, 343, 741, 741, 741, 741, 742, 742, 742, 742, 743, 743, 743, 743, 1079, 1079, 1079, 1081, 1081, 1081, 1081, 1086, 1086, 1086, 1086, 1097, 1129, 1152, 1152, 1152, 1152, 1182, 1182, 1182, 1184, 1197, 1197, 1197, 1225, 1225, 1225, 1225, 1231, 1231, 1231, 1231, 1266, 1266]",True,60,True
20260726:87649149:0,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260726_yushin_ito.zip,20260726_yushin_ito.zip,20260726_yushin_ito/episodes/87649149/replay/episode_87649149.json,replay,99,20260726,87649149,0,source_manifest,1.0,,Yushin Ito,Yushin Ito,Majkel1337,"[""Yushin Ito"", ""Majkel1337""]",1.0,True,False,cc38cb450b86770a,cc38cb450b86770a,majkel_exact,0.0,[],"[5, 5, 13, 19, 19, 19, 19, 66, 66, 140, 305, 305, 305, 343, 741, 741, 741, 741, 742, 742, 742, 742, 743, 743, 743, 743, 1079, 1079, 1079, 1081, 1081, 1081, 1081, 1086, 1086, 1086, 1086, 1097, 1129, 1152, 1152, 1152, 1152, 1182, 1182, 1182, 1184, 1197, 1197, 1197, 1225, 1225, 1225, 1225, 1231, 1231, 1231, 1231, 1266, 1266]",True,60,True
20260726:87649157:0,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260726_yushin_ito.zip,20260726_yushin_ito.zip,20260726_yushin_ito/episodes/87649157/replay/episode_87649157.json,replay,99,20260726,87649157,0,source_manifest,1.0,,Yushin Ito,Yushin Ito,HowardLeeTW,"[""Yushin Ito"", ""HowardLeeTW""]",1.0,True,False,cc38cb450b86770a,9714ab5c3996f6cc,majkel_exact,0.0,[],"[5, 5, 13, 19, 19, 19, 19, 66, 66, 140, 305, 305, 305, 343, 741, 741, 741, 741, 742, 742, 742, 742, 743, 743, 743, 743, 1079, 1079, 1079, 1081, 1081, 1081, 1081, 1086, 1086, 1086, 1086, 1097, 1129, 1152, 1152, 1152, 1152, 1182, 1182, 1182, 1184, 1197, 1197, 1197, 1225, 1225, 1225, 1225, 1231, 1231, 1231, 1231, 1266, 1266]",True,60,True
20260726:87649231:0,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260726_yushin_ito.zip,20260726_yushin_ito.zip,20260726_yushin_ito/episodes/87649231/replay/episode_87649231.json,replay,99,20260726,87649231,0,source_manifest,1.0,,Yushin Ito,Yushin Ito,GUOHAOYANG,"[""Yushin Ito"", ""GUOHAOYANG""]",1.0,True,False,cc38cb450b86770a,9714ab5c3996f6cc,majkel_exact,0.0,[],"[5, 5, 13, 19, 19, 19, 19, 66, 66, 140, 305, 305, 305, 343, 741, 741, 741, 741, 742, 742, 742, 742, 743, 743, 743, 743, 1079, 1079, 1079, 1081, 1081, 1081, 1081, 1086, 1086, 1086, 1086, 1097, 1129, 1152, 1152, 1152, 1152, 1182, 1182, 1182, 1184, 1197, 1197, 1197, 1225, 1225, 1225, 1225, 1231, 1231, 1231, 1231, 1266, 1266]",True,60,True
20260726:87649674:1,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260726_yushin_ito.zip,20260726_yushin_ito.zip,20260726_yushin_ito/episodes/87649674/replay/episode_87649674.json,replay,99,20260726,87649674,1,source_manifest,1.0,,Yushin Ito,Yushin Ito,Majkel1337,"[""Majkel1337"", ""Yushin Ito""]",-1.0,False,True,cc38cb450b86770a,cc38cb450b86770a,majkel_exact,0.0,[],"[5, 5, 13, 19, 19, 19, 19, 66, 66, 140, 305, 305, 305, 343, 741, 741, 741, 741, 742, 742, 742, 742, 743, 743, 743, 743, 1079, 1079, 1079, 1081, 1081, 1081, 1081, 1086, 1086, 1086, 1086, 1097, 1129, 1152, 1152, 1152, 1152, 1182, 1182, 1182, 1184, 1197, 1197, 1197, 1225, 1225, 1225, 1225, 1231, 1231, 1231, 1231, 1266, 1266]",True,60,True
20260726:87650203:1,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260726_yushin_ito.zip,20260726_yushin_ito.zip,20260726_yushin_ito/episodes/87650203/replay/episode_87650203.json,replay,99,20260726,87650203,1,source_manifest,1.0,,Yushin Ito,Yushin Ito,GUOHAOYANG,"[""GUOHAOYANG"", ""Yushin Ito""]",-1.0,False,True,cc38cb450b86770a,9714ab5c3996f6cc,majkel_exact,0.0,[],"[5, 5, 13, 19, 19, 19, 19, 66, 66, 140, 305, 305, 305, 343, 741, 741, 741, 741, 742, 742, 742, 742, 743, 743, 743, 743, 1079, 1079, 1079, 1081, 1081, 1081, 1081, 1086, 1086, 1086, 1086, 1097, 1129, 1152, 1152, 1152, 1152, 1182, 1182, 1182, 1184, 1197, 1197, 1197, 1225, 1225, 1225, 1225, 1231, 1231, 1231, 1231, 1266, 1266]",True,60,True
20260726:87650738:0,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260726_yushin_ito.zip,20260726_yushin_ito.zip,20260726_yushin_ito/episodes/87650738/replay/episode_87650738.json,replay,99,20260726,87650738,0,source_manifest,1.0,,Yushin Ito,Yushin Ito,gecogeco,"[""Yushin Ito"", ""gecogeco""]",1.0,True,False,cc38cb450b86770a,c98ed3c5e7bcdee4,majkel_exact,0.0,[],"[5, 5, 13, 19, 19, 19, 19, 66, 66, 140, 305, 305, 305, 343, 741, 741, 741, 741, 742, 742, 742, 742, 743, 743, 743, 743, 1079, 1079, 1079, 1081, 1081, 1081, 1081, 1086, 1086, 1086, 1086, 1097, 1129, 1152, 1152, 1152, 1152, 1182, 1182, 1182, 1184, 1197, 1197, 1197, 1225, 1225, 1225, 1225, 1231, 1231, 1231, 1231, 1266, 1266]",True,60,True
20260726:87651287:1,C:\Users\shiba\ptcc_pokemon_ai_buttle\data\runs\leaderboard_top50\alakazam\20260726_yushin_ito.zip,20260726_yushin_ito.zip,20260726_yushin_ito/episodes/87651287/replay/episode_87651287.json,replay,99,20260726,87651287,1,source_manifest,1.0,,Yushin Ito,Yushin Ito,李秉叡（ntumlnoob）,"[""李秉叡（ntumlnoob）"", ""Yushin Ito""]",1.0,True,False,cc38cb450b86770a,5f465a2717338e24,majkel_exact,0.0,[],"[5, 5, 13, 19, 19, 19, 19, 66, 66, 140, 305, 305, 305, 343, 741, 741, 741, 741, 742, 742, 742, 742, 743, 743, 743, 743, 1079, 1079, 1079, 1081, 1081, 1081, 1081, 1086, 1086, 1086, 1086, 1097, 1129, 1152, 1152, 1152, 1152, 1182, 1182, 1182, 1184, 1197, 1197, 1197, 1225, 1225, 1225, 1225, 1231, 1231, 1231, 1231, 1266, 1266]",True,60,True
