rank,team_id,team_name,score,submission_id,episodes_available,deck_hash,snapshot
2,16380946,flg,1229.3,55456110,92,202ee2cec6cbe8b4,20260814
6,16416261,unknown,1193.1,55490173,67,202ee2cec6cbe8b4,20260814
12,16569286,Kh0a,1134.2,55492194,44,202ee2cec6cbe8b4,20260814
19,16561259,@kdcyberdude,1108.5,55487406,66,202ee2cec6cbe8b4,20260814
21,16445258,MTamago,1102.8,55482465,65,202ee2cec6cbe8b4,20260814
27,16474254,fishcat,1087.3,55485728,58,202ee2cec6cbe8b4,20260814
29,16531787,hatry,1084.0,55489068,58,202ee2cec6cbe8b4,20260814
31,16462035,Azat Akhtyamov,1079.9,55469451,74,202ee2cec6cbe8b4,20260814
36,16464757,unknown,1068.4,55492201,40,202ee2cec6cbe8b4,20260814
17,16422241,Raihan Ramadistra,1152.9,55494171,141,202ee2cec6cbe8b4,20260816
18,16371653,213tubo,1152.7,55537544,55,202ee2cec6cbe8b4,20260816
21,16474254,fishcat,1120.1,55538363,53,202ee2cec6cbe8b4,20260816
31,16375320,カントー地方マスター(KantoRegionMaster),1093.4,55536587,54,202ee2cec6cbe8b4,20260816
33,16462035,Аzat Akhtyamov,1089.4,55538085,58,202ee2cec6cbe8b4,20260816
36,16374395,Majkel1337,1072.9,55534461,57,202ee2cec6cbe8b4,20260816
39,16378553,EliKal,1064.9,55535718,58,202ee2cec6cbe8b4,20260816
50,16445292,GUOHAOYANG,1048.5,55541856,49,202ee2cec6cbe8b4,20260816
