turn,metric,v21,top5,field,n_v21,rank/23,pmin,pmax,p_vs_field,rho_rating,p_rho
1,take_attack,0.0,0.0,0.0,36,1,0.0,0.0,1.0,,
1,take_shadow,0.0,0.0,0.0,36,1,0.0,0.0,1.0,,
1,supporter_flag,0.0,0.0,0.0,36,1,0.0,0.0,1.0,,
1,energy_attached_flag,0.778,0.689,0.739,36,17,0.631,0.882,0.7041,-0.278,0.2097
1,take_rare_candy,0.0,0.0,0.0,36,1,0.0,0.0,1.0,,
1,board_grim_ex_on_board,0.0,0.0,0.0,36,1,0.0,0.0,1.0,,
1,take_gym,0.389,0.442,0.423,36,7,0.277,0.52,0.7361,-0.154,0.4949
1,gym_ability,0.389,0.442,0.422,36,7,0.277,0.52,0.7364,-0.158,0.4821
1,take_adrena,0.0,0.0,0.0,36,1,0.0,0.0,1.0,,
1,take_boss,0.0,0.0,0.0,36,1,0.0,0.0,1.0,,
1,take_poffin,0.472,0.475,0.443,36,18,0.352,0.537,0.738,0.19,0.3962
1,take_stamp,0.0,0.0,0.0,36,1,0.0,0.0,1.0,,
1,retreat_flag,0.0,0.038,0.014,36,1,0.0,0.133,1.0,0.557,0.0071
1,take_froslass_evolve,0.0,0.0,0.0,36,1,0.0,0.0,1.0,,
1,take_petrel,0.0,0.0,0.0,36,1,0.0,0.0,1.0,,
1,take_lillie,0.0,0.0,0.0,36,1,0.0,0.0,1.0,,
1,take_dawn,0.0,0.0,0.0,36,1,0.0,0.0,1.0,,
1,take_bench,0.556,0.661,0.669,36,2,0.529,0.767,0.1569,-0.178,0.4284
1,idle,0.056,0.028,0.017,36,22,0.0,0.062,0.1272,0.555,0.0073
1,board_energy_in_play,0.778,0.651,0.725,36,17,0.6,0.882,0.4588,-0.432,0.0447
1,board_bench,2.306,2.438,2.429,36,8,2.108,2.86,0.5784,-0.321,0.1448
1,board_deck_left,43.694,43.487,43.608,36,14,43.133,44.088,0.7489,0.011,0.9622
1,board_hand,4.611,4.749,4.64,36,10,4.288,5.042,0.8999,0.493,0.0198
1,main_decisions,4.583,4.757,4.72,36,7,4.206,5.04,0.693,-0.156,0.487
1,board_prize_left,6.0,6.0,6.0,36,1,6.0,6.0,,,
2,take_attack,0.361,0.49,0.466,36,2,0.34,0.56,0.2405,0.558,0.0069
2,take_shadow,0.222,0.351,0.339,36,2,0.189,0.447,0.158,0.343,0.1176
2,supporter_flag,0.75,0.848,0.844,36,1,0.759,0.917,0.1606,0.279,0.2094
2,energy_attached_flag,0.583,0.678,0.641,36,7,0.474,0.738,0.4868,0.52,0.0131
2,take_rare_candy,0.306,0.402,0.394,36,3,0.294,0.474,0.3071,0.344,0.1171
2,board_grim_ex_on_board,0.306,0.402,0.394,36,2,0.294,0.474,0.3068,0.344,0.1171
