turn,metric,v21,top5,field,n_v21,rank/23,pmin,pmax,p_vs_field,rho_rating,p_rho
1,take_attack,0.087,0.224,0.178,23,4,0.029,0.353,0.4076,0.59,0.0039
1,take_shadow,0.0,0.0,0.0,23,1,0.0,0.0,1.0,,
1,supporter_flag,0.696,0.786,0.798,23,2,0.688,0.889,0.2925,-0.267,0.2304
1,energy_attached_flag,0.87,0.829,0.854,23,14,0.787,1.0,1.0,-0.365,0.0944
1,take_rare_candy,0.0,0.0,0.0,23,1,0.0,0.0,1.0,,
1,board_grim_ex_on_board,0.0,0.0,0.0,23,1,0.0,0.0,1.0,,
1,take_gym,0.304,0.502,0.453,23,1,0.351,0.596,0.206,-0.032,0.8889
1,gym_ability,0.609,0.623,0.647,23,6,0.556,0.815,0.6686,-0.335,0.1277
1,take_adrena,0.0,0.0,0.0,23,1,0.0,0.0,1.0,,
1,take_boss,0.0,0.021,0.024,23,1,0.0,0.087,1.0,0.275,0.2147
1,take_poffin,0.565,0.564,0.581,23,9,0.5,0.674,1.0,-0.077,0.734
1,take_stamp,0.0,0.0,0.0,23,1,0.0,0.0,1.0,,
1,retreat_flag,0.0,0.025,0.014,23,1,0.0,0.064,1.0,0.512,0.0148
1,take_froslass_evolve,0.0,0.0,0.0,23,1,0.0,0.0,1.0,,
1,take_petrel,0.348,0.286,0.256,23,22,0.134,0.426,0.3376,0.376,0.0845
1,take_lillie,0.348,0.368,0.413,23,7,0.277,0.523,0.6712,-0.613,0.0024
1,take_dawn,0.0,0.111,0.106,23,1,0.043,0.222,0.1617,0.342,0.1189
1,take_bench,0.87,0.844,0.838,23,18,0.719,0.926,1.0,-0.11,0.6274
1,idle,0.0,0.0,0.0,23,1,0.0,0.007,1.0,-0.155,0.4916
1,board_energy_in_play,0.87,0.804,0.84,23,15,0.765,1.0,0.6857,-0.426,0.0479
1,board_bench,3.435,3.317,3.382,23,13,3.081,3.815,0.8399,-0.59,0.0038
1,board_deck_left,40.913,40.298,40.284,23,23,39.466,40.844,0.263,0.266,0.231
1,board_hand,4.913,5.595,5.545,23,1,5.149,5.992,0.0483,0.155,0.4902
1,main_decisions,7.087,6.959,7.042,23,12,6.644,7.704,0.9321,-0.276,0.2136
1,board_prize_left,6.0,6.0,6.0,23,1,6.0,6.0,,,
2,take_attack,0.435,0.58,0.529,23,1,0.435,0.689,0.4062,0.222,0.3209
2,take_shadow,0.348,0.458,0.434,23,4,0.326,0.571,0.5268,-0.054,0.8126
2,supporter_flag,0.652,0.788,0.762,23,2,0.63,0.889,0.2226,0.136,0.5459
2,energy_attached_flag,0.652,0.745,0.711,23,5,0.571,0.851,0.4975,0.399,0.066
2,take_rare_candy,0.348,0.489,0.474,23,1,0.37,0.592,0.2946,0.009,0.9682
2,board_grim_ex_on_board,0.348,0.489,0.474,23,1,0.37,0.592,0.2946,0.009,0.9682
2,take_gym,0.087,0.196,0.163,23,3,0.065,0.262,0.5665,0.589,0.0039
2,gym_ability,0.652,0.709,0.743,23,2,0.621,0.889,0.3388,-0.494,0.0194
2,take_adrena,0.261,0.143,0.205,23,20,0.074,0.346,0.4489,-0.334,0.1283
2,take_boss,0.0,0.075,0.072,23,1,0.0,0.113,0.4038,0.109,0.6293
2,take_poffin,0.304,0.208,0.212,23,21,0.088,0.344,0.3041,0.366,0.0935
2,take_stamp,0.174,0.157,0.152,23,18,0.043,0.238,0.7689,0.134,0.5527
2,retreat_flag,0.174,0.108,0.118,23,20,0.059,0.192,0.342,-0.308,0.1635
2,take_froslass_evolve,0.217,0.34,0.348,23,1,0.219,0.466,0.2702,-0.203,0.3656
2,take_petrel,0.13,0.228,0.227,23,1,0.136,0.37,0.3269,-0.158,0.4819
2,take_lillie,0.478,0.442,0.405,23,20,0.224,0.565,0.5248,0.378,0.083
2,take_dawn,0.043,0.043,0.058,23,7,0.0,0.217,1.0,-0.162,0.4709
2,take_bench,0.609,0.635,0.592,23,16,0.465,0.721,1.0,0.448,0.0364
2,idle,0.0,0.0,0.001,23,1,0.0,0.029,1.0,-0.268,0.2284
2,board_energy_in_play,2.304,3.187,3.056,23,3,2.211,4.163,0.0135,-0.291,0.1892
2,board_bench,4.348,4.026,4.105,23,20,3.811,4.593,0.2052,-0.567,0.0059
2,board_deck_left,34.304,33.108,33.44,23,21,31.795,34.535,0.3319,0.147,0.5128
2,board_hand,4.609,4.766,4.75,23,7,4.163,5.519,0.6803,-0.241,0.2797
2,main_decisions,7.957,7.548,7.569,23,19,6.926,8.179,0.4389,0.17,0.4495
2,board_prize_left,5.739,5.784,5.769,23,8,5.633,5.893,0.7533,0.538,0.0099
3,take_attack,0.783,0.811,0.811,23,3,0.717,0.859,0.7879,-0.182,0.4166
3,take_shadow,0.739,0.744,0.757,23,6,0.66,0.828,0.8093,-0.465,0.0293
3,supporter_flag,0.565,0.693,0.694,23,1,0.587,0.792,0.2543,0.095,0.6727
3,energy_attached_flag,0.565,0.661,0.626,23,8,0.457,0.761,0.6655,0.359,0.1006
3,take_rare_candy,0.13,0.152,0.162,23,8,0.065,0.218,1.0,0.377,0.084
3,board_grim_ex_on_board,0.783,0.805,0.81,23,6,0.745,0.87,0.7886,-0.04,0.8594
3,take_gym,0.043,0.167,0.135,23,1,0.059,0.236,0.3505,0.327,0.138
3,gym_ability,0.652,0.766,0.79,23,1,0.694,0.91,0.1223,-0.413,0.0562
3,take_adrena,0.609,0.62,0.665,23,4,0.549,0.785,0.6576,-0.532,0.0107
3,take_boss,0.043,0.114,0.124,23,1,0.062,0.222,0.3478,-0.086,0.7021
3,take_poffin,0.217,0.128,0.12,23,22,0.037,0.243,0.1857,0.315,0.1531
3,take_stamp,0.174,0.161,0.154,23,17,0.103,0.218,0.7712,-0.179,0.4254
3,retreat_flag,0.261,0.224,0.193,23,22,0.105,0.333,0.4249,0.397,0.0674
3,take_froslass_evolve,0.13,0.118,0.125,23,15,0.094,0.222,1.0,-0.304,0.1692
3,take_petrel,0.261,0.222,0.231,23,17,0.148,0.354,0.8032,-0.212,0.3442
3,take_lillie,0.043,0.285,0.274,23,1,0.147,0.353,0.009,0.444,0.0385
3,take_dawn,0.217,0.071,0.065,23,23,0.0,0.111,0.0153,0.276,0.2144
3,take_bench,0.391,0.533,0.529,23,1,0.396,0.656,0.2117,-0.054,0.8126
3,idle,0.0,0.0,0.003,23,1,0.0,0.029,1.0,-0.602,0.0031
3,board_energy_in_play,4.261,4.935,4.858,23,4,3.597,6.043,0.0952,-0.352,0.1084
3,board_bench,4.304,4.258,4.315,23,12,4.008,4.741,0.9467,-0.47,0.0272
3,board_deck_left,29.261,27.159,27.658,23,23,25.926,29.254,0.1985,0.098,0.6654
3,board_hand,4.391,5.035,4.969,23,1,4.392,5.704,0.1951,-0.224,0.3159
3,main_decisions,6.217,7.376,7.394,23,1,6.807,7.938,0.0161,-0.018,0.9384
3,board_prize_left,5.304,5.116,5.058,23,23,4.75,5.304,0.1676,0.47,0.0272
4,take_attack,0.957,0.839,0.842,23,23,0.791,0.926,0.241,-0.063,0.7815
4,take_shadow,0.87,0.779,0.789,23,22,0.716,0.889,0.447,-0.094,0.6762
4,supporter_flag,0.565,0.647,0.657,23,2,0.545,0.741,0.3812,-0.225,0.3145
4,energy_attached_flag,0.696,0.578,0.552,23,23,0.375,0.694,0.2076,0.356,0.1036
4,take_rare_candy,0.043,0.078,0.096,23,3,0.031,0.149,0.718,-0.204,0.3614
4,board_grim_ex_on_board,0.913,0.849,0.847,23,22,0.75,0.935,0.5617,0.268,0.2284
4,take_gym,0.043,0.131,0.106,23,2,0.037,0.191,0.5029,0.527,0.0118
4,gym_ability,0.652,0.705,0.777,23,4,0.597,0.855,0.2046,-0.397,0.0674
4,take_adrena,0.826,0.721,0.772,23,20,0.657,0.963,0.8022,-0.409,0.0585
4,take_boss,0.087,0.114,0.128,23,4,0.061,0.188,0.7587,0.018,0.9364
4,take_poffin,0.13,0.131,0.122,23,15,0.042,0.243,0.7544,0.495,0.0191
4,take_stamp,0.13,0.155,0.16,23,5,0.062,0.235,1.0,-0.28,0.2078
4,retreat_flag,0.304,0.211,0.206,23,22,0.138,0.326,0.2968,0.318,0.1489
4,take_froslass_evolve,0.087,0.098,0.085,23,13,0.047,0.13,1.0,-0.011,0.9602
4,take_petrel,0.304,0.271,0.27,23,18,0.174,0.311,0.8134,-0.237,0.2888
4,take_lillie,0.13,0.213,0.211,23,2,0.125,0.333,0.447,-0.053,0.8164
4,take_dawn,0.043,0.05,0.048,23,12,0.0,0.111,1.0,0.185,0.4091
4,take_bench,0.391,0.47,0.466,23,3,0.356,0.583,0.533,-0.09,0.6892
