active_ready_grim,attack_ids,attack_option_idx,bench_play_idx,candy_idx,context,draw_engine_idx,end_idx,episode_id,grim_evolve_idx,kinds,max_count,min_count,n_options,opp_prizes_left,opponent_family,our_bench,our_bodies,our_deck,own_turn,picked,picked_kinds,ready_grim,shadow_prizes_now,step,turn,version,went_first,won
False,[],[],[],[],41,[],[],91793871,[],"[""flag"", ""flag""]",1,1,2,0,Kangaskhan / Crustle,0,0,60,0,[0],"[""flag""]",False,0,1,0,v15,True,False
False,[],[],"[0, 1]",[],1,[],[],91793871,[],"[""select"", ""select""]",1,1,2,0,Kangaskhan / Crustle,0,0,53,0,[0],"[""select""]",False,0,2,0,v15,True,False
False,[],[],[],[],38,[],[],91793871,[],"[""number"", ""number""]",1,1,2,6,Kangaskhan / Crustle,0,0,47,0,[1],"[""number""]",False,0,4,0,v15,True,False
False,[],[],[0],[],2,[],[],91793871,[],"[""select""]",1,0,1,6,Kangaskhan / Crustle,0,0,46,0,[0],"[""select""]",False,0,5,0,v15,True,False
False,[],[],[2],[],0,[],[3],91793871,[],"[""energy"", ""energy"", ""bench"", ""end""]",1,1,4,6,Kangaskhan / Crustle,1,2,45,1,[2],"[""bench""]",False,1,6,1,v15,True,False
False,[],[],[],[],0,[],[3],91793871,[],"[""energy"", ""energy"", ""energy"", ""end""]",1,1,4,6,Kangaskhan / Crustle,2,3,45,1,[2],"[""energy""]",False,1,7,1,v15,True,False
False,[],[],[],[],0,[],[0],91793871,[],"[""end""]",1,1,1,6,Kangaskhan / Crustle,2,3,45,1,[0],"[""end""]",False,1,8,1,v15,True,False
False,[],[],[],[],8,[],[],91793871,[],"[""select"", ""select"", ""select"", ""select"", ""select""]",2,2,5,6,Kangaskhan / Crustle,2,3,45,1,"[1, 4]","[""select"", ""select""]",False,1,14,2,v15,True,False
False,[],[],[],[],0,[],[4],91793871,[],"[""boss"", ""energy"", ""energy"", ""energy"", ""end""]",1,1,5,6,Kangaskhan / Crustle,2,3,44,2,[1],"[""energy""]",False,0,18,3,v15,True,False
False,"[934, 935]","[1, 2]",[],[],0,[],[4],91793871,[],"[""boss"", ""attack"", ""attack"", ""retreat"", ""end""]",1,1,5,6,Kangaskhan / Crustle,2,3,44,2,[1],"[""attack""]",False,0,19,3,v15,True,False
False,"[934, 935]","[3, 4]",[1],[],0,[],[6],91793871,[],"[""boss"", ""bench"", ""stadium"", ""attack"", ""attack"", ""retreat"", ""end""]",1,1,7,6,Kangaskhan / Crustle,2,3,42,3,[1],"[""bench""]",False,0,25,5,v15,True,False
False,"[934, 935]","[2, 3]",[],[],0,[],[5],91793871,[],"[""boss"", ""stadium"", ""attack"", ""attack"", ""retreat"", ""end""]",1,1,6,6,Kangaskhan / Crustle,3,4,42,3,[1],"[""stadium""]",False,0,26,5,v15,True,False
False,"[934, 935]","[2, 3]",[],[],0,[],[5],91793871,[],"[""boss"", ""ability"", ""attack"", ""attack"", ""retreat"", ""end""]",1,1,6,6,Kangaskhan / Crustle,3,4,42,3,[1],"[""ability""]",False,0,27,5,v15,True,False
False,[],[],"[5, 6]",[],7,[],[],91793871,[],"[""select"", ""select"", ""select"", ""select"", ""select"", ""select"", ""select""]",1,0,7,6,Kangaskhan / Crustle,3,4,42,3,[2],"[""select""]",False,0,28,5,v15,True,False
False,"[934, 935]","[3, 4]",[],[],0,[],[6],91793871,[],"[""boss"", ""evolve"", ""evolve"", ""attack"", ""attack"", ""retreat"", ""end""]",1,1,7,6,Kangaskhan / Crustle,3,4,41,3,[2],"[""evolve""]",False,0,29,5,v15,True,False
False,"[934, 935]","[1, 2]",[],[],0,[],[4],91793871,[],"[""boss"", ""attack"", ""attack"", ""retreat"", ""end""]",1,1,5,6,Kangaskhan / Crustle,3,4,41,3,[1],"[""attack""]",False,0,30,5,v15,True,False
False,[],[],"[1, 2]",[],4,[],[],91793871,[],"[""select"", ""select"", ""select""]",1,1,3,5,Kangaskhan / Crustle,3,3,40,3,[0],"[""select""]",False,0,34,6,v15,True,False
False,[],[],[2],[],0,[3],[5],91793871,[0],"[""evolve"", ""boss"", ""bench"", ""item"", ""ability"", ""end""]",1,1,6,5,Kangaskhan / Crustle,2,3,39,4,[3],"[""item""]",False,0,35,7,v15,True,False
False,[],[],"[0, 1, 2]",[],5,[],[],91793871,[],"[""select"", ""select"", ""select""]",2,0,3,5,Kangaskhan / Crustle,2,3,39,4,"[1, 0]","[""select"", ""select""]",False,0,36,7,v15,True,False
False,[],[],[2],[],0,[],[4],91793871,[0],"[""evolve"", ""boss"", ""bench"", ""ability"", ""end""]",1,1,5,5,Kangaskhan / Crustle,4,5,37,4,[3],"[""ability""]",False,0,37,7,v15,True,False
False,[],[],[],[],7,[],[],91793871,[],"[""select"", ""select"", ""select"", ""select""]",1,0,4,5,Kangaskhan / Crustle,4,5,37,4,[2],"[""select""]",False,0,38,7,v15,True,False
False,[],[],[2],[],0,[],[3],91793871,[0],"[""evolve"", ""boss"", ""bench"", ""end""]",1,1,4,5,Kangaskhan / Crustle,4,5,36,4,[2],"[""bench""]",False,0,39,7,v15,True,False
False,[],[],[],[],0,[],[2],91793871,[0],"[""evolve"", ""boss"", ""end""]",1,1,3,5,Kangaskhan / Crustle,5,6,36,4,[0],"[""evolve""]",False,0,40,7,v15,True,False
False,[],[],[],[],43,[],[],91793871,[],"[""flag"", ""flag""]",1,1,2,5,Kangaskhan / Crustle,5,6,36,4,[0],"[""flag""]",False,0,41,7,v15,True,False
