attack_ledger,contexts,create_time,episode_id,first_attack_turn,first_ready_turn,first_shadow_turn,is_first_choice,is_first_offered,log_turns,min_overage,opening_basics,opening_dark_energy,opening_grim_ex,opening_hand,opening_impidimp,opening_morgrem,opening_rare_candy,opp_attacks,opp_bodies_left,opp_damage,opp_deck_left,opp_first_attack_turn,opp_grim_ko,opp_kos,opp_max_attack_damage,opp_mulligans,opp_one_shot_kos,opp_prize_left,opponent_family,opponent_hash,opponent_rating,opponent_submission,our_active_steps,our_attacks,our_bodies_left,our_damage,our_deck_left,our_draws,our_empty_actions,our_grim_ko,our_grim_one_shot,our_hand_left,our_ko_ledger,our_kos,our_max_attack_damage,our_mulligans,our_one_shot_kos,our_prize_left,our_rating,our_small_ko,our_turns,our_zero_damage_attacks,seat,statuses,turns,version,went_first,won
"[{""t"": 5, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 210, ""ko"": 1, ""os"": 1}, {""t"": 6, ""by"": ""opp"", ""atk"": 937, ""card"": 648, ""dmg"": 210, ""ko"": 0, ""os"": 0}, {""t"": 7, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 240, ""ko"": 0, ""os"": 0}, {""t"": 8, ""by"": ""opp"", ""atk"": 937, ""card"": 648, ""dmg"": 230, ""ko"": 1, ""os"": 0}, {""t"": 9, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 240, ""ko"": 0, ""os"": 0}, {""t"": 10, ""by"": ""opp"", ""atk"": 937, ""card"": 648, ""dmg"": 240, ""ko"": 2, ""os"": 0}, {""t"": 11, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 240, ""ko"": 1, ""os"": 0}, {""t"": 13, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 210, ""ko"": 1, ""os"": 0}]","{""0"": 48, ""1"": 1, ""3"": 3, ""4"": 1, ""5"": 2, ""7"": 16, ""13"": 3, ""15"": 5, ""16"": 3, ""21"": 7, ""22"": 2, ""30"": 3, ""37"": 1, ""40"": 3, ""41"": 1, ""43"": 3}",2026-08-10T10:50:53.650257100Z,91625099,5,5,5,0,True,13,584.4062639999996,1,1,1,647|1219|648|112|1182|1182|7,0,1,0,3,5,680,24,6,2,4,240,0,0,1,Grimmsnarl (mirror),9714ab5c3996f6cc,,55404196,102,5,5,1140,13,33,0,1,0,6,"[{""t"": 8, ""c"": 112, ""os"": false}, {""t"": 10, ""c"": 648, ""os"": false}, {""t"": 10, ""c"": 112, ""os"": false}, {""t"": 12, ""c"": 112, ""os"": false}]",4,240,0,1,2,,3,7,0,0,DONE|DONE,13,v15,True,True
"[{""t"": 9, ""by"": ""opp"", ""atk"": 422, ""card"": 304, ""dmg"": 240, ""ko"": 1, ""os"": 0}, {""t"": 10, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 390, ""ko"": 1, ""os"": 1}, {""t"": 11, ""by"": ""opp"", ""atk"": 433, ""card"": 311, ""dmg"": 180, ""ko"": 0, ""os"": 0}, {""t"": 12, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 210, ""ko"": 1, ""os"": 1}, {""t"": 14, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 210, ""ko"": 2, ""os"": 2}]","{""0"": 40, ""1"": 1, ""4"": 1, ""5"": 1, ""7"": 11, ""13"": 9, ""15"": 3, ""16"": 9, ""21"": 4, ""22"": 1, ""27"": 1, ""40"": 9, ""43"": 1}",2026-08-10T10:52:09.480866200Z,91625197,10,10,10,,False,14,589.0638059999999,1,0,1,1137|104|648|112|1227|1259|1259,0,0,0,2,0,420,25,9,0,1,240,1,0,5,other: Hop's Trevenant,986c89d6bbe428f2,706.986,54014801,91,3,6,810,21,40,0,0,0,10,"[{""t"": 9, ""c"": 112, ""os"": false}]",7,390,1,4,1,600.0,1,7,0,1,DONE|DONE,14,v15,False,True
"[{""t"": 2, ""by"": ""opp"", ""atk"": 981, ""card"": 677, ""dmg"": 0, ""ko"": 0, ""os"": 0}, {""t"": 4, ""by"": ""opp"", ""atk"": 983, ""card"": 678, ""dmg"": 240, ""ko"": 1, ""os"": 1}, {""t"": 5, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 210, ""ko"": 0, ""os"": 0}, {""t"": 6, ""by"": ""opp"", ""atk"": 982, ""card"": 678, ""dmg"": 130, ""ko"": 0, ""os"": 0}, {""t"": 7, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 210, ""ko"": 1, ""os"": 0}, {""t"": 8, ""by"": ""opp"", ""atk"": 982, ""card"": 678, ""dmg"": 190, ""ko"": 0, ""os"": 0}, {""t"": 9, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 210, ""ko"": 0, ""os"": 0}, {""t"": 10, ""by"": ""opp"", ""atk"": 983, ""card"": 678, ""dmg"": 300, ""ko"": 0, ""os"": 0}, {""t"": 11, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 210, ""ko"": 1, ""os"": 0}]","{""0"": 43, ""1"": 1, ""3"": 1, ""4"": 1, ""5"": 1, ""7"": 15, ""13"": 6, ""15"": 4, ""16"": 6, ""21"": 5, ""22"": 2, ""30"": 2, ""37"": 1, ""40"": 6, ""41"": 1, ""43"": 2}",2026-08-10T10:56:07.512880800Z,91626105,5,5,5,0,True,11,586.6720519999998,1,0,1,112|1227|1080|648|1259|1097|647,0,1,0,5,3,860,10,2,0,1,300,0,1,5,Mega Lucario,c3c16f0e65487ad6,742.8029,54967117,97,4,6,840,18,34,0,0,0,10,"[{""t"": 4, ""c"": 112, ""os"": true}]",4,210,0,0,1,742.2604,1,6,0,0,DONE|DONE,11,v15,True,True
"[{""t"": 6, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 220, ""ko"": 1, ""os"": 0}, {""t"": 7, ""by"": ""opp"", ""atk"": 1070, ""card"": 741, ""dmg"": 30, ""ko"": 0, ""os"": 0}, {""t"": 8, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 400, ""ko"": 1, ""os"": 1}, {""t"": 9, ""by"": ""opp"", ""atk"": 1072, ""card"": 743, ""dmg"": 310, ""ko"": 1, ""os"": 0}, {""t"": 10, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 390, ""ko"": 2, ""os"": 0}]","{""0"": 28, ""1"": 1, ""3"": 1, ""4"": 1, ""5"": 2, ""7"": 12, ""13"": 3, ""15"": 3, ""16"": 3, ""21"": 6, ""22"": 2, ""30"": 1, ""37"": 1, ""40"": 3, ""43"": 2}",2026-08-10T11:00:07.290827300Z,91627018,6,4,6,,False,10,590.029372,1,0,0,1152|1219|1122|1097|860|1079|1086,0,0,1,2,1,340,37,7,0,1,310,0,0,4,Alakazam,e452d606e1029229,771.2699,55304615,69,3,4,1010,26,25,0,1,0,6,"[{""t"": 9, ""c"": 648, ""os"": false}]",5,400,0,1,1,838.7802,0,5,0,1,DONE|DONE,10,v15,False,True
"[{""t"": 2, ""by"": ""opp"", ""atk"": 478, ""card"": 344, ""dmg"": 0, ""ko"": 0, ""os"": 0}, {""t"": 3, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 40, ""ko"": 0, ""os"": 0}, {""t"": 5, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 50, ""ko"": 0, ""os"": 0}, {""t"": 6, ""by"": ""opp"", ""atk"": 479, ""card"": 345, ""dmg"": 260, ""ko"": 0, ""os"": 0}, {""t"": 7, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 230, ""ko"": 2, ""os"": 2}, {""t"": 8, ""by"": ""opp"", ""atk"": 479, ""card"": 345, ""dmg"": 250, ""ko"": 1, ""os"": 0}, {""t"": 9, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 40, ""ko"": 0, ""os"": 0}, {""t"": 10, ""by"": ""opp"", ""atk"": 479, ""card"": 345, ""dmg"": 300, ""ko"": 0, ""os"": 0}, {""t"": 11, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 40, ""ko"": 0, ""os"": 0}, {""t"": 12, ""by"": ""opp"", ""atk"": 479, ""card"": 345, ""dmg"": 280, ""ko"": 1, ""os"": 0}]","{""0"": 39, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 2, ""5"": 2, ""7"": 13, ""13"": 4, ""15"": 5, ""16"": 4, ""21"": 7, ""22"": 2, ""27"": 1, ""34"": 2, ""37"": 2, ""38"": 1, ""40"": 4, ""41"": 1, ""43"": 3}",2026-08-10T11:04:07.253495300Z,91627968,3,3,3,0,True,13,586.2836629999995,2,0,1,1182|860|646|648|1097|1086|1086,1,0,0,5,0,1090,35,2,0,2,300,4,0,2,Kangaskhan / Crustle,6977b2047b1f620e,722.2697,53781769,95,5,6,400,11,38,0,2,0,7,"[{""t"": 8, ""c"": 648, ""os"": false}, {""t"": 12, ""c"": 648, ""os"": false}]",4,230,0,2,3,907.1745,0,7,0,0,DONE|DONE,13,v15,True,True
"[{""t"": 5, ""by"": ""opp"", ""atk"": 1072, ""card"": 743, ""dmg"": 160, ""ko"": 1, ""os"": 1}, {""t"": 6, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 390, ""ko"": 1, ""os"": 1}, {""t"": 7, ""by"": ""opp"", ""atk"": 1072, ""card"": 743, ""dmg"": 320, ""ko"": 1, ""os"": 1}, {""t"": 8, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 390, ""ko"": 1, ""os"": 1}, {""t"": 9, ""by"": ""opp"", ""atk"": 1072, ""card"": 743, ""dmg"": 320, ""ko"": 1, ""os"": 1}, {""t"": 11, ""by"": ""opp"", ""atk"": 1072, ""card"": 743, ""dmg"": 340, ""ko"": 1, ""os"": 1}]","{""0"": 31, ""1"": 1, ""3"": 2, ""4"": 3, ""5"": 1, ""7"": 10, ""15"": 2, ""21"": 5, ""22"": 2, ""30"": 1, ""43"": 2}",2026-08-10T11:08:07.318686500Z,91628892,6,6,6,,False,11,589.4884730000001,1,0,0,1182|1219|1219|1227|646|647|1079,1,1,1,4,6,1140,15,5,0,4,340,0,4,1,Alakazam,3eab55e0c01eea42,878.2113,55392982,60,2,5,780,26,20,0,2,2,2,"[{""t"": 5, ""c"": 646, ""os"": true}, {""t"": 7, ""c"": 648, ""os"": true}, {""t"": 9, ""c"": 648, ""os"": true}, {""t"": 11, ""c"": 646, ""os"": true}]",2,390,0,2,4,944.6486,2,5,0,1,DONE|DONE,11,v15,False,False
"[{""t"": 4, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 230, ""ko"": 1, ""os"": 1}, {""t"": 6, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 230, ""ko"": 1, ""os"": 0}, {""t"": 8, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 400, ""ko"": 1, ""os"": 0}, {""t"": 10, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 390, ""ko"": 1, ""os"": 0}]","{""0"": 34, ""1"": 1, ""3"": 1, ""5"": 2, ""7"": 12, ""13"": 4, ""15"": 4, ""16"": 4, ""21"": 4, ""22"": 1, ""30"": 1, ""37"": 1, ""38"": 1, ""40"": 4, ""43"": 1}",2026-08-10T11:12:09.441527400Z,91629835,4,4,4,,False,10,588.0730060000001,1,1,0,1079|647|112|1152|7|1086|1219,0,1,1,0,1,0,34,,0,0,0,2,0,6,other: Team Rocket's Mewtwo ex,ce875d482eaa7ade,847.5058,55403813,75,4,6,1250,20,24,0,0,0,12,[],5,400,0,1,1,868.7287,0,5,0,1,DONE|DONE,10,v15,False,True
"[{""t"": 3, ""by"": ""opp"", ""atk"": 934, ""card"": 646, ""dmg"": 0, ""ko"": 0, ""os"": 0}, {""t"": 4, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 210, ""ko"": 1, ""os"": 1}, {""t"": 5, ""by"": ""opp"", ""atk"": 937, ""card"": 648, ""dmg"": 240, ""ko"": 0, ""os"": 0}, {""t"": 6, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 240, ""ko"": 1, ""os"": 0}, {""t"": 7, ""by"": ""opp"", ""atk"": 937, ""card"": 648, ""dmg"": 230, ""ko"": 1, ""os"": 0}, {""t"": 8, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 260, ""ko"": 0, ""os"": 0}, {""t"": 9, ""by"": ""opp"", ""atk"": 937, ""card"": 648, ""dmg"": 230, ""ko"": 1, ""os"": 0}, {""t"": 10, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 250, ""ko"": 1, ""os"": 0}, {""t"": 11, ""by"": ""opp"", ""atk"": 937, ""card"": 648, ""dmg"": 210, ""ko"": 1, ""os"": 0}]","{""0"": 30, ""1"": 1, ""4"": 1, ""7"": 10, ""13"": 3, ""15"": 4, ""16"": 3, ""21"": 6, ""22"": 2, ""37"": 1, ""40"": 3, ""43"": 2}",2026-08-10T11:12:09.925796400Z,91630184,4,4,4,,False,11,589.768884,1,1,1,646|7|1227|1079|1097|648|1259,1,0,1,5,6,910,13,3,1,5,240,0,0,1,Grimmsnarl (mirror),9714ab5c3996f6cc,829.374,55400834,66,4,2,960,27,37,0,2,0,6,"[{""t"": 7, ""c"": 112, ""os"": false}, {""t"": 7, ""c"": 648, ""os"": false}, {""t"": 9, ""c"": 112, ""os"": false}, {""t"": 11, ""c"": 112, ""os"": false}, {""t"": 11, ""c"": 648, ""os"": false}]",3,260,1,1,2,914.8786,3,5,0,1,DONE|DONE,11,v15,False,False
"[{""t"": 2, ""by"": ""opp"", ""atk"": 478, ""card"": 344, ""dmg"": 0, ""ko"": 0, ""os"": 0}, {""t"": 3, ""by"": ""us"", ""atk"": 934, ""card"": 646, ""dmg"": 0, ""ko"": 0, ""os"": 0}, {""t"": 4, ""by"": ""opp"", ""atk"": 478, ""card"": 344, ""dmg"": 0, ""ko"": 0, ""os"": 0}, {""t"": 5, ""by"": ""us"", ""atk"": 934, ""card"": 646, ""dmg"": 0, ""ko"": 0, ""os"": 0}, {""t"": 6, ""by"": ""opp"", ""atk"": 478, ""card"": 344, ""dmg"": 20, ""ko"": 0, ""os"": 0}, {""t"": 7, ""by"": ""us"", ""atk"": 936, ""card"": 647, ""dmg"": 70, ""ko"": 1, ""os"": 0}, {""t"": 8, ""by"": ""opp"", ""atk"": 253, ""card"": 190, ""dmg"": 240, ""ko"": 1, ""os"": 1}, {""t"": 9, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 220, ""ko"": 0, ""os"": 0}, {""t"": 10, ""by"": ""opp"", ""atk"": 224, ""card"": 190, ""dmg"": 310, ""ko"": 0, ""os"": 0}, {""t"": 11, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 220, ""ko"": 1, ""os"": 0}, {""t"": 12, ""by"": ""opp"", ""atk"": 253, ""card"": 190, ""dmg"": 270, ""ko"": 0, ""os"": 0}, {""t"": 13, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 180, ""ko"": 1, ""os"": 0}]","{""0"": 47, ""1"": 1, ""4"": 1, ""5"": 1, ""7"": 13, ""13"": 10, ""15"": 2, ""16"": 10, ""21"": 5, ""22"": 2, ""27"": 1, ""40"": 10, ""43"": 2}",2026-08-10T11:16:07.182324200Z,91630770,3,9,9,,False,13,588.5075890000005,1,2,0,1152|7|1219|647|646|1086|7,1,1,0,6,0,840,16,2,0,1,310,0,1,5,Archaludon,ebd4dbb270dce6a2,830.3647,55283867,105,6,6,690,15,58,0,0,0,9,"[{""t"": 8, ""c"": 647, ""os"": true}]",4,220,3,0,2,857.0486,1,7,2,1,DONE|DONE,13,v15,True,True
"[{""t"": 8, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 240, ""ko"": 1, ""os"": 0}, {""t"": 10, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 390, ""ko"": 2, ""os"": 0}, {""t"": 11, ""by"": ""opp"", ""atk"": 153, ""card"": 121, ""dmg"": 100, ""ko"": 1, ""os"": 1}, {""t"": 12, ""by"": ""us"", ""atk"": 937, ""card"": 648, ""dmg"": 220, ""ko"": 1, ""os"": 0}, {""t"": 13, ""by"": ""opp"", ""atk"": 154, ""card"": 121, ""dmg"": 310, ""ko"": 0, ""os"": 0}]","{""0"": 30, ""1"": 1, ""2"": 1, ""3"": 1, ""4"": 1, ""5"": 2, ""7"": 11, ""13"": 7, ""15"": 3, ""16"": 7, ""21"": 6, ""22"": 2, ""37"": 2, ""40"": 7, ""43"": 2}",2026-08-10T11:20:07.210030700Z,91631698,8,8,8,,False,14,591.2557120000005,2,1,1,112|1086|1086|646|648|7|1152,1,0,0,2,5,410,24,11,0,1,310,0,1,5,Dragapult,a0c137dc41050f92,801.0171,55379450,83,3,6,850,21,25,0,0,0,8,"[{""t"": 11, ""c"": 646, ""os"": true}]",4,390,0,0,2,892.3193,1,7,0,1,DONE|DONE,14,v15,False,True
