label        sub     rep  csvN  repN   W   L  D seatX  rzX  lastUpd
v1      55185513   871.0    61    61  39  22  0     0    0      nan
v2      55205556   967.4    59    59  36  23  0     0    0      nan
v3a     55216787   996.6    96    96  61  35  0     0    0    996.7
v3b     55217233   907.6    94    94  56  38  0     0    0    912.2
v4      55253296  1031.2    52    52  32  20  0     0    0   1031.2
v4.5    55275464   979.1    68    68  47  21  0     0    0    979.2
v5      55275642   963.6    66    66  44  22  0     0    1    963.7
v6      55290882   996.6    55    55  39  16  0     0    0    996.7
v7      55302846   943.3    61    61  39  22  0     0    0    947.1
v8      55317804  1035.8    51    51  28  23  0     0    0   1013.6
v9      55325029     nan    78    78  45  33  0     0    0    994.9
v11a    55346539     nan    45    45  28  17  0     0    0    874.2
v11b    55346548     nan    46    46  27  19  0     0    0    935.8
v11     55353978   950.3    60    60  38  22  0     0    0    950.4
v12a    55373676   914.8    42    42  29  13  0     0    0    914.8
v12b    55374240   894.6    34    34  20  14  0     0    0    894.6
v13a    55380882   942.5    57    57  33  24  0     0    0    938.0
v13b    55380958   964.8    61    61  34  27  0     0    0    964.8
v14     55395386   927.6    43    43  28  15  0     0    0    927.7
v15     55404196  1007.7    63    63  40  23  0     0    0   1007.8
v15b    55409394   862.0    49    49  27  22  0     0    1    862.0
v16     55422280   955.8    46    46  29  17  0     0    0    955.8
v17     55423572   896.8    43    43  27  16  0     0    0    896.8
v18     55428191   779.5    34    34  17  17  0     0    0    779.6
v19a    55428196   978.3    43    43  29  14  0     0    0    978.3
v19b    55445763   904.6    43    43  27  16  0     0    0    904.7
v20     55445769   982.0    47    47  28  19  0     0    0    982.0
v21     55456713   948.2    59    59  36  23  0     0    0    948.2
total episode rows: 1556
