run,label,order,lineage,sub_id,reported_rating,episode_id,seat,won,drew,reward_ours,reward_theirs,our_prize_left,their_prize_left,went_first,opp_sub,opp_initial,our_initial,our_updated,opp_family,opp_deck_hash,end_time
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89516564,0,1,0,1,-1,1,4,True,55185513,,,,Grimmsnarl (mirror),9714ab5c3996f6cc,2026-08-02T12:19:00.375106100Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89516661,0,1,0,1,-1,3,3,True,54764879,,,,Kangaskhan / Crustle,8699caf3aa4618d1,2026-08-02T12:19:42.117632400Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89517206,0,0,0,-1,1,5,1,True,54748170,,,,Mega Lucario,c3c16f0e65487ad6,2026-08-02T12:23:45.320061900Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89517760,1,1,0,1,-1,3,1,False,54105060,,,,Archaludon,1a5a0c5b50e7199e,2026-08-02T12:27:53.514033100Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89518307,1,1,0,1,-1,2,2,False,54879569,,,,Mega Lucario,c3c16f0e65487ad6,2026-08-02T12:31:47.499418Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89518849,0,1,0,1,-1,5,6,True,55180995,,,,Archaludon,2b6a7dd699d2b6a5,2026-08-02T12:35:39.553868300Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89519400,1,1,0,1,-1,2,4,True,55044365,,,,Archaludon,a467dbca5ac96f1c,2026-08-02T12:39:54.214229200Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89519960,1,1,0,1,-1,1,5,False,54995781,,,,Grimmsnarl (mirror),3e960af2606d30d6,2026-08-02T12:43:47.146031100Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89520528,0,1,0,1,-1,6,6,True,54448096,,,,Grimmsnarl (mirror),4517aa8e99e25a30,2026-08-02T12:47:35.672326800Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89521063,1,0,0,-1,1,1,1,False,55169254,,,,Kangaskhan / Crustle,d4334b3a538a85aa,2026-08-02T12:51:47.744779900Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89521619,0,0,0,-1,1,5,2,True,55176295,,,,Kangaskhan / Crustle,4717e5f31ba694d4,2026-08-02T12:55:51.871548800Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89522174,0,1,0,1,-1,2,1,True,55132310,,,,Grimmsnarl (mirror),21c3f20980827cb2,2026-08-02T13:00:04.848319600Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89522720,0,1,0,1,-1,6,6,True,54685330,,,,Alakazam,ba929f1e33b6cc4d,2026-08-02T13:03:48.946272800Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89523283,0,0,0,-1,1,2,2,True,55162581,,,,Grimmsnarl (mirror),9714ab5c3996f6cc,2026-08-02T13:07:58.309119Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89523841,1,1,0,1,-1,2,3,True,53907573,,,,Kangaskhan / Crustle,2e5bbff00abdbec9,2026-08-02T13:11:44.618485800Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89524403,0,1,0,1,-1,2,2,True,54670242,,,,Dragapult,7d40ef8bfb932872,2026-08-02T13:15:47.792792600Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89524948,0,0,0,-1,1,3,1,True,55168999,,,,Grimmsnarl (mirror),9714ab5c3996f6cc,2026-08-02T13:21:44.319857800Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89525502,1,0,0,-1,1,3,2,True,55174462,,,,Alakazam,7fa65817cc79c36c,2026-08-02T13:23:55.800221900Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89526060,0,1,0,1,-1,1,3,True,55110505,,,,Alakazam,cc38cb450b86770a,2026-08-02T13:28:03.444228500Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89526613,1,0,0,-1,1,6,1,False,55175556,,,,Grimmsnarl (mirror),57961e5f51c03eaf,2026-08-02T13:31:50.043465Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89526751,1,1,0,1,-1,1,1,False,55183986,,,,Grimmsnarl (mirror),9714ab5c3996f6cc,2026-08-02T13:31:58.414637700Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89527178,1,0,0,-1,1,1,1,False,54335129,,,,Mega Lucario,603dca472e915d83,2026-08-02T13:35:51.456005100Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89527746,0,0,0,-1,1,2,2,True,55012634,,,,Alakazam,cc38cb450b86770a,2026-08-02T13:39:43.596227700Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89528303,1,1,0,1,-1,1,3,False,55151603,,,,Alakazam,94e933399d1571c9,2026-08-02T13:43:50.816403Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89528771,0,0,0,-1,1,5,1,True,54955872,,,,Kangaskhan / Crustle,1eda048ea3581634,2026-08-02T13:47:48.890575700Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89529423,1,0,0,-1,1,5,1,False,55157437,,,,Alakazam,cc38cb450b86770a,2026-08-02T13:52:44.532497300Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89529979,1,1,0,1,-1,1,1,False,55185315,,,,Mega Lopunny / Froslass,6fa64c0e3b2eb67c,2026-08-02T13:56:05.590701800Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89530543,1,1,0,1,-1,2,3,True,55083365,,,,Dragapult,8055443275c86105,2026-08-02T13:59:51.587562100Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89531109,1,0,0,-1,1,2,1,True,55176669,,,,Alakazam,65980f1c1e35b45d,2026-08-02T14:03:52.570796700Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89531669,1,0,0,-1,1,5,1,False,55015580,,,,Kangaskhan / Crustle,4717e5f31ba694d4,2026-08-02T14:07:48.845586200Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89532229,0,1,0,1,-1,2,6,True,54100541,,,,other: Raging Bolt ex,9f83bcd00ea8097b,2026-08-02T14:11:42.591423200Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89532787,0,0,0,-1,1,6,2,True,54572699,,,,Mega Lucario,c3c16f0e65487ad6,2026-08-02T14:15:53.909916500Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89533350,1,1,0,1,-1,2,2,True,54852961,,,,Archaludon,2b6a7dd699d2b6a5,2026-08-02T14:19:48.906269800Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89533908,1,0,0,-1,1,1,2,False,55186452,,,,Alakazam,cc38cb450b86770a,2026-08-02T14:24:01.227452800Z
20260803_grimmsnarl_ml_v1_sub55185513,v1,1,1,55185513,871.0,89534471,1,1,0,1,-1,1,3,False,54192838,,,,other: Iono’s Bellibolt ex,282504e445a4d4fc,2026-08-02T14:27:55.465207500Z
