version,submission_id,episode_id,create_time,seat,opponent_submission,opponent_rating,our_rating_before,our_rating_after,won,went_first,opponent_family,opponent_deck_hash,exact_mirror,wall_family,turns,our_turns,our_prize_left,opp_prize_left,our_deck_left,opp_deck_left,our_bodies_left,board_out,deck_out,first_ready_turn,first_shadow_turn,first_attack_turn,opp_first_attack_turn,own_first_shadow_turn,own_first_ready_turn,gate_violation,shadow_attacks,attacks,grim_evolutions,rare_candies,adrena_brains,froslass_actions,froslass_true_evolutions,stamps,bosses,lillies,our_decisions,our_multi_pick,our_ends,our_overage_start,our_overage_end,our_overage_used,opp_overage_used,odd_status,steps
v22_a,55479857,92610946,2026-08-13T09:55:37.324188700Z,1,55449636,724.634,600.0,747.9714,1,first,Alakazam,94350ed7ee3a80b1,0,0,5,3,4,6,32,37,6,0,0,3,3,3,,2,2,0,2,2,1,1,1,4,2,1,0,0,41,3,1,600.0,594.0788329999997,5.921,0.733,,63
v22_a,55479857,92611852,2026-08-13T09:59:37.595766500Z,0,54689975,535.031,747.9714,794.9619,1,first,Alakazam,cc38cb450b86770a,0,0,9,5,1,4,21,20,6,0,0,5,5,5,2,3,3,0,3,3,2,1,6,7,2,0,0,2,88,6,2,600.0,589.0130469999998,10.987,1.598,,144
v22_a,55479857,92612806,2026-08-13T10:03:37.786344300Z,1,54955274,603.4732,794.9619,838.5042,1,second,other: Team Rocket's Mewtwo ex,c7f1cd6579e2b0e8,0,0,12,6,1,5,23,27,6,0,0,4,4,4,9,2,2,0,4,4,2,1,2,3,1,2,1,2,73,6,1,600.0,590.9377319999996,9.062,4.631,,131
v22_a,55479857,92613745,2026-08-13T10:07:37.871980700Z,1,54168653,482.7813,838.5042,854.6615,1,second,Archaludon,ee1681b277e66413,0,0,8,4,4,6,29,40,6,0,0,6,6,6,3,3,3,0,1,1,1,0,8,8,1,1,0,1,76,1,2,600.0,590.2180560000003,9.782,0.681,,99
v22_a,55479857,92614685,2026-08-13T10:11:37.841158700Z,1,55452770,722.3764,854.6615,896.9102,1,second,Kangaskhan / Crustle,45fe95772327f96a,0,1,16,8,1,2,10,9,6,0,0,6,6,2,5,3,3,0,5,6,2,2,6,4,2,1,1,3,101,6,2,600.0,586.1161750000002,13.884,19.684,,171
v22_a,55479857,92615639,2026-08-13T10:15:37.327954600Z,1,55479757,955.8469,896.9102,960.2289,1,first,Archaludon,2b6a7dd699d2b6a5,0,0,13,7,2,1,10,13,6,0,0,5,5,5,2,3,3,0,5,5,3,1,10,7,2,2,1,3,129,8,2,600.0,579.4385490000004,20.561,2.4,,200
v22_a,55479857,92616580,2026-08-13T10:19:38.992092700Z,0,54857797,925.4335,960.2289,905.7841,0,first,Alakazam,a665414222aea434,0,0,10,5,4,1,22,8,5,0,0,3,3,3,4,2,2,0,2,4,2,2,2,3,2,0,0,1,75,2,1,600.0,586.259609,13.74,173.52,,132
v22_a,55479857,92617522,2026-08-13T10:23:40.805602300Z,1,55380932,728.6774,905.7841,926.5846,1,first,Alakazam,7fa65817cc79c36c,0,0,13,7,1,4,17,24,4,0,0,5,5,5,4,3,3,0,5,5,1,1,1,4,1,1,0,2,66,4,2,600.0,591.5129360000002,8.487,9.506,,145
v22_a,55479857,92618462,2026-08-13T10:27:37.771280Z,0,55459789,427.9847,926.5846,928.9212,1,first,Dragapult,f2cc4d01d1fab859,0,0,13,7,1,5,21,35,6,0,0,5,5,5,2,3,3,0,4,4,2,1,8,0,0,2,1,2,98,3,2,600.0,587.4388270000003,12.561,8.023,,151
v22_a,55479857,92619385,2026-08-13T10:31:37.553782900Z,1,55458998,795.2256,928.9212,873.7258,0,second,Grimmsnarl (mirror),9714ab5c3996f6cc,1,0,11,5,5,1,23,23,5,0,0,6,6,6,5,3,3,0,2,3,1,0,2,1,1,0,1,1,63,2,2,600.0,588.3156800000004,11.684,4.622,,167
