matchup,game,seat0,seat1,winner,result,error_agent,error_type,illegal_agent,elapsed_ms,moves_seat0,moves_seat1,time_seat0_ms,time_seat1_ms
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,1,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,5904.069399985019,100,149,2348.8204996683635,3430.0936996005476
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,2,.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,5274.743299989495,71,116,1804.908099991735,3375.1685999450274
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,3,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,6961.342299997341,125,124,3705.581900489051,3120.710400340613
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,4,.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,5445.528899959754,94,117,1998.2048996607773,3337.162999960128
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,5,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,5929.7404999961145,84,132,2208.526999806054,3602.4132997263223
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,6,.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,4310.963700001594,75,105,1393.1671002064832,2823.373400082346
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,7,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,5181.561900011729,110,107,2813.9738999307156,2256.820200069342
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,8,.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,6695.826000010129,120,121,3106.2169001088478,3460.095700342208
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,9,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,4528.650899999775,89,105,2264.0212001278996,2178.023600252345
.\agents\grimmsnarl\grimmsnarl_ml_v2__vs__.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,10,.\experiments\grimmsnarl_ml_v2\baseline_agent_tmp\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v2,.\agents\grimmsnarl\grimmsnarl_ml_v2,win,,,,8866.885000024922,159,179,4044.766000006348,4651.081099989824
