"episode_id","version","opponent_family"
"92651224","v22_public","v22 public ladder"
"92648514","v22_public","v22 public ladder"
"92647581","v22_public","v22 public ladder"
"92647393","v22_public","v22 public ladder"
"92645759","v22_public","v22 public ladder"
"92646648","v22_public","v22 public ladder"
"92643843","v22_public","v22 public ladder"
"92644773","v22_public","v22 public ladder"
"92642829","v22_public","v22 public ladder"
"92641973","v22_public","v22 public ladder"
"92641024","v22_public","v22 public ladder"
"92640083","v22_public","v22 public ladder"
"92638214","v22_public","v22 public ladder"
"92639143","v22_public","v22 public ladder"
"92637253","v22_public","v22 public ladder"
"92635367","v22_public","v22 public ladder"
"92636318","v22_public","v22 public ladder"
"92635387","v22_public","v22 public ladder"
"92634432","v22_public","v22 public ladder"
"92633524","v22_public","v22 public ladder"
"92632577","v22_public","v22 public ladder"
"92631643","v22_public","v22 public ladder"
"92630690","v22_public","v22 public ladder"
"92629750","v22_public","v22 public ladder"
"92628804","v22_public","v22 public ladder"
"92627855","v22_public","v22 public ladder"
"92626895","v22_public","v22 public ladder"
"92626016","v22_public","v22 public ladder"
"92625043","v22_public","v22 public ladder"
"92624094","v22_public","v22 public ladder"
"92623138","v22_public","v22 public ladder"
"92622204","v22_public","v22 public ladder"
"92621271","v22_public","v22 public ladder"
"92620337","v22_public","v22 public ladder"
"92619385","v22_public","v22 public ladder"
"92618462","v22_public","v22 public ladder"
"92617522","v22_public","v22 public ladder"
"92616580","v22_public","v22 public ladder"
"92615639","v22_public","v22 public ladder"
"92614685","v22_public","v22 public ladder"
"92613745","v22_public","v22 public ladder"
"92612806","v22_public","v22 public ladder"
"92611852","v22_public","v22 public ladder"
"92610946","v22_public","v22 public ladder"
