episodes=18 team=16494330

all-context agreement: 0.912 (n=1420)
context     min  max       n    agree
MAIN          1    1     758   0.8905
ctx7/a1       0    1     131   0.8855
ctx13/amix    1    1      92   0.9348
ctx21/amix    1    1      82   0.9756
ctx15/a5      1    1      54   0.9815
ctx16/amix    1    1      48   0.9375
ctx43/a-      1    1      44   1.0000
ctx7/a6       1    1      41   1.0000
ctx4/a5       1    1      34   1.0000
ctx7/a3       1    1      30   0.8333
ctx3/a5       1    1      26   0.9615
ctx21/a5      1    1      20   1.0000
ctx7/a6       2    2      14   0.8571
ctx37/a2      1    1      11   1.0000
ctx5/a1       0    2      10   0.6000
ctx41/a-      1    1       8   1.0000
ctx7/a12      0    1       8   0.7500
ctx1/a2       1    1       6   1.0000
ctx7/a6       3    3       2   0.5000
ctx2/a2       0    3       1   1.0000
