leaderboard_rank,team_id,team_name,submission_id,submission_score,leaderboard_submission_id,episode_id,episode_state,episode_type,created_at,ended_at,seat_index,opponent_submission_id,opponent_team_name,agent_0_submission_id,agent_1_submission_id,deck_hash,matched_deck_card_ids,replay_path,log_paths,download_status,error,downloaded_at
36,16462035,Azat Akhtyamov,55016893,1064.7,55016893,88879691,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-29T22:49:26.562000800Z,2026-07-29T22:50:57.633147700Z,1,54773249,Yushin Ito,54773249,55016893,9714ab5c3996f6cc,648,replays\episode_88879691.json,logs\88879691\agent_0_observation_logs.json;logs\88879691\agent_1_observation_logs.json,success,,2026-08-02T06:29:53.601823Z
36,16462035,Azat Akhtyamov,55016893,1064.7,55016893,88879749,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-29T22:49:26.652833700Z,2026-07-29T22:50:24.988795900Z,1,54985825,miya,54985825,55016893,9714ab5c3996f6cc,648,replays\episode_88879749.json,logs\88879749\agent_0_observation_logs.json;logs\88879749\agent_1_observation_logs.json,success,,2026-08-02T06:30:00.322589Z
36,16462035,Azat Akhtyamov,55016893,1064.7,55016893,88880170,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-29T22:53:25.316783800Z,2026-07-29T22:54:20.631696900Z,0,55093066,Jonathan Donham,55016893,55093066,9714ab5c3996f6cc,648,replays\episode_88880170.json,logs\88880170\agent_0_observation_logs.json;logs\88880170\agent_1_observation_logs.json,success,,2026-08-02T06:30:08.494508Z
36,16462035,Azat Akhtyamov,55016893,1064.7,55016893,88880623,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-29T22:57:25.670140700Z,2026-07-29T22:58:24.146926100Z,0,55082176,Brahim,55016893,55082176,9714ab5c3996f6cc,648,replays\episode_88880623.json,logs\88880623\agent_0_observation_logs.json;logs\88880623\agent_1_observation_logs.json,success,,2026-08-02T06:30:14.077605Z
36,16462035,Azat Akhtyamov,55016893,1064.7,55016893,88881116,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-29T23:01:25.467995300Z,2026-07-29T23:02:53.160981800Z,0,55073198,Raihan Ramadistra,55016893,55073198,9714ab5c3996f6cc,648,replays\episode_88881116.json,logs\88881116\agent_0_observation_logs.json;logs\88881116\agent_1_observation_logs.json,success,,2026-08-02T06:30:22.719754Z
36,16462035,Azat Akhtyamov,55016893,1064.7,55016893,88881575,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-29T23:05:25.365514200Z,2026-07-29T23:06:13.350234700Z,1,55062390,Oshbocker,55062390,55016893,9714ab5c3996f6cc,648,replays\episode_88881575.json,logs\88881575\agent_0_observation_logs.json;logs\88881575\agent_1_observation_logs.json,success,,2026-08-02T06:30:30.505238Z
36,16462035,Azat Akhtyamov,55016893,1064.7,55016893,88881994,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-29T23:09:26.927450700Z,2026-07-29T23:13:26.875966600Z,0,55064236,insuperabilehart,55016893,55064236,9714ab5c3996f6cc,648,replays\episode_88881994.json,logs\88881994\agent_0_observation_logs.json;logs\88881994\agent_1_observation_logs.json,success,,2026-08-02T06:30:35.599993Z
36,16462035,Azat Akhtyamov,55016893,1064.7,55016893,88882058,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-29T23:09:27.024085100Z,2026-07-29T23:10:43.633911300Z,1,54977294,Pokemon Siuuuu,54977294,55016893,9714ab5c3996f6cc,648,replays\episode_88882058.json,logs\88882058\agent_0_observation_logs.json;logs\88882058\agent_1_observation_logs.json,success,,2026-08-02T06:30:43.805559Z
36,16462035,Azat Akhtyamov,55016893,1064.7,55016893,88882478,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-29T23:13:30.812905200Z,2026-07-29T23:14:46.725897700Z,0,55001357,Dominic Peel,55016893,55001357,9714ab5c3996f6cc,648,replays\episode_88882478.json,logs\88882478\agent_0_observation_logs.json;logs\88882478\agent_1_observation_logs.json,success,,2026-08-02T06:30:51.856809Z
36,16462035,Azat Akhtyamov,55016893,1064.7,55016893,88882566,COMPLETED,EPISODE_TYPE_PUBLIC,2026-07-29T23:13:30.919978100Z,2026-07-29T23:14:55.169387800Z,0,55091788,LumenLiquidity,55016893,55091788,9714ab5c3996f6cc,648,replays\episode_88882566.json,logs\88882566\agent_0_observation_logs.json;logs\88882566\agent_1_observation_logs.json,success,,2026-08-02T06:31:01.029990Z
