leaderboard_rank,team_id,team_name,submission_id,submission_score,leaderboard_submission_id,episode_id,episode_state,episode_type,created_at,ended_at,seat_index,opponent_submission_id,opponent_team_name,agent_0_submission_id,agent_1_submission_id,deck_hash,matched_deck_card_ids,replay_path,log_paths,download_status,error,downloaded_at
11,16561259,@kdcyberdude,55187358,1116.3,55187358,89535382,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-02T14:35:09.928296600Z,2026-08-02T14:46:33.496094100Z,0,55176220,Abhyuday,55187358,55176220,9714ab5c3996f6cc,648,replays\episode_89535382.json,logs\89535382\agent_0_observation_logs.json;logs\89535382\agent_1_observation_logs.json,skipped_existing,,2026-08-06T09:52:00.350980Z
11,16561259,@kdcyberdude,55187358,1116.3,55187358,89535945,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-02T14:39:07.824238800Z,2026-08-02T14:41:09.584372400Z,1,54931686,takuei,54931686,55187358,9714ab5c3996f6cc,648,replays\episode_89535945.json,logs\89535945\agent_0_observation_logs.json;logs\89535945\agent_1_observation_logs.json,skipped_existing,,2026-08-06T09:52:00.464072Z
11,16561259,@kdcyberdude,55187358,1116.3,55187358,89536485,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-02T14:43:07.709848800Z,2026-08-02T14:45:16.449024800Z,1,54866812,Ghleii,54866812,55187358,9714ab5c3996f6cc,648,replays\episode_89536485.json,logs\89536485\agent_0_observation_logs.json;logs\89536485\agent_1_observation_logs.json,skipped_existing,,2026-08-06T09:52:00.761618Z
11,16561259,@kdcyberdude,55187358,1116.3,55187358,89537062,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-02T14:47:07.827614600Z,2026-08-02T14:55:02.524775Z,1,55170635,Skibidi Six Seven,55170635,55187358,9714ab5c3996f6cc,648,replays\episode_89537062.json,logs\89537062\agent_0_observation_logs.json;logs\89537062\agent_1_observation_logs.json,skipped_existing,,2026-08-06T09:52:01.261549Z
11,16561259,@kdcyberdude,55187358,1116.3,55187358,89537624,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-02T14:51:07.933378Z,2026-08-02T14:53:13.634871Z,0,55090251,pztriatomic,55187358,55090251,9714ab5c3996f6cc,648,replays\episode_89537624.json,logs\89537624\agent_0_observation_logs.json;logs\89537624\agent_1_observation_logs.json,skipped_existing,,2026-08-06T09:52:01.946135Z
11,16561259,@kdcyberdude,55187358,1116.3,55187358,89537650,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-02T14:51:07.964476300Z,2026-08-02T14:54:22.938140700Z,1,55187392,Kaikaku,55187392,55187358,9714ab5c3996f6cc,648,replays\episode_89537650.json,logs\89537650\agent_0_observation_logs.json;logs\89537650\agent_1_observation_logs.json,skipped_existing,,2026-08-06T09:52:02.791652Z
11,16561259,@kdcyberdude,55187358,1116.3,55187358,89538196,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-02T14:55:12.520997500Z,2026-08-02T14:58:17.132036200Z,1,55126410,qb,55126410,55187358,9714ab5c3996f6cc,648,replays\episode_89538196.json,logs\89538196\agent_0_observation_logs.json;logs\89538196\agent_1_observation_logs.json,skipped_existing,,2026-08-06T09:52:03.158753Z
11,16561259,@kdcyberdude,55187358,1116.3,55187358,89538743,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-02T14:59:08.248780300Z,2026-08-02T15:01:11.292878Z,0,55167237,pikachu,55187358,55167237,9714ab5c3996f6cc,648,replays\episode_89538743.json,logs\89538743\agent_0_observation_logs.json;logs\89538743\agent_1_observation_logs.json,skipped_existing,,2026-08-06T09:52:03.858021Z
11,16561259,@kdcyberdude,55187358,1116.3,55187358,89539302,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-02T15:03:07.877386900Z,2026-08-02T15:05:17.961537400Z,0,55056746,vibechu,55187358,55056746,9714ab5c3996f6cc,648,replays\episode_89539302.json,logs\89539302\agent_0_observation_logs.json;logs\89539302\agent_1_observation_logs.json,skipped_existing,,2026-08-06T09:52:04.381829Z
11,16561259,@kdcyberdude,55187358,1116.3,55187358,89539856,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-02T15:07:07.939038500Z,2026-08-02T15:09:54.678501500Z,1,55084456,Oshbocker,55084456,55187358,9714ab5c3996f6cc,648,replays\episode_89539856.json,logs\89539856\agent_0_observation_logs.json;logs\89539856\agent_1_observation_logs.json,skipped_existing,,2026-08-06T09:52:04.869850Z
11,16561259,@kdcyberdude,55187358,1116.3,55187358,89540429,COMPLETED,EPISODE_TYPE_PUBLIC,2026-08-02T15:11:07.923888700Z,2026-08-02T15:12:43.823489300Z,1,54927784,Koki Saitoh,54927784,55187358,9714ab5c3996f6cc,648,replays\episode_89540429.json,logs\89540429\agent_0_observation_logs.json;logs\89540429\agent_1_observation_logs.json,skipped_existing,,2026-08-06T09:52:05.409606Z
