matchup,game,seat0,seat1,winner,result,error_agent,error_type,illegal_agent,elapsed_ms,moves_seat0,moves_seat1,time_seat0_ms,time_seat1_ms
alakazam741_v7__vs__alakazam741_v2,1,alakazam741_v7,alakazam741_v2,alakazam741_v7,win,,,,38.809699995908886,38,26,11.603999882936478,5.694699881132692
alakazam741_v7__vs__alakazam741_v2,2,alakazam741_v2,alakazam741_v7,alakazam741_v7,win,,,,19.158899958711118,11,24,1.8131998949684203,6.325200025457889
alakazam741_v7__vs__alakazam741_v2,3,alakazam741_v7,alakazam741_v2,alakazam741_v2,win,,,,104.63790001813322,59,92,21.515899861697108,29.528000100981444
alakazam741_v7__vs__alakazam741_v2,4,alakazam741_v2,alakazam741_v7,alakazam741_v2,win,,,,126.06310000410303,89,75,32.336800068151206,31.66790003888309
alakazam741_v7__vs__alakazam741_v2,5,alakazam741_v7,alakazam741_v2,alakazam741_v2,win,,,,96.80150001076981,65,73,19.74010019330308,27.80279953731224
alakazam741_v7__vs__alakazam741_v2,6,alakazam741_v2,alakazam741_v7,alakazam741_v2,win,,,,115.4802999808453,90,71,30.679400253575295,29.01369967730716
alakazam741_v7__vs__alakazam741_v2,7,alakazam741_v7,alakazam741_v2,alakazam741_v7,win,,,,135.45899995369837,69,91,42.48729976825416,35.7081996044144
alakazam741_v7__vs__alakazam741_v2,8,alakazam741_v2,alakazam741_v7,alakazam741_v2,win,,,,34.37599999597296,43,12,11.75589970080182,3.900699957739562
alakazam741_v7__vs__alakazam741_v2,9,alakazam741_v7,alakazam741_v2,alakazam741_v2,win,,,,109.12010003812611,83,69,33.266300219111145,22.197999816853553
alakazam741_v7__vs__alakazam741_v2,10,alakazam741_v2,alakazam741_v7,alakazam741_v7,win,,,,151.71800000825897,101,97,36.81100008543581,40.17840005690232
alakazam741_v7__vs__alakazam741_v2,11,alakazam741_v7,alakazam741_v2,alakazam741_v7,win,,,,118.55359998298809,68,81,35.458199912682176,30.280100589152426
alakazam741_v7__vs__alakazam741_v2,12,alakazam741_v2,alakazam741_v7,alakazam741_v2,win,,,,104.43549999035895,83,71,28.500600019469857,25.79550043446943
alakazam741_v7__vs__alakazam741_v2,13,alakazam741_v7,alakazam741_v2,alakazam741_v7,win,,,,41.59699997399002,26,45,9.764700022060424,8.484199875965714
